missing_value,normalization,fselection,outlier,whitespace,punctuation,stopword,deduplication,model,utility_rmse
1,4,1,1,1,1,2,1,1,190.17612341332608
1,4,1,1,1,1,2,2,1,285.87030819265823
1,4,1,1,1,2,1,1,1,190.17612341332608
1,4,1,1,1,2,1,2,1,285.87030819265823
1,4,1,1,1,2,2,1,1,190.17612341332608
1,4,1,1,1,2,2,2,1,285.87030819265823
1,4,1,1,2,1,1,1,1,190.17612341332608
1,4,1,1,2,1,1,2,1,285.87030819265823
1,4,1,1,2,1,2,1,1,190.17612341332608
1,4,1,1,2,1,2,2,1,285.87030819265823
1,4,1,1,2,2,1,1,1,190.17612341332608
1,4,1,1,2,2,1,2,1,285.87030819265823
1,4,1,1,2,2,2,1,1,190.17612341332608
1,4,1,1,2,2,2,2,1,285.87030819265823
1,4,1,2,1,1,1,1,1,156.3524909519805
1,4,1,2,1,1,1,2,1,232.02776502420556
1,4,1,2,1,1,2,1,1,156.3524909519805
1,4,1,2,1,1,2,2,1,232.02776502420556
1,4,1,2,1,2,1,1,1,156.3524909519805
1,4,1,2,1,2,1,2,1,232.02776502420556
1,4,1,2,1,2,2,1,1,156.3524909519805
1,4,1,2,1,2,2,2,1,232.02776502420556
1,4,1,2,2,1,1,1,1,156.3524909519805
1,4,1,2,2,1,1,2,1,232.02776502420556
1,4,1,2,2,1,2,1,1,156.3524909519805
1,4,1,2,2,1,2,2,1,232.02776502420556
1,4,1,2,2,2,1,1,1,156.3524909519805
1,4,1,2,2,2,1,2,1,232.02776502420556
1,4,1,2,2,2,2,1,1,156.3524909519805
1,4,1,2,2,2,2,2,1,232.02776502420556
1,4,1,3,1,1,1,1,1,151.79017781958993
1,4,1,3,1,1,1,2,1,230.6881023763281
1,4,1,3,1,1,2,1,1,151.79017781958993
1,4,1,3,1,1,2,2,1,230.6881023763281
1,4,1,3,1,2,1,1,1,151.79017781958993
1,4,1,3,1,2,1,2,1,230.6881023763281
1,4,1,3,1,2,2,1,1,151.79017781958993
1,4,1,3,1,2,2,2,1,230.6881023763281
1,4,1,3,2,1,1,1,1,151.79017781958993
1,4,1,3,2,1,1,2,1,230.6881023763281
1,4,1,3,2,1,2,1,1,151.79017781958993
