missing_value,normalization,outlier,whitespace,punctuation,stopword,deduplication,model,utility_accuracy_score
1,1,4,1,1,2,1,1,0.08461538461538465
1,1,4,1,1,2,2,1,0.09642857142857142
1,1,4,1,2,1,1,1,0.08461538461538465
1,1,4,1,2,1,2,1,0.09642857142857142
1,1,4,1,2,2,1,1,0.08461538461538465
1,1,4,1,2,2,2,1,0.09642857142857142
1,1,4,2,1,1,1,1,0.08461538461538465
1,1,4,2,1,1,2,1,0.09642857142857142
1,1,4,2,1,2,1,1,0.08461538461538465
1,1,4,2,1,2,2,1,0.09642857142857142
1,1,4,2,2,1,1,1,0.08461538461538465
1,1,4,2,2,1,2,1,0.09642857142857142
1,1,4,2,2,2,1,1,0.08461538461538465
1,1,4,2,2,2,2,1,0.09642857142857142
1,1,5,1,1,1,1,1,0.08171206225680938
1,1,5,1,1,1,2,1,0.09836065573770492
1,1,5,1,1,2,1,1,0.08171206225680938
1,1,5,1,1,2,2,1,0.09836065573770492
1,1,5,1,2,1,1,1,0.08171206225680938
1,1,5,1,2,1,2,1,0.09836065573770492
1,1,5,1,2,2,1,1,0.08171206225680938
1,1,5,1,2,2,2,1,0.09836065573770492
1,1,5,2,1,1,1,1,0.08171206225680938
1,1,5,2,1,1,2,1,0.09836065573770492
1,1,5,2,1,2,1,1,0.08171206225680938
1,1,5,2,1,2,2,1,0.09836065573770492
1,1,5,2,2,1,1,1,0.08171206225680938
1,1,5,2,2,1,2,1,0.09836065573770492
1,1,5,2,2,2,1,1,0.08171206225680938
1,1,5,2,2,2,2,1,0.09836065573770492
1,1,6,1,1,1,1,1,0.06809338521400776
1,1,6,1,1,1,2,1,0.08445945945945943
1,1,6,1,1,2,1,1,0.06809338521400776
1,1,6,1,1,2,2,1,0.08445945945945943
1,1,6,1,2,1,1,1,0.06809338521400776
1,1,6,1,2,1,2,1,0.08445945945945943
1,1,6,1,2,2,1,1,0.06809338521400776
1,1,6,1,2,2,2,1,0.08445945945945943
1,1,6,2,1,1,1,1,0.06809338521400776
1,1,6,2,1,1,2,1,0.08445945945945943
1,1,6,2,1,2,1,1,0.06809338521400776
1,1,6,2,1,2,2,1,0.08445945945945943
1,1,6,2,2,1,1,1,0.06809338521400776
1,1,6,2,2,1,2,1,0.08445945945945943
1,1,6,2,2,2,1,1,0.06809338521400776
1,1,6,2,2,2,2,1,0.08445945945945943
1,1,7,1,1,1,1,1,0.06420233463035019
1,1,7,1,1,1,2,1,0.06271777003484325
1,1,7,1,1,2,1,1,0.06420233463035019
1,1,7,1,1,2,2,1,0.06271777003484325
1,1,7,1,2,1,1,1,0.06420233463035019
1,1,7,1,2,1,2,1,0.06271777003484325
1,1,7,1,2,2,1,1,0.06420233463035019
1,1,7,1,2,2,2,1,0.06271777003484325
1,1,7,2,1,1,1,1,0.06420233463035019
1,1,7,2,1,1,2,1,0.06271777003484325
1,1,7,2,1,2,1,1,0.06420233463035019
1,1,7,2,1,2,2,1,0.06271777003484325
1,1,7,2,2,1,1,1,0.06420233463035019
1,1,7,2,2,1,2,1,0.06271777003484325
1,1,7,2,2,2,1,1,0.06420233463035019
1,1,7,2,2,2,2,1,0.06271777003484325
1,1,8,1,1,1,1,1,0.06614785992217898
1,1,8,1,1,1,2,1,0.06382978723404253
1,1,8,1,1,2,1,1,0.06614785992217898
1,1,8,1,1,2,2,1,0.06382978723404253
1,1,8,1,2,1,1,1,0.06614785992217898
1,1,8,1,2,1,2,1,0.06382978723404253
1,1,8,1,2,2,1,1,0.06614785992217898
1,1,8,1,2,2,2,1,0.06382978723404253
1,1,8,2,1,1,1,1,0.06614785992217898
1,1,8,2,1,1,2,1,0.06382978723404253
1,1,8,2,1,2,1,1,0.06614785992217898
1,1,8,2,1,2,2,1,0.06382978723404253
1,1,8,2,2,1,1,1,0.06614785992217898
1,1,8,2,2,1,2,1,0.06382978723404253
1,1,8,2,2,2,1,1,0.06614785992217898
1,1,8,2,2,2,2,1,0.06382978723404253
1,2,1,1,1,1,1,1,0.0964230171073095
1,2,1,1,1,1,2,1,0.09677419354838712
1,2,1,1,1,2,1,1,0.0964230171073095
1,2,1,1,1,2,2,1,0.09677419354838712
1,2,1,1,2,1,1,1,0.0964230171073095
1,2,1,1,2,1,2,1,0.09677419354838712
1,2,1,1,2,2,1,1,0.0964230171073095
1,2,1,1,2,2,2,1,0.09677419354838712
1,2,1,2,1,1,1,1,0.0964230171073095
1,2,1,2,1,1,2,1,0.09677419354838712
1,2,1,2,1,2,1,1,0.0964230171073095
1,2,1,2,1,2,2,1,0.09677419354838712
1,2,1,2,2,1,1,1,0.0964230171073095
1,2,1,2,2,1,2,1,0.09677419354838712
1,2,1,2,2,2,1,1,0.0964230171073095
1,2,1,2,2,2,2,1,0.09677419354838712
1,2,2,1,1,1,1,1,0.060194174757281504
1,2,2,1,1,1,2,1,0.056140350877192935
1,2,2,1,1,2,1,1,0.060194174757281504
1,2,2,1,1,2,2,1,0.056140350877192935
1,2,2,1,2,1,1,1,0.060194174757281504
1,2,2,1,2,1,2,1,0.056140350877192935
1,2,2,1,2,2,1,1,0.060194174757281504
1,2,2,1,2,2,2,1,0.056140350877192935
1,2,2,2,1,1,1,1,0.060194174757281504
1,2,2,2,1,1,2,1,0.056140350877192935
1,2,2,2,1,2,1,1,0.060194174757281504
1,2,2,2,1,2,2,1,0.056140350877192935
1,2,2,2,2,1,1,1,0.060194174757281504
1,2,2,2,2,1,2,1,0.056140350877192935
1,2,2,2,2,2,1,1,0.060194174757281504
1,2,2,2,2,2,2,1,0.056140350877192935
1,2,3,1,1,1,1,1,0.08108108108108103
1,2,3,1,1,1,2,1,0.08635097493036215
1,2,3,1,1,2,1,1,0.08108108108108103
1,2,3,1,1,2,2,1,0.08635097493036215
1,2,3,1,2,1,1,1,0.08108108108108103
1,2,3,1,2,1,2,1,0.08635097493036215
1,2,3,1,2,2,1,1,0.08108108108108103
1,2,3,1,2,2,2,1,0.08635097493036215
1,2,3,2,1,1,1,1,0.08108108108108103
1,2,3,2,1,1,2,1,0.08635097493036215
1,2,3,2,1,2,1,1,0.08108108108108103
1,2,3,2,1,2,2,1,0.08635097493036215
1,2,3,2,2,1,1,1,0.08108108108108103
1,2,3,2,2,1,2,1,0.08635097493036215
1,2,3,2,2,2,1,1,0.08108108108108103
1,2,3,2,2,2,2,1,0.08635097493036215
1,2,4,1,1,1,1,1,0.08949416342412453
1,2,4,1,1,1,2,1,0.1021897810218978
1,2,4,1,1,2,1,1,0.08949416342412453
1,2,4,1,1,2,2,1,0.1021897810218978
1,2,4,1,2,1,1,1,0.08949416342412453
1,2,4,1,2,1,2,1,0.1021897810218978
1,2,4,1,2,2,1,1,0.08949416342412453
1,2,4,1,2,2,2,1,0.1021897810218978
1,2,4,2,1,1,1,1,0.08949416342412453
1,2,4,2,1,1,2,1,0.1021897810218978
1,2,4,2,1,2,1,1,0.08949416342412453
1,2,4,2,1,2,2,1,0.1021897810218978
1,2,4,2,2,1,1,1,0.08949416342412453
1,2,4,2,2,1,2,1,0.1021897810218978
1,2,4,2,2,2,1,1,0.08949416342412453
1,2,4,2,2,2,2,1,0.1021897810218978
1,2,5,1,1,1,1,1,0.0933852140077821
1,2,5,1,1,1,2,1,0.09731543624161076
1,2,5,1,1,2,1,1,0.0933852140077821
1,2,5,1,1,2,2,1,0.09731543624161076
1,2,5,1,2,1,1,1,0.0933852140077821
1,2,5,1,2,1,2,1,0.09731543624161076
1,2,5,1,2,2,1,1,0.0933852140077821
1,2,5,1,2,2,2,1,0.09731543624161076
1,2,5,2,1,1,1,1,0.0933852140077821
1,2,5,2,1,1,2,1,0.09731543624161076
1,2,5,2,1,2,1,1,0.0933852140077821
1,2,5,2,1,2,2,1,0.09731543624161076
1,2,5,2,2,1,1,1,0.0933852140077821
1,2,5,2,2,1,2,1,0.09731543624161076
1,2,5,2,2,2,1,1,0.0933852140077821
1,2,5,2,2,2,2,1,0.09731543624161076
1,2,6,1,1,1,1,1,0.0797665369649806
1,2,6,1,1,1,2,1,0.0921501706484642
1,2,6,1,1,2,1,1,0.0797665369649806
1,2,6,1,1,2,2,1,0.0921501706484642
1,2,6,1,2,1,1,1,0.0797665369649806
1,2,6,1,2,1,2,1,0.0921501706484642
1,2,6,1,2,2,1,1,0.0797665369649806
1,2,6,1,2,2,2,1,0.0921501706484642
1,2,6,2,1,1,1,1,0.0797665369649806
1,2,6,2,1,1,2,1,0.0921501706484642
1,2,6,2,1,2,1,1,0.0797665369649806
1,2,6,2,1,2,2,1,0.0921501706484642
1,2,6,2,2,1,1,1,0.0797665369649806
1,2,6,2,2,1,2,1,0.0921501706484642
1,2,6,2,2,2,1,1,0.0797665369649806
1,2,6,2,2,2,2,1,0.0921501706484642
1,2,7,1,1,1,1,1,0.07587548638132291
1,2,7,1,1,1,2,1,0.08135593220338988
1,2,7,1,1,2,1,1,0.07587548638132291
1,2,7,1,1,2,2,1,0.08135593220338988
1,2,7,1,2,1,1,1,0.07587548638132291
1,2,7,1,2,1,2,1,0.08135593220338988
1,2,7,1,2,2,1,1,0.07587548638132291
1,2,7,1,2,2,2,1,0.08135593220338988
1,2,7,2,1,1,1,1,0.07587548638132291
1,2,7,2,1,1,2,1,0.08135593220338988
1,2,7,2,1,2,1,1,0.07587548638132291
1,2,7,2,1,2,2,1,0.08135593220338988
1,2,7,2,2,1,1,1,0.07587548638132291
1,2,7,2,2,1,2,1,0.08135593220338988
1,2,7,2,2,2,1,1,0.07587548638132291
1,2,7,2,2,2,2,1,0.08135593220338988
1,2,8,1,1,1,1,1,0.08171206225680938
1,2,8,1,1,1,2,1,0.08965517241379306
1,2,8,1,1,2,1,1,0.08171206225680938
1,2,8,1,1,2,2,1,0.08965517241379306
1,2,8,1,2,1,1,1,0.08171206225680938
1,2,8,1,2,1,2,1,0.08965517241379306
1,2,8,1,2,2,1,1,0.08171206225680938
1,2,8,1,2,2,2,1,0.08965517241379306
1,2,8,2,1,1,1,1,0.08171206225680938
1,2,8,2,1,1,2,1,0.08965517241379306
1,2,8,2,1,2,1,1,0.08171206225680938
1,2,8,2,1,2,2,1,0.08965517241379306
1,2,8,2,2,1,1,1,0.08171206225680938
1,2,8,2,2,1,2,1,0.08965517241379306
1,2,8,2,2,2,1,1,0.08171206225680938
1,2,8,2,2,2,2,1,0.08965517241379306
1,3,1,1,1,1,1,1,0.09486780715396581
1,3,1,1,1,1,2,1,0.09677419354838712
1,3,1,1,1,2,1,1,0.09486780715396581
1,3,1,1,1,2,2,1,0.09677419354838712
1,3,1,1,2,1,1,1,0.09486780715396581
1,3,1,1,2,1,2,1,0.09677419354838712
1,3,1,1,2,2,1,1,0.09486780715396581
1,3,1,1,2,2,2,1,0.09677419354838712
1,3,1,2,1,1,1,1,0.09486780715396581
1,3,1,2,1,1,2,1,0.09677419354838712
1,3,1,2,1,2,1,1,0.09486780715396581
1,3,1,2,1,2,2,1,0.09677419354838712
1,3,1,2,2,1,1,1,0.09486780715396581
1,3,1,2,2,1,2,1,0.09677419354838712
1,3,1,2,2,2,1,1,0.09486780715396581
