missing_value,fselection,outlier,normalization,model,utility_rmse
9,1,4,2,1,183.19302400604377
9,1,4,3,1,183.1930240060438
9,1,4,4,1,183.19302400604377
9,1,4,5,1,183.1930240060438
9,1,5,1,1,171.74641045573483
9,1,5,2,1,171.74641045573483
9,1,5,3,1,171.74641045573483
9,1,5,4,1,171.74641045573483
9,1,5,5,1,171.74641045573483
9,1,6,1,1,165.43035750395777
9,1,6,2,1,165.43035750395777
9,1,6,3,1,165.43035750395777
9,1,6,4,1,165.43035750395777
9,1,6,5,1,165.43035750395777
9,1,7,1,1,166.35261258573468
9,1,7,2,1,166.35261258573465
9,1,7,3,1,166.35261258573468
9,1,7,4,1,166.35261258573465
9,1,7,5,1,166.35261258573468
9,1,8,1,1,164.63586693626624
9,1,8,2,1,164.6358669362662
9,1,8,3,1,164.6358669362662
9,1,8,4,1,164.63586693626624
9,1,8,5,1,164.6358669362662
