missing_value,normalization,outlier,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,diff_sensitive_attr,ratio_sensitive_attr,cov,class_imbalance_ratio,corr_Age,ot_Age,corr_Workclass,ot_Workclass,corr_fnlwgt,ot_fnlwgt,corr_Education,ot_Education,corr_Education_Num,ot_Education_Num,corr_Martial_Status,ot_Martial_Status,corr_Occupation,ot_Occupation,corr_Relationship,ot_Relationship,corr_Race,ot_Race,corr_Sex,ot_Sex,corr_Capital_Gain,ot_Capital_Gain,corr_Capital_Loss,ot_Capital_Loss,corr_Hours_per_week,ot_Hours_per_week,corr_Country,ot_Country,utility_sp
3,5,1,1,0.1357077064783543,0.1357077064783543,0.19398,2.06975,0.04261884627251522,3.1810012836970474,40.56,0.43,103.98,0.32,113.65,0.27,412.33,0.29,2060.62,0.29,593.4,0.22,467.45,0.43,656.42,0.34,34.52,0.15,146.86,0.33,894.0,0.09,685.82,0.04,405.89,0.31,58.36,0.1,0.1683083285692949
3,5,2,1,0.1357077064783543,0.1357077064783543,0.2177,2.58322,0.04381668833715141,3.1283676703645007,16.48,0.39,80.08,0.28,107.57,0.28,292.85,0.24,1753.39,0.24,481.25,0.19,352.42,0.42,529.22,0.3,17.33,0.09,134.14,0.28,794.07,0.07,720.23,0.02,341.21,0.31,36.02,0.04,0.17514242228482113
3,5,3,1,0.1357077064783543,0.1357077064783543,0.19552,2.21622,0.041930417026623694,3.389344262295082,6.77,0.39,0.0,1.0,40.77,0.33,82.87,0.42,911.9,0.17,209.9,0.22,122.12,0.48,228.33,0.29,0.0,1.0,48.76,0.31,315.7,1.0,315.7,1.0,186.0,0.24,0.0,1.0,0.0989159891598916
3,5,4,1,0.1357077064783543,0.1357077064783543,0.20429,2.06203,0.04494744699308029,3.1,25.26,0.48,79.66,0.31,100.38,0.27,307.96,0.28,1485.0,0.28,478.63,0.21,350.31,0.43,508.94,0.33,25.04,0.15,119.29,0.33,681.47,0.08,528.64,0.04,281.44,0.32,49.1,0.09,0.17680024244119635
3,5,5,1,0.1357077064783543,0.1357077064783543,0.20674,2.03466,0.04569366658708312,3.0690140845070424,26.77,0.41,94.78,0.31,126.5,0.32,386.19,0.51,1754.57,0.29,550.53,0.22,435.6,0.43,594.11,0.33,34.75,0.15,146.07,0.33,827.09,0.08,639.53,0.04,327.27,0.32,49.27,0.09,0.19021444406363475
3,5,6,1,0.1357077064783543,0.1357077064783543,0.20762,2.0131,0.04605317668577734,3.0889192886456907,27.59,0.44,92.69,0.31,127.74,0.31,382.94,0.29,1847.39,0.29,572.66,0.22,445.38,0.42,631.28,0.33,34.68,0.15,153.52,0.33,866.96,0.08,686.1,0.04,344.4,0.32,48.96,0.09,0.19271699888542493
3,5,7,1,0.1357077064783543,0.1357077064783543,0.20304,2.02067,0.044980230874161975,3.198358413132695,33.72,0.45,93.4,0.31,112.52,0.32,382.67,0.28,1982.43,0.28,587.85,0.22,456.93,0.43,645.67,0.34,33.64,0.14,153.3,0.33,909.59,0.08,692.42,0.03,382.08,0.33,49.85,0.08,0.18303586838542404
3,5,8,1,0.1357077064783543,0.1357077064783543,0.20298,2.05403,0.044715429485452055,3.2070365358592694,34.89,0.43,96.79,0.31,109.99,0.31,381.57,0.28,2012.08,0.28,595.77,0.22,443.91,0.43,655.66,0.34,34.79,0.14,154.57,0.33,917.0,0.08,705.82,0.03,390.43,0.34,56.11,0.08,0.18043885338888058
4,1,1,1,0.14062020264046668,0.14062020264046668,0.19398,2.06975,0.04261884627251522,3.1810012836970474,24774.22,0.43,103.98,0.0,10680.66,0.27,412.33,0.0,48597.45,0.29,595.93,0.0,467.45,0.0,656.42,0.0,34.52,0.0,146.86,0.0,69.76,0.09,135.63,0.04,32728.36,0.31,58.36,0.0,0.05434909500436917
4,1,2,1,0.14062020264046668,0.14062020264046668,0.22421,2.62309,0.04482060671460716,3.1153238546603474,21743.14,0.43,79.69,0.0,10012.06,0.3,295.17,0.0,50709.35,0.24,499.21,0.0,362.67,0.0,546.55,0.0,16.86,0.0,141.04,0.0,129.81,0.07,60.68,0.02,33764.21,0.31,32.84,0.0,0.051916839843248776
