missing_value,normalization,outlier,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,diff_sensitive_attr,ratio_sensitive_attr,cov,class_imbalance_ratio,corr_Age,corr_Workclass,corr_fnlwgt,corr_Education,corr_Education_Num,corr_Martial_Status,corr_Occupation,corr_Relationship,corr_Race,corr_Sex,corr_Capital_Gain,corr_Capital_Loss,corr_Hours_per_week,corr_Country,utility_sp
2,1,4,1,0.5000307106443094,0.5000307106443094,0.19168,2.0144,0.04249686906119823,0.21817,119164.72734,514.11539,50165.17021,1912.62538,217480.32088,2789.28445,1803.38226,3187.4022,153.90944,680.26006,280.87471,554.97882,163778.63251,167.17064,0.051715169250334675
2,1,5,1,0.5000307106443094,0.5000307106443094,0.18889,1.97761,0.04213537613134156,0.21553,118891.28428,520.94747,50693.72944,1925.64665,219516.69727,2793.94053,1830.05334,3194.55926,156.16707,687.55115,256.6065,371.66359,159959.24128,172.07815,0.04899995464368824
2,1,6,1,0.5000307106443094,0.5000307106443094,0.181,1.94474,0.04059526733558131,0.1998,114699.22738,497.97259,49146.57164,1808.39311,214164.20654,2630.09823,1688.83488,3020.1174,150.8322,641.97922,211.61615,38.11083,153989.53712,166.8272,0.03857679932420884
2,1,7,1,0.5000307106443094,0.5000307106443094,0.17677,1.93108,0.03973567469176849,0.19335,113283.64561,470.79085,48661.82291,1791.43211,212375.45581,2569.10672,1678.30126,2957.16354,144.01407,619.60873,178.36068,38.73984,152309.76054,168.36478,0.03227472309825251
2,2,1,1,0.5000307106443094,0.4999692893556907,0.19098,2.00332,0.042419081225051385,0.23623,769.61405,571.81821,769.61405,2114.18863,769.61405,2877.52142,1967.0139,3391.24845,161.4409,729.92987,769.61405,769.61405,769.61405,167.7667,0.16928565095225137
2,2,2,1,0.5000307106443094,0.4999692893556907,0.22161,2.56654,0.044717120496871,0.19133,1168.08232,346.29024,732.50901,1350.99386,425.82492,2405.79783,1406.41203,2788.52208,100.19643,708.08031,3204.74484,2379.46983,319.15432,110.03981,0.19256427862697603
2,2,3,1,0.5000307106443094,0.4999692893556907,0.19075,1.98548,0.04249388107963784,0.17806,645.46247,487.47094,677.50888,1678.55003,600.0801,2290.34162,1577.0159,2637.61318,135.10417,554.85286,586.70258,542.30129,577.83054,145.92991,0.17212533138825628
2,2,4,1,0.5000307106443094,0.4999692893556907,0.19419,1.97735,0.043320079112515175,0.22099,730.89995,546.98725,854.33399,2003.22316,668.7384,2838.32912,1848.75951,3315.46084,163.5535,710.30226,836.84859,717.68016,736.55542,154.32023,0.17491098200556215
2,2,5,1,0.5000307106443094,0.4999692893556907,0.19443,1.98472,0.043319653958109564,0.2264,731.96964,557.02889,829.02825,2045.8864,707.2068,2862.86405,1878.19928,3356.76895,164.13473,729.21978,888.35861,744.0492,770.65581,157.61699,0.17525167740831374
2,2,6,1,0.5000307106443094,0.4999692893556907,0.1942,1.99073,0.04322468055511574,0.22781,758.63171,549.13853,874.86455,2060.76606,715.01261,2911.11291,1898.03739,3417.15414,168.04731,737.6427,909.41472,786.32391,783.33035,158.75151,0.17387199741167303
2,2,7,1,0.5000307106443094,0.4999692893556907,0.19285,1.98719,0.04295041370441838,0.22824,780.84748,550.71466,897.53052,2079.80143,709.35211,2923.01766,1912.3424,3423.40331,165.0179,730.82719,888.00792,813.77239,808.0,153.96161,0.1714930618961112
2,3,1,1,0.5000307106443094,0.49173883668079355,0.19098,2.00332,0.042419081225051385,0.23623,539.31497,571.81821,345.1193,2114.18863,800.96323,2877.52142,1967.0139,3391.24845,161.4409,729.92987,331.19245,769.97512,63.23188,167.7667,0.1480106522516793
2,3,2,1,0.5000307106443094,0.49173883668079355,0.22161,2.56654,0.044717120496871,0.19133,846.39567,346.29024,341.20274,1350.99386,453.51477,2405.79783,1406.41203,2788.52208,100.19643,708.08031,343.86314,308.79605,9.09786,110.03981,0.18143328773227008
2,3,3,1,0.5000307106443094,0.49173883668079355,0.18676,1.9643,0.04175275049265343,0.17898,446.14175,485.67884,344.40931,1690.92322,583.75202,2299.14369,1553.82872,2653.18313,142.96632,540.88936,257.70657,565.70349,47.61471,142.78178,0.1431900325078565
2,3,4,1,0.5000307106443094,0.49173883668079355,0.19574,1.9864,0.04359843593851483,0.2186,589.45502,589.14429,401.93255,1999.35106,676.646,2779.42203,1854.53236,3271.1212,174.41278,718.6818,272.5378,629.55669,58.35421,171.08803,0.15217135292798287
2,3,5,1,0.5000307106443094,0.49173883668079355,0.19438,1.98475,0.04330798776128876,0.21915,579.57864,556.7299,380.20302,1957.7738,693.79327,2783.45997,1837.83495,3310.23071,163.95695,731.80242,270.10283,613.25085,56.02989,155.7543,0.1725921326746657
2,3,6,1,0.5000307106443094,0.49173883668079355,0.1928,1.99271,0.0429001551511326,0.22007,551.42753,534.08895,384.6824,1946.36859,713.41691,2811.5015,1836.55281,3321.53251,157.74606,728.24311,260.54378,625.07143,63.13237,151.21648,0.14786068432780494
