missing_value,normalization,outlier,out_before_out_strat,out_before_norm_strat,class_imbalance_ratio,corr_race,ot_race,corr_gender,ot_gender,corr_loan_type,ot_loan_type,corr_applicant_age,ot_applicant_age,corr_lien_status,ot_lien_status,corr_LV,ot_LV,corr_DI,ot_DI,corr_income_brackets,ot_income_brackets,fairness
1,4,3,0.4917315175097276,0.4985408560311284,0.63152,34.17233,13.716,1.19662,13.716,13.86521,13.716,4.54959,13.716,13.86851,13.716,11.52282,13.716,205.25059,13.716,36.47309,13.716,0.08511837655016907
1,4,4,0.4917315175097276,0.4985408560311284,0.51323,27.01259,30.0097,0.7327,30.0097,16.3076,30.0097,4.54386,30.0097,7.99433,30.0097,18.66421,30.0097,79.04035,30.0097,50.27357,30.0097,0.08339124391938846
1,4,5,0.4917315175097276,0.4985408560311284,0.5179,33.64325,29.9611,0.2452,29.9611,17.81107,29.9611,4.21616,29.9611,2.57501,29.9611,13.01105,29.9611,50.74046,29.9611,21.12903,29.9611,0.0756944444444444
1,4,6,0.4917315175097276,0.4985408560311284,0.5144,33.17743,30.0097,0.02776,30.0097,10.621,30.0097,8.7571,30.0097,0.0,30.0097,18.45818,30.0097,76.03832,30.0097,18.26145,30.0097,0.08130646282140375
1,4,7,0.4917315175097276,0.4985408560311284,0.51634,39.00238,29.9611,0.02113,29.9611,16.66401,29.9611,8.66784,29.9611,0.0,29.9611,21.58878,29.9611,83.56048,29.9611,21.27862,29.9611,0.07847222222222228
1,4,8,0.4917315175097276,0.4985408560311284,0.51362,36.60546,30.0097,0.0486,30.0097,18.93625,30.0097,3.81572,30.0097,0.0,30.0097,25.48882,30.0097,108.29649,30.0097,19.44258,30.0097,0.08269631688672685
1,4,9,0.4917315175097276,0.4985408560311284,0.51401,44.76583,30.0097,0.05863,30.0097,22.90415,30.0097,2.65205,30.0097,0.28627,30.0097,25.68478,30.0097,138.9085,30.0097,20.09732,30.0097,0.08200138985406535
1,4,10,0.4917315175097276,0.4985408560311284,0.51284,51.72545,30.0097,0.39476,30.0097,30.59797,30.0097,0.49102,30.0097,0.71585,30.0097,29.11687,30.0097,232.40477,30.0097,67.48888,30.0097,0.08408617095205007
1,4,11,0.4917315175097276,0.4985408560311284,0.50661,60.10022,30.0097,0.98461,30.0097,28.07043,30.0097,4.36074,30.0097,3.50453,30.0097,19.0583,30.0097,251.12884,30.0097,45.25687,30.0097,0.09520500347463512
1,5,1,0.497568093385214,0.4985408560311284,0.71751,42.53411,0.0,0.94569,0.0,10.41764,0.0,3.25568,0.0,23.0824,0.0,17.84286,0.0,310.80591,0.0,82.50565,0.0,0.10068093385214005
1,5,2,0.497568093385214,0.4985408560311284,0.5249,18.0629,29.9125,0.0,29.9125,3.56586,29.9125,0.12648,29.9125,0.0,29.9125,13.80463,29.9125,78.47716,29.9125,7.59252,29.9125,0.06384455239417075
1,5,3,0.497568093385214,0.4985408560311284,0.63463,35.3871,13.2296,0.9823,13.2296,12.7117,13.2296,4.5872,13.2296,21.58143,13.2296,13.82881,13.2296,220.0799,13.2296,33.83766,13.2296,0.0840807174887892
1,5,4,0.497568093385214,0.4985408560311284,0.51362,26.2363,30.0097,0.84585,30.0097,13.60936,30.0097,2.86533,30.0097,6.96607,30.0097,22.00212,30.0097,114.63876,30.0097,50.89194,30.0097,0.08269631688672685
1,5,5,0.497568093385214,0.4985408560311284,0.51907,30.41403,30.0097,0.0,30.0097,14.30388,30.0097,6.60658,30.0097,8.55637,30.0097,15.73363,30.0097,29.84738,30.0097,13.43985,30.0097,0.0729673384294649
1,5,6,0.497568093385214,0.4985408560311284,0.51556,40.05732,29.9125,0.00237,29.9125,11.41784,29.9125,7.97295,29.9125,0.0,29.9125,18.58179,29.9125,66.91659,29.9125,17.38313,29.9125,0.08049965301873696
1,5,7,0.497568093385214,0.4985408560311284,0.51751,36.67215,30.0097,0.0,30.0097,13.05565,30.0097,9.19477,30.0097,0.0,30.0097,19.22579,30.0097,72.01248,30.0097,21.75949,30.0097,0.07574704656011122
1,5,8,0.497568093385214,0.4985408560311284,0.51323,40.43177,29.9611,0.10579,29.9611,20.93877,29.9611,4.76454,29.9611,0.0,29.9611,27.82773,29.9611,107.88559,29.9611,26.75627,29.9611,0.08402777777777781
1,5,9,0.497568093385214,0.4985408560311284,0.51206,55.81757,30.0097,1.0986,30.0097,25.11373,30.0097,0.57269,30.0097,0.0,30.0097,29.39585,30.0097,183.54224,30.0097,38.22293,30.0097,0.08547602501737317
1,5,10,0.497568093385214,0.4985408560311284,0.51362,53.60164,30.0097,2.49358,30.0097,32.29815,30.0097,0.0,30.0097,0.0,30.0097,24.86778,30.0097,208.81072,30.0097,73.93626,30.0097,0.08269631688672685
1,5,11,0.497568093385214,0.4985408560311284,0.51167,62.7262,29.8638,1.69323,29.8638,29.45091,29.8638,1.52078,29.8638,0.0,29.8638,20.49701,29.8638,231.30262,29.8638,45.22589,29.8638,0.08807212205270454
