sampling,invalid_value,missing_value,floating_point,unit_converter,distribution_shape,multicollinearity,normalization,outlier,punctuation,stopword,lowercase,whitespace,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,class_imbalance_ratio,corr_race,ot_race,corr_gender,ot_gender,corr_loan_type,ot_loan_type,corr_applicant_age,ot_applicant_age,corr_lien_status,ot_lien_status,corr_LV,ot_LV,corr_DI,ot_DI,corr_income_brackets,ot_income_brackets,utility_accuracy_score
4,2,3,1,1,2,2,4,7,1,1,2,2,1,0.6149425287356322,0.6149425287356322,8.752,649.63,1.0,331.8,1.0,100.41,0.29,985.05,0.38,139.17,1.0,898.71,0.49,1035.85,0.5,1237.47,0.21,0.10254306808859726
3,1,5,3,2,3,1,2,4,1,1,2,1,1,0.2509727626459144,0.25486381322957197,8.25,265.31,0.34,325.39,0.43,286.13,0.22,275.7,0.36,270.94,0.05,251.7,0.39,303.71,0.18,283.84,0.14,0.10810810810810811
4,2,9,1,1,3,2,1,5,1,2,2,2,1,0.3103448275862069,0.3103448275862069,8.53125,1756.84,1.0,1442.23,0.44,34.63,0.3,2644.96,0.34,520.28,0.01,3053.89,0.47,2999.99,0.33,215.08,0.28,0.10491803278688527
2,2,6,2,2,1,1,1,1,1,1,1,1,1,0.35019455252918286,0.35019455252918286,9.012987012987013,159.01,0.36,247.5,0.05,327.65,0.27,720.6,0.35,95.64,0.02,3514.99,0.53,2723.2,0.34,1423.51,0.29,0.09987029831387806
4,3,7,3,1,3,2,3,7,2,2,1,2,1,0.25689655172413794,0.25689655172413794,9.15,3023.09,1.0,269.02,0.04,1087.4,0.29,1153.96,0.35,530.57,0.07,3629.93,0.46,78.5,0.18,75.38,0.11,0.09852216748768472
4,3,8,3,1,4,1,3,2,2,2,2,1,1,0.2545977011494253,0.2545977011494253,9.066115702479339,2835.41,1.0,6353.7,1.0,1799.83,0.26,1714.84,0.27,11032.84,0.0,3722.83,0.46,1850.73,0.57,2715.62,0.3,0.09934318555008215
3,4,8,3,1,2,2,4,4,1,2,1,1,1,0.5214007782101168,0.5214007782101168,7.395348837209302,52.46,0.34,77.91,0.4,46.2,0.24,314.64,0.34,48.68,1.0,177.59,0.36,233.25,0.33,274.12,0.32,0.11911357340720219
4,1,3,4,2,2,2,2,1,1,2,1,1,1,0.3816091954022989,0.3816091954022989,7.365384615384615,1219.71,1.0,1219.71,0.45,1219.71,0.3,1219.71,0.32,1219.71,0.07,1219.71,0.51,1219.71,0.35,1219.71,0.15,0.11724137931034484
4,3,6,4,1,4,1,5,7,1,1,2,2,1,0.2545977011494253,0.2545977011494253,9.235294117647058,594.44,1.0,8325.89,0.38,3082.34,0.3,1589.35,0.28,27.49,0.06,52.74,0.48,43.04,0.2,25.51,0.14,0.0977011494252874
1,2,9,4,1,3,1,3,1,2,1,1,1,1,0.3066147859922179,0.3066147859922179,8.846743295019158,12472.04,0.34,13607.04,0.44,11563.94,0.24,2592.36,0.34,21718.1,0.03,6029.61,0.37,2487.76,0.36,1067.87,0.3,0.10116731517509725
1,1,5,4,1,4,2,2,1,2,1,1,1,1,0.26186770428015566,0.26186770428015566,8.846743295019158,1900.31,0.34,1900.31,0.05,1900.31,0.24,1900.31,0.34,1900.31,0.07,1900.31,0.37,1900.31,0.21,1900.31,0.15,0.10155642023346301
4,4,3,2,2,3,1,2,2,1,2,2,2,1,0.41206896551724137,0.41206896551724137,9.79646017699115,886.44,1.0,866.35,1.0,2041.79,0.25,1688.72,0.23,15403.78,1.0,1199.39,0.43,1028.46,0.37,1130.48,0.22,0.09262295081967209
3,4,6,2,1,3,1,4,2,1,1,1,1,1,0.3326848249027237,0.3326848249027237,11.857142857142858,39.98,0.25,97.99,0.39,633.8,0.14,499.75,0.3,423.85,0.0,57.08,0.35,162.29,0.41,122.79,0.26,0.07777777777777772
2,1,3,3,1,4,1,4,5,2,2,1,2,1,0.251621271076524,0.251621271076524,11.857142857142858,122.74,0.34,3533.78,0.04,449.2,0.26,565.79,0.36,12.41,0.04,65.47,0.34,2.18,0.16,6.64,0.12,0.07777777777777772
2,3,3,2,2,4,2,4,5,2,2,1,2,1,0.251621271076524,0.251621271076524,11.857142857142858,122.74,0.34,3533.78,0.04,449.2,0.26,565.79,0.36,12.41,0.04,65.47,0.34,2.18,0.16,6.64,0.12,0.07777777777777772
3,3,6,4,2,1,2,4,8,2,2,1,2,1,0.245136186770428,0.245136186770428,7.780487804878049,83.16,1.0,1861.43,0.04,610.11,0.2,188.14,1.0,2581.88,0.02,113.83,0.32,2556.72,0.17,2535.76,0.13,0.11388888888888893
4,4,5,4,2,1,2,4,5,1,2,1,1,1,0.46379310344827585,0.46379310344827585,9.235294117647058,566.0,1.0,392.69,1.0,1856.58,0.31,1348.38,0.32,2186.2,0.0,365.66,0.48,1197.4,0.53,1162.56,0.26,0.0977011494252874
2,4,5,1,1,4,1,4,1,2,2,1,2,1,0.3553826199740597,0.3553826199740597,9.012987012987013,159.01,0.36,242.29,1.0,439.19,0.27,720.6,0.35,304.57,0.01,55.05,0.37,241.74,0.44,197.23,0.27,0.09987029831387806
2,4,6,2,1,2,1,5,1,1,1,2,2,1,0.5239948119325551,0.45395590142671854,9.012987012987013,159.01,0.36,249.39,0.05,1184.18,0.27,720.6,0.35,6940.0,0.02,497.24,0.53,829.38,0.34,844.73,0.29,0.09987029831387806
3,1,5,4,1,4,1,5,5,2,1,2,2,1,0.2529182879377432,0.2529182879377432,9.909090909090908,67.27,0.33,1959.27,0.4,1269.97,0.22,355.6,0.35,18.28,0.03,37.93,0.22,19.25,0.27,6.34,0.16,0.09166666666666667
2,3,5,2,2,1,1,3,7,1,1,2,1,1,0.2490272373540856,0.2490272373540856,9.588235294117647,2773.11,0.38,29.09,0.05,590.97,0.24,522.56,0.35,30.69,0.05,1823.36,0.52,32.4,0.15,28.55,0.11,0.09444444444444444
3,3,8,4,1,2,1,3,7,2,2,1,2,1,0.3424124513618677,0.3424124513618677,9.285714285714286,1775.05,0.34,1782.02,0.39,3332.61,0.26,334.95,0.36,993.76,0.02,1101.26,0.52,307.92,0.51,670.06,0.08,0.09722222222222221
3,3,9,4,1,1,2,3,3,2,2,1,1,1,0.245136186770428,0.245136186770428,7.914285714285715,1406.99,0.22,1481.1,0.37,2461.34,1.0,259.92,0.36,2461.34,1.0,1154.95,0.22,663.44,0.35,474.03,0.26,0.11217948717948723
4,4,4,4,1,4,1,4,7,2,2,1,1,1,0.3706896551724138,0.3706896551724138,9.517241379310345,621.7,1.0,327.62,1.0,746.91,0.29,1188.28,0.35,552.57,0.0,58.67,0.47,372.03,0.4,352.69,0.23,0.09508196721311479
2,1,3,1,2,1,1,4,5,1,2,1,2,1,0.2490272373540856,0.2490272373540856,10.73913043478261,119.28,0.34,3724.3,0.04,1118.53,0.24,544.44,0.36,4505.51,0.04,216.05,0.53,3955.33,0.17,4117.0,0.13,0.08518518518518514
1,3,6,2,2,2,2,2,5,2,2,1,1,1,0.343579766536965,0.343579766536965,11.493055555555555,1330.32,0.32,1473.73,0.42,1416.12,0.24,1605.03,0.31,1490.5,0.06,1569.28,0.33,1849.01,0.27,1632.58,0.09,0.07948860478043362
2,4,9,3,2,1,2,5,6,2,2,2,2,1,0.3437094682230869,0.3437094682230869,11.857142857142858,146.34,0.36,218.9,0.44,2277.82,0.24,570.51,0.36,6386.85,0.01,247.29,0.49,901.8,0.3,597.47,0.22,0.07777777777777772
