sampling,invalid_value,missing_value,floating_point,unit_converter,distribution_shape,multicollinearity,normalization,outlier,punctuation,stopword,lowercase,whitespace,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,diff_sensitive_attr,ratio_sensitive_attr,cov,class_imbalance_ratio,corr_Age,ot_Age,corr_Workclass,ot_Workclass,corr_fnlwgt,ot_fnlwgt,corr_Education,ot_Education,corr_Education_Num,ot_Education_Num,corr_Martial_Status,ot_Martial_Status,corr_Occupation,ot_Occupation,corr_Relationship,ot_Relationship,corr_Race,ot_Race,corr_Sex,ot_Sex,corr_Capital_Gain,ot_Capital_Gain,corr_Capital_Loss,ot_Capital_Loss,corr_Hours_per_week,ot_Hours_per_week,corr_Country,ot_Country,utility_sp
1,4,6,2,2,3,2,2,8,2,1,1,2,1,0.1674344327743996,0.1674344327743996,0.1917,1.9685,0.04282646339973485,3.2126470588235296,511.38,0.31,1869.4,0.29,2934.48,0.21,1740.53,0.41,3017.62,0.34,152.36,0.14,648.45,0.34,157.59,0.09,696.04,0.44,726.08,0.22,659.03,0.29,705.22,0.1,715.57,0.05,634.26,0.19,0.19057978936389117
1,2,4,4,2,1,2,1,6,2,2,1,2,1,0.13574104784718383,0.13574104784718383,0.18891,1.97162,0.042180292463736016,3.3916690772345963,511.77,0.0,1903.34,0.0,2459.92,0.0,1781.32,0.0,3154.39,0.0,154.83,0.0,686.79,0.0,165.42,0.0,118074.22,0.43,49625.49,0.3,219224.94,0.29,558.57,0.05,346.22,0.02,175752.95,0.31,0.0409975664631941
1,3,5,2,1,4,1,4,4,1,2,1,2,1,0.16319636385971378,0.16319636385971378,0.19123,1.99356,0.04254478646655606,3.2338741590819153,9231.57,0.49,408.61,0.31,285.7,0.31,1443.88,0.29,16817.41,0.29,2226.04,0.21,1361.04,0.41,2276.01,0.33,108.51,0.15,481.39,0.33,981.6,0.15,2139.98,0.05,270.96,0.21,138.46,0.1,0.17255896877055538
3,2,3,1,2,5,1,1,1,1,2,2,1,1,0.17316548971446116,0.17316548971446116,0.1945,2.02472,0.043058056609322576,3.177809388335704,106814.62,0.5,92.75,0.0,45468.93,0.3,360.61,0.0,22304.72,0.3,632.05,0.0,349.42,0.0,635.01,0.0,30.14,0.0,133.98,0.0,35025.8,0.08,56946.05,0.05,31559.4,0.32,56.66,0.0,0.0795993265534687
3,1,4,3,2,5,1,1,3,1,2,2,1,1,0.15996315627878416,0.15996315627878416,0.16622,2.05965,0.03659066146631081,4.099415204678363,75179.02,0.41,30.84,0.0,57476.88,0.25,168.85,0.0,13809.21,0.28,244.91,0.0,185.77,0.0,299.54,0.0,19.67,0.0,66.19,0.0,3335564.44,1.0,7486651197647177.0,1.0,29377.95,0.29,46.77,0.0,0.0455393167757554
4,2,5,2,1,5,1,1,2,1,1,1,2,1,0.17819590481460984,0.17819590481460984,0.20371,1.05466,0.05089914461508599,4.300338983050848,306284.4,0.48,220.7,0.0,154697.66,0.24,743.03,0.0,89062.14,0.23,1797.07,0.0,747.17,0.0,1858.63,0.0,71.46,0.0,528.18,0.0,217627.15,0.03,904321.52,0.01,91371.1,0.28,63.31,0.0,0.057360948795521
4,1,3,3,2,4,2,3,4,1,2,2,1,1,0.17413761298653385,0.17413761298653385,0.19312,0.99921,0.048285351001802104,3.8415335463258784,262.91,0.3,892.22,0.28,1756.21,0.26,836.24,0.52,1809.18,0.71,75.63,0.15,429.88,1.0,88.02,0.09,573.91,0.42,1097.41,0.32,429.6,0.28,23.83,0.17,268.98,0.04,814.43,0.28,0.1713964521035371
3,1,7,4,1,3,1,3,8,1,1,2,1,1,0.16334049739023643,0.16334049739023643,0.19907,1.99668,0.04427824969888106,3.187017001545595,367.85,0.52,81.48,0.32,339.28,0.26,332.39,0.29,335.2,0.29,614.1,0.21,312.22,0.41,610.95,0.34,27.66,0.14,130.21,0.33,255.47,0.16,0.98,0.04,121.31,0.23,48.5,0.08,0.1978078346775182
1,2,5,3,1,5,2,2,8,2,1,1,2,1,0.18266691235182114,0.18211412075425343,0.19091,1.97156,0.042627867485412474,3.228655834564254,507.63,0.31,1868.96,0.29,2958.79,0.21,1744.05,0.41,3036.3,0.34,158.75,0.14,644.05,0.34,153.72,0.09,701.41,0.47,781.57,0.28,674.35,0.29,713.97,0.08,688.43,0.05,752.64,0.29,0.18469696263905458
3,1,6,4,1,4,1,4,4,1,2,1,2,1,0.16518268345102854,0.16518268345102854,0.21945,1.97226,0.049014161583127575,3.0281954887218046,1690.76,0.48,101.41,0.32,214.79,0.31,298.04,0.3,3081.48,0.3,497.45,0.21,338.13,0.4,504.44,0.33,30.27,0.15,122.28,0.34,227.18,0.16,411.63,0.06,78.18,0.21,52.28,0.09,0.18438408914014173
1,4,7,4,1,3,2,4,7,1,2,1,1,1,0.16817148823782324,0.16817148823782324,0.19625,2.00205,0.0436000343168397,3.017415215398717,489.83,0.3,1718.26,0.29,2696.9,0.21,1594.56,0.4,2756.69,0.33,175.78,0.15,600.71,0.33,138.33,0.09,21001.14,0.44,24689.07,0.24,23374.71,0.29,1277.71,0.13,2470.58,0.05,20880.19,0.22,0.1945229693018838
4,2,8,2,1,2,2,4,5,2,2,2,2,1,0.20217672016233168,0.20217672016233168,0.19276,0.99366,0.04819538855319123,3.701162147205313,289.44,0.3,1041.97,0.29,1919.39,0.26,1005.9,0.52,1980.1,0.71,109.63,0.16,470.05,1.0,91.03,0.09,14425.84,0.45,1549.01,0.27,5103.0,0.29,122.9,0.15,1168.9,0.04,1249.93,0.25,0.1846447168278341
2,2,2,2,2,3,1,4,8,2,1,1,2,1,0.16687141687141688,0.16687141687141688,0.19092,1.86605,0.043383100022923726,3.18200620475698,6759.89,0.46,173.85,0.31,8041.13,0.2,475.61,0.27,7756.36,0.27,887.94,0.21,462.28,0.4,911.17,0.36,41.46,0.13,183.01,0.35,234.42,0.17,821.65,0.04,6748.13,0.27,42.72,0.08,0.16926659745480885
