sampling,invalid_value,missing_value,floating_point,unit_converter,normalization,outlier,punctuation,stopword,lowercase,whitespace,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,class_imbalance_ratio,corr_race,ot_race,corr_gender,ot_gender,corr_loan_type,ot_loan_type,corr_applicant_age,ot_applicant_age,corr_lien_status,ot_lien_status,corr_LV,ot_LV,corr_DI,ot_DI,corr_income_brackets,ot_income_brackets,utility_accuracy_score
1,2,3,2,1,2,3,1,2,2,2,1,0.35914396887159533,0.35797665369649806,10.603658536585366,1060.64,0.24,1409.57,1.0,48919.51,1.0,1291.93,0.34,26258.88,1.0,2239.29,0.37,1060.64,0.37,26258.9,0.25,0.09090909090909094
2,1,9,2,2,2,4,1,1,2,2,1,0.17380025940337224,0.17380025940337224,9.18867924528302,409.0,0.36,380.29,1.0,338.09,0.31,449.88,0.37,320.93,0.03,430.81,0.27,409.0,0.26,320.93,0.08,0.0981481481481481
1,1,8,3,2,4,6,2,2,1,2,1,0.18832684824902723,0.18832684824902723,9.58235294117647,282.96,0.31,522.95,1.0,9968.22,0.26,10408.78,0.34,3286.68,0.03,10241.19,0.23,283.04,0.5,3286.75,0.12,0.09449694274596998
1,2,7,1,2,3,3,1,2,2,2,1,0.2766536964980545,0.2766536964980545,10.923076923076923,9608.57,0.23,10217.97,1.0,10847.34,0.03,2000.34,0.38,20306.0,1.0,7737.85,0.17,9608.41,0.36,2533.74,0.28,0.08387096774193548
1,3,4,2,1,2,8,2,1,2,1,1,0.20116731517509728,0.20116731517509728,8.225641025641025,1384.98,0.36,1170.91,0.39,1309.35,0.28,1610.86,0.35,981.3,0.02,1415.11,0.2,1384.98,0.38,981.27,0.14,0.10839355197331846
2,1,4,3,2,5,8,1,1,2,2,1,0.17120622568093385,0.17120622568093385,9.384615384615385,127.96,0.37,142.12,0.39,5055.59,0.21,5057.94,0.32,5058.31,1.0,5053.91,0.33,127.98,0.39,5057.97,0.35,0.10555555555555551
1,1,6,1,1,5,4,1,2,1,2,1,0.18482490272373542,0.1840466926070039,9.52046783625731,354.92,0.34,573.11,1.0,10408.69,0.29,9840.07,0.36,14164.64,0.02,10036.4,0.26,354.99,0.4,14163.52,0.12,0.09505280711506392
2,1,6,4,1,5,4,1,2,2,2,1,0.1582360570687419,0.1582360570687419,9.0,111.72,0.36,155.38,1.0,2739.98,0.31,3438.2,0.37,4192.23,0.02,3135.61,0.26,111.74,0.46,4191.96,0.11,0.6648148148148147
2,3,3,2,2,4,3,1,2,1,1,1,0.17250324254215305,0.17250324254215305,9.62295081967213,150.45,0.37,201.41,1.0,6207.61,0.28,6225.59,0.33,1249.82,1.0,6220.32,0.52,150.47,0.29,1249.85,0.3,0.10802469135802473
2,2,7,3,2,3,7,2,1,2,2,1,0.2905317769130999,0.29701686121919585,9.384615384615385,2703.42,0.36,2857.6,1.0,588.45,0.22,550.27,0.04,5058.31,1.0,1982.26,0.34,2703.38,0.35,888.51,0.36,0.09999999999999998
1,1,3,1,1,5,4,1,1,1,2,1,0.18832684824902723,0.18832684824902723,9.28,342.47,0.34,565.8,1.0,10003.03,0.29,9805.79,0.37,13900.72,0.01,10001.62,0.26,342.54,0.34,13899.61,0.15,0.09727626459143968
1,4,5,1,2,3,7,2,2,1,1,1,0.3649805447470817,0.36536964980544745,8.620320855614974,8615.16,0.33,9176.51,1.0,1848.42,0.22,1611.81,0.36,12238.1,0.02,6371.65,0.29,8615.03,0.36,36.67,0.16,0.10394663702056695
1,2,4,4,1,5,2,1,2,1,1,1,0.3782101167315175,0.37509727626459144,11.942446043165468,130.95,0.21,576.65,1.0,12745.12,0.14,3384.95,0.24,21472.52,1.0,930.48,0.28,131.0,0.35,21470.59,0.25,0.07893274041133969
2,3,8,3,2,5,8,1,2,1,1,1,0.16601815823605706,0.16601815823605706,10.25,128.15,0.36,153.93,0.39,5521.83,0.2,5524.35,0.33,5524.75,1.0,5519.93,0.3,128.17,0.36,5524.34,0.29,0.09259259259259256
