sampling,invalid_value,missing_value,floating_point,unit_converter,normalization,outlier,punctuation,stopword,lowercase,whitespace,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,class_imbalance_ratio,corr_race,ot_race,corr_gender,ot_gender,corr_loan_type,ot_loan_type,corr_applicant_age,ot_applicant_age,corr_lien_status,ot_lien_status,corr_LV,ot_LV,corr_DI,ot_DI,corr_income_brackets,ot_income_brackets,utility_accuracy_score
1,2,9,1,2,4,4,1,1,1,1,1,0.2821011673151751,0.28326848249027237,8.468421052631578,331.46,0.38,492.62,1.0,9244.89,0.28,561.92,0.36,2759.23,0.05,561.9,0.54,1353.79,0.61,1318.16,0.27,0.10450250138966088
1,1,2,4,2,1,6,1,1,1,1,1,0.24747081712062258,0.24747081712062258,9.163841807909604,113.52,0.38,546.22,1.0,99.29,0.32,7640.97,0.38,122.96,0.18,7640.97,0.55,99.29,0.22,4109.14,0.22,0.10005558643690937
1,2,5,2,2,4,6,2,2,1,1,1,0.36770428015564205,0.3603112840466926,11.155405405405405,425.89,0.35,538.74,0.39,10598.56,0.27,777.57,0.33,3964.57,0.01,777.55,0.35,1842.82,0.6,1727.44,0.24,0.08282379099499726
1,1,9,2,2,5,4,2,1,1,1,1,0.23035019455252917,0.22879377431906614,9.050279329608939,29.24,0.38,525.34,1.0,9818.01,0.3,609.28,0.34,32.59,0.14,609.26,0.36,9818.01,0.21,1418.84,0.27,0.09949972206781543
1,4,5,2,1,2,7,2,1,2,1,1,0.36770428015564205,0.3404669260700389,10.606451612903227,1485.36,0.36,1371.6,1.0,1137.51,0.3,1716.53,0.28,1002.98,0.02,1716.53,0.32,1554.79,0.57,1377.44,0.27,0.0861589772095609
1,4,1,1,1,3,5,1,1,1,2,1,0.41209068010075567,0.4181360201511335,9.684615384615384,7061.49,0.36,7483.26,1.0,2364.46,0.38,4066.99,0.35,12794.73,0.0,4067.0,0.35,2364.45,0.59,685.31,0.27,0.08927285817134634
2,4,5,3,2,4,4,1,1,1,1,1,0.34889753566796367,0.34889753566796367,8.310344827586206,95.45,0.35,147.1,1.0,2467.15,0.29,152.89,0.39,850.2,0.0,152.88,0.36,403.92,0.61,405.04,0.25,0.12037037037037035
2,4,1,1,1,4,3,1,1,2,1,1,0.38803418803418804,0.39829059829059826,9.784313725490197,114.45,0.35,194.47,1.0,600.43,0.37,185.59,0.37,1082.42,1.0,185.58,0.33,600.43,0.43,478.5,0.23,0.09090909090909094
2,3,2,4,2,4,2,2,2,1,1,1,0.245136186770428,0.24773022049286642,9.588235294117647,5160.54,0.34,172.12,1.0,5163.13,0.36,169.34,0.31,5205.05,0.09,169.33,0.44,5163.13,0.39,472.02,0.2,0.09444444444444444
2,4,5,3,1,1,8,1,1,2,1,1,0.34889753566796367,0.34889753566796367,11.55813953488372,137.28,0.36,187.79,1.0,43.51,0.33,3338.5,0.24,47.63,0.0,3338.5,0.44,2129.59,0.42,1467.2,0.2,0.08148148148148149
1,1,5,2,1,2,3,2,2,2,2,1,0.2649805447470817,0.2595330739299611,10.206703910614525,11435.31,0.34,1554.57,1.0,32099.25,0.43,1564.19,0.38,9516.13,1.0,1564.19,0.36,32099.25,0.59,1574.42,0.25,0.08923230309072783
1,4,5,1,1,4,7,1,1,1,1,1,0.36770428015564205,0.3603112840466926,10.835526315789474,419.34,0.35,625.68,1.0,10181.48,0.29,921.87,0.29,3975.57,0.0,921.84,0.34,1882.33,0.57,1646.96,0.25,0.08504724847137302
2,3,5,3,2,4,2,2,2,2,1,1,0.25810635538262,0.2619974059662776,9.588235294117647,5160.68,0.36,170.32,1.0,5163.11,0.35,175.15,0.35,5166.91,0.01,175.15,0.46,5163.11,0.39,473.0,0.22,0.16296296296296298
1,4,1,3,1,5,1,1,1,1,1,1,0.4080604534005038,0.4095717884130982,8.452380952380953,358.33,0.35,584.85,1.0,2274.42,0.44,591.52,0.39,13771.83,0.02,591.51,0.36,2274.41,0.6,1475.26,0.28,0.10428211586901759
1,2,6,3,2,3,5,2,1,2,2,1,0.3007782101167315,0.30311284046692605,9.96951219512195,9214.59,0.35,9616.62,1.0,100.01,0.28,5589.03,0.36,16759.33,0.01,5589.05,0.36,4652.67,0.61,799.99,0.27,0.09227348526959422
