sampling,invalid_value,missing_value,floating_point,unit_converter,distribution_shape,multicollinearity,normalization,outlier,punctuation,stopword,lowercase,whitespace,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,class_imbalance_ratio,corr_race,ot_race,corr_gender,ot_gender,corr_loan_type,ot_loan_type,corr_applicant_age,ot_applicant_age,corr_lien_status,ot_lien_status,corr_LV,ot_LV,corr_DI,ot_DI,corr_income_brackets,ot_income_brackets,utility_accuracy_score
2,1,9,3,2,1,2,1,3,1,1,1,1,1,0.23994811932555124,0.23994811932555124,9.901960784313726,113.94,0.34,200.95,1.0,56.05,1.0,2582.17,0.33,1959.86,0.43,1431.33,0.23,0.09172661870503596,,,,
1,1,6,2,2,2,2,3,6,2,2,2,1,1,0.2066147859922179,0.2066147859922179,10.758169934640524,88.75,0.37,9613.36,0.38,838.81,0.08,4676.54,0.29,86.94,0.17,792.5,0.24,0.09005002779321847,,,,
1,4,4,3,1,2,2,4,5,1,2,2,2,1,0.30622568093385216,0.3085603112840467,11.669014084507042,345.0,0.31,587.94,1.0,8757.23,0.28,1982.55,0.01,250.33,0.35,713.45,0.58,689.2,0.25,0.08115619788771544,,
2,3,8,1,2,3,2,4,5,1,2,1,1,1,0.22568093385214008,0.22568093385214008,10.020408163265307,4.9,0.36,161.58,1.0,6.98,0.1,45.86,0.35,2968.7,0.17,157.18,0.26,0.09074074074074079,,,,
2,4,4,2,1,1,1,1,7,2,2,1,1,1,0.34889753566796367,0.34889753566796367,12.170731707317072,137.61,0.35,192.0,1.0,44.67,0.33,2943.38,0.27,45.28,0.0,2943.38,0.25,2394.07,0.5,1145.25,0.24,0.07777777777777772
1,3,4,2,1,3,1,1,6,2,1,1,2,1,0.21284046692607003,0.21284046692607003,10.532051282051283,26944.58,0.37,629.04,1.0,121.37,0.26,6959.68,0.32,34285.56,0.06,6951.8,0.34,121.37,0.19,2181.65,0.23,0.10172317954419119
2,4,4,2,2,1,1,4,6,1,2,1,2,1,0.34889753566796367,0.35149156939040205,10.020408163265307,130.39,0.37,214.94,1.0,3403.68,0.26,231.42,0.3,1094.2,1.0,231.41,0.31,622.43,0.51,540.93,0.25,0.09259259259259256
2,1,9,2,2,2,1,4,6,1,2,2,1,1,0.23216601815823606,0.23216601815823606,10.73913043478261,2.3,0.4,192.14,1.0,2054.28,0.26,57.81,0.36,3.01,0.15,57.81,0.31,2054.28,0.33,224.08,0.25,0.08333333333333337
2,3,4,1,2,1,2,3,4,1,2,1,1,1,0.22697795071335927,0.22697795071335927,9.913793103448276,33.14,0.39,3435.32,1.0,20.74,0.03,1945.43,0.48,35.41,0.18,320.67,0.25,0.09162717219589256,,,,
2,4,9,4,2,1,2,5,8,2,1,2,1,1,0.3035019455252918,0.3022049286640726,11.0,120.15,0.36,250.34,1.0,5924.72,0.35,5921.36,0.01,160.42,0.44,831.45,0.38,605.3,0.21,0.08518518518518514,,
2,2,3,1,2,3,1,3,4,1,2,1,1,1,0.2710765239948119,0.26459143968871596,7.852459016393443,2481.56,0.33,2658.61,1.0,24.56,0.27,1194.5,0.38,4211.83,0.0,1193.67,0.38,481.29,0.3,211.22,0.26,0.12962962962962965
1,1,9,4,1,2,1,1,3,1,1,2,2,1,0.21828793774319066,0.21828793774319066,9.957055214723926,774727.13,0.35,2258.57,1.0,3571.2,0.41,5866.96,0.45,1483302.33,1.0,5866.85,0.51,3571.2,0.45,735.75,0.25,0.09238521836506164
2,2,1,1,1,1,2,5,7,2,2,2,1,1,0.4239316239316239,0.4239316239316239,10.054054054054054,70.53,0.32,249.73,1.0,4102.05,1.0,121.61,0.45,599.9,0.37,414.64,0.19,0.09290953545232272,,,,
2,4,7,3,1,3,1,4,5,2,1,2,2,1,0.21660181582360571,0.21660181582360571,9.8,133.36,0.4,182.29,1.0,2736.86,0.22,46.56,0.31,256.36,0.01,46.56,0.3,153.36,0.44,164.94,0.26,0.1074074074074074
1,2,5,4,2,3,1,3,4,2,1,2,1,1,0.2926070038910506,0.27976653696498055,8.939226519337016,8751.95,0.34,9296.87,1.0,63.51,0.3,4473.7,0.36,15583.72,0.01,4470.1,0.37,4412.22,0.65,672.83,0.28,0.10783768760422452
2,2,4,3,1,3,2,3,1,1,1,2,2,1,0.27626459143968873,0.27626459143968873,9.012987012987013,3776.26,0.34,4024.74,1.0,33.19,0.3,6839.53,0.01,1800.26,0.37,1538.48,0.41,302.98,0.27,0.11543450064850846,,
2,3,4,1,1,2,1,1,3,1,2,2,2,1,0.23994811932555124,0.23994811932555124,9.654545454545454,247811.86,0.35,738.3,1.0,1310.15,0.39,1942.71,0.44,474350.8,1.0,1942.69,0.48,1310.15,0.43,253.77,0.23,0.09556313993174059
1,2,3,1,2,2,1,3,3,1,2,2,2,1,0.31361867704280155,0.3077821011673152,10.02116402116402,10607.05,0.34,11222.41,1.0,6987.24,0.51,6816.96,0.46,20864.06,1.0,6816.97,0.5,2062.66,0.75,1148.43,0.23,0.0912145943350936
2,4,8,3,2,2,2,4,6,2,2,2,1,1,0.26848249027237353,0.26718547341115434,9.18867924528302,117.39,0.38,183.14,1.0,2323.07,0.23,446.1,0.01,24.17,0.28,119.47,0.42,167.83,0.22,0.11481481481481481,,
2,3,8,2,2,1,1,3,6,2,1,2,2,1,0.2438391699092088,0.24254215304798962,10.73913043478261,39.99,0.41,3052.95,1.0,31.31,0.28,1907.08,0.31,39.4,0.13,1907.09,0.28,31.31,0.18,334.36,0.24,0.09074074074074079
2,3,4,4,1,3,1,2,7,2,2,2,2,1,0.2178988326848249,0.2191958495460441,9.18867924528302,369.77,0.42,455.04,1.0,260.15,0.31,545.77,0.31,370.77,0.06,546.09,0.23,260.15,0.21,443.42,0.23,0.1166666666666667
1,1,2,2,1,2,2,5,4,2,2,2,1,1,0.22101167315175096,0.22101167315175096,9.289592760180996,59.89,0.36,646.73,1.0,78.61,0.12,162.05,0.34,10670.23,0.2,682.13,0.25,0.11653474054529467,,,,
1,4,3,2,1,3,2,1,2,2,2,2,1,1,0.2953307392996109,0.2953307392996109,13.508064516129032,256.16,0.26,637.1,1.0,10838.2,0.54,133.11,1.0,12143.94,0.46,10838.21,0.72,4206.81,0.2,0.07281823235130624,,
2,2,8,1,1,1,1,5,1,1,1,2,2,1,0.3009079118028534,0.3022049286640726,9.012987012987013,170.02,0.4,236.94,1.0,3806.42,0.31,242.37,0.39,6471.1,0.02,242.37,0.53,781.61,0.6,626.98,0.27,0.10376134889753563
2,3,6,4,1,3,2,4,4,2,1,1,2,1,0.2178988326848249,0.2178988326848249,9.728813559322035,13.77,0.38,205.95,1.0,13.41,0.07,40.69,0.32,3438.15,0.18,176.72,0.25,0.10584518167456558,,,,
