sampling,invalid_value,missing_value,floating_point,unit_converter,distribution_shape,multicollinearity,normalization,outlier,punctuation,stopword,lowercase,whitespace,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,diff_sensitive_attr,ratio_sensitive_attr,cov,class_imbalance_ratio,corr_Workclass,ot_Workclass,corr_Education,ot_Education,corr_Martial_Status,ot_Martial_Status,corr_Occupation,ot_Occupation,corr_Relationship,ot_Relationship,corr_Race,ot_Race,corr_Sex,ot_Sex,corr_Country,ot_Country,corr_Age,ot_Age,corr_fnlwgt,ot_fnlwgt,corr_Education_Num,ot_Education_Num,corr_Capital_Gain,ot_Capital_Gain,corr_Capital_Loss,ot_Capital_Loss,corr_Hours_per_week,ot_Hours_per_week,utility_sp
3,4,8,4,1,1,2,2,4,1,2,2,2,1,0.1326373963770341,0.1326373963770341,0.19065,1.98946,0.042458821179256034,3.2332089552238807,76.76,0.32,286.58,0.29,478.11,0.2,284.55,0.53,476.52,0.34,17.6,0.14,100.7,0.33,47.37,0.1,122.6,0.49,126.5,0.26,87.08,0.29,111.77,0.09,87.0,0.1,132.77,0.32,0.15450706314512824
3,3,5,2,2,5,1,3,5,2,1,1,2,1,0.16948111759287687,0.16948111759287687,0.18906,2.03796,0.04176225327689098,3.269817073170732,290.65,0.31,61.45,0.32,414.99,0.36,354.26,0.29,176.59,0.29,570.38,0.2,352.81,0.41,568.96,0.34,22.83,0.14,122.21,0.33,280.69,0.09,238.35,0.15,31.95,0.3,52.53,0.08,0.1496757748329233
3,3,9,3,2,2,1,5,4,2,1,1,1,1,0.1697881486030089,0.1697881486030089,0.19411,2.01511,0.043046785289347814,3.1259398496240602,64.22,0.35,56.19,0.32,78.72,0.3,289.31,0.29,839.02,0.29,456.49,0.2,291.46,0.41,453.94,0.35,22.34,0.15,98.78,0.33,165.7,0.1,31.32,0.14,300.22,0.3,53.68,0.09,0.17428949714225786
1,3,6,3,1,3,1,3,2,1,1,1,1,1,0.16608316442478963,0.1665745347337387,0.21717,2.57348,0.0437698969761401,3.1155196629213484,858.02,0.23,356.63,0.27,1893.77,0.24,1323.13,0.25,952.01,0.25,2430.86,0.17,1329.69,0.4,2485.09,0.29,94.81,0.1,604.47,0.28,223.93,0.06,1356.09,0.09,155.33,0.27,101.59,0.06,0.18280207523672204
3,3,4,1,1,4,2,2,2,1,1,1,1,1,0.13908504758980658,0.13908504758980658,0.21024,2.56361,0.042456754852272134,3.026275115919629,67.99,0.28,299.1,0.24,438.84,0.15,303.84,0.39,542.77,0.3,20.54,0.08,123.38,0.28,42.27,0.05,45.7,0.23,123.84,0.31,80.62,0.24,243.02,0.08,75.96,0.12,81.2,0.29,0.19292733598366008
4,3,9,2,1,2,1,2,3,1,1,2,2,1,0.1723851687880465,0.1723851687880465,0.17141,0.96124,0.0428506473385695,4.497237569060774,279.48,0.39,0.0,1.0,102.31,0.41,214.94,0.41,45.0,0.16,659.16,0.28,235.97,0.53,681.36,0.66,0.0,1.0,146.13,1.0,4447.43,1.0,82.91,1.0,67.69,0.33,0.0,1.0,0.11769912776206434
4,1,2,4,2,3,1,3,5,2,2,1,2,1,0.1720162331673123,0.1720162331673123,0.19687,0.99219,0.049222034688225086,3.850951374207188,1012.8,0.29,322.45,0.3,1700.64,0.26,1159.69,0.28,615.75,0.28,2045.39,0.26,1037.11,0.51,2109.75,0.71,100.41,0.15,542.2,1.0,362.15,0.08,1528.9,0.13,736.28,0.26,105.05,0.09,0.1676534766299958
4,2,2,1,2,3,2,5,1,1,2,2,1,1,0.18160855930640105,0.18160855930640105,0.19457,0.99939,0.04864818338620907,3.8976417461113897,318.07,0.31,1171.87,0.28,2133.55,0.26,1087.24,0.52,2210.92,0.71,100.33,0.16,567.36,1.0,106.72,0.09,2787.08,0.58,6462.58,0.22,18568.25,0.28,959.0,0.08,601.42,0.14,16889.54,0.21,0.170952662796916
3,1,8,4,2,3,1,5,5,2,1,2,2,1,0.1737795517347252,0.1737795517347252,0.19576,1.94018,0.04395157604865985,3.2915980230642505,4350.88,0.28,66.6,0.32,2094.8,0.27,329.57,0.29,4017.59,0.29,554.79,0.21,324.4,0.41,557.84,0.35,20.43,0.15,124.27,0.34,305.29,0.09,2650.66,0.16,3899.93,0.31,51.11,0.09,0.13261030285600978
2,4,2,3,2,3,1,3,5,2,1,2,1,1,0.1541769041769042,0.1541769041769042,0.19528,1.89738,0.04414827946222363,3.2494949494949497,771.63,0.5,192.3,0.31,828.18,0.24,491.34,0.28,339.16,0.28,882.32,0.21,507.96,0.41,903.42,0.35,39.1,0.13,200.43,0.35,180.3,0.09,269.76,0.14,177.78,0.18,63.41,0.09,0.1807257528260663
3,3,6,4,2,4,2,5,2,1,2,1,2,1,0.14246238870125882,0.14246238870125882,0.20648,2.60152,0.041429227062378136,3.3296903460837886,61.46,0.28,249.08,0.25,471.81,0.17,271.33,0.4,470.21,0.31,19.13,0.09,113.27,0.28,39.84,0.05,4946.38,0.23,256.7,0.3,2886.93,0.25,590.57,0.07,667.05,0.11,1642.15,0.32,0.15526729143502585
1,1,7,4,1,2,2,3,2,2,2,2,2,1,0.1741907745224495,0.1741907745224495,0.21801,2.63442,0.04348362657031963,3.2792990142387732,347.19,0.27,1292.56,0.25,2427.83,0.16,1365.54,0.4,2493.11,0.29,92.1,0.09,619.21,0.28,100.37,0.05,666.91,0.33,1422.86,0.31,503.52,0.25,2226.05,0.05,229.86,0.09,22.54,0.31,0.186565935269128
3,4,3,1,1,5,2,2,7,1,2,1,1,1,0.1946576604237028,0.1869818851704022,0.19081,1.99381,0.0424605070784152,3.2661764705882352,77.94,0.32,375.0,0.29,606.24,0.21,373.29,0.41,606.89,0.34,22.06,0.14,129.86,0.33,54.83,0.09,140.29,0.42,148.7,0.27,136.28,0.29,139.11,0.09,148.6,0.04,182.82,0.29,0.18590754379555025
2,1,5,1,1,3,1,4,6,2,2,1,2,1,0.1631859131859132,0.1631859131859132,0.20363,1.80322,0.04673962384655665,3.2577777777777777,6172.58,0.32,193.78,0.31,7309.5,0.27,444.93,0.28,7490.31,0.28,798.15,0.21,474.91,0.4,822.38,0.35,41.76,0.14,201.77,0.36,484.27,0.08,4289.06,0.14,6516.45,0.28,62.65,0.08,0.13092200833616496
3,3,8,1,1,5,2,1,4,1,1,1,2,1,0.17316548971446116,0.17316548971446116,0.21459,2.01432,0.047593108713792145,3.216757741347905,74.42,0.0,296.24,0.0,492.95,0.0,304.38,0.0,488.27,0.0,26.09,0.0,129.45,0.0,50.31,0.0,20659.25,0.27,10909.22,0.33,19162.44,0.27,21331.65,0.1,15710.92,0.14,26927.46,0.28,0.09984210030165913
3,3,4,4,2,5,1,2,4,2,1,2,1,1,0.16671783850168867,0.16671783850168867,0.20847,1.98164,0.04648648101880418,3.185567010309278,128.06,0.25,70.94,0.31,126.32,0.35,317.11,0.29,107.25,0.29,467.29,0.18,277.48,0.41,566.96,0.35,26.81,0.15,128.63,0.34,97.02,0.1,130.49,0.15,127.21,0.27,48.58,0.09,0.19974401291880461
3,2,2,3,2,3,1,1,4,2,1,1,2,1,0.16856002456248081,0.16856002456248081,0.19638,1.97762,0.043822861522053114,3.249500998003992,82045.68,0.57,73.45,0.0,582259.35,0.21,276.04,0.0,36251.9,0.29,468.18,0.0,298.42,0.0,470.6,0.0,20.6,0.0,100.68,0.0,103.52,0.09,168.19,0.15,79686.61,0.25,63.26,0.0,0.16561458343636562
1,1,2,4,1,1,1,5,6,1,1,1,2,1,0.1364166820219888,0.1364166820219888,0.19753,2.01607,0.04378099631073189,3.225060827250608,21488.96,0.32,531.88,0.31,734.12,0.41,1868.23,0.3,9036.14,0.3,2498.51,0.29,1786.5,0.4,2990.16,0.33,160.78,0.16,663.84,0.33,3876.87,0.07,78.06,0.12,1923.81,0.33,153.5,0.1,0.1762803837974029
1,2,4,3,2,4,1,2,4,1,2,2,1,1,0.1456298753147841,0.1456298753147841,0.19405,1.98294,0.04324772537320537,3.1713134027544507,620.16,0.47,441.91,0.31,659.1,0.23,1649.91,0.29,558.03,0.29,2068.5,0.19,1597.36,0.41,2570.63,0.33,144.18,0.14,570.67,0.34,582.96,0.08,613.83,0.04,578.0,0.31,144.26,0.1,0.18393965005376747
4,1,9,3,1,4,2,2,3,2,1,1,2,1,0.1409334071204575,0.1409334071204575,0.16554,0.95078,0.04137527673566376,4.6084905660377355,0.0,1.0,165.0,0.4,513.73,0.29,169.03,0.53,532.63,0.66,0.0,1.0,109.99,1.0,0.0,1.0,375.76,0.48,8.37,0.27,0.08,0.14,2770.92,1.0,29.79,1.0,0.0,0.23,0.1131558774961584
4,3,2,3,1,5,2,2,5,2,2,1,2,1,0.1813318575908504,0.18142409149603395,0.19995,0.98837,0.04999081595304089,3.7932930181418363,310.51,0.3,1085.6,0.28,2013.32,0.25,1015.97,0.51,2059.28,0.71,99.88,0.16,526.6,1.0,103.99,0.09,353.69,0.28,425.0,0.35,298.82,0.28,293.03,0.08,424.49,0.13,371.64,0.24,0.1845146356748554
1,2,4,3,2,5,1,4,1,1,2,2,2,1,0.17271666359560223,0.17271666359560223,0.19098,2.00332,0.042419081225051385,3.233229329173167,24874.47,0.52,571.82,0.31,5048.89,0.29,2114.19,0.29,6948.99,0.29,2653.0,0.19,1967.01,0.41,3391.25,0.34,161.44,0.14,729.93,0.33,87397.25,0.08,105667.66,0.04,2364.11,0.35,167.77,0.1,0.18328930565704682
