missing_value,normalization,outlier,model,utility_sp
4,5,1,1,0.17251888247158328
4,5,2,1,0.18825634688676923
4,5,3,1,0.11455162095331914
4,5,4,1,0.17535810810463173
4,5,5,1,0.17710444009972867
4,5,6,1,0.18208439159665063
4,5,7,1,0.18494468643647058
4,5,8,1,0.18526937611019115
5,1,1,1,0.06442497510703718
5,1,2,1,0.09057590875440837
5,1,3,1,0.0608316636729298
5,1,4,1,0.05523717867000441
5,1,5,1,0.0515122686900836
5,1,6,1,0.049293055676568526
5,1,7,1,0.033000917400360645
5,1,8,1,0.028267653914712733
5,2,1,1,0.16965152909546566
5,2,2,1,0.18993360108301147
5,2,3,1,0.12693072038172112
5,2,4,1,0.1747809020439251
5,2,5,1,0.1767468881897717
5,2,6,1,0.17549486623669727
5,2,7,1,0.1741224736458555
5,2,8,1,0.1736991207741704
5,3,1,1,0.14339926274025405
5,3,2,1,0.15284369073472318
5,3,3,1,0.12663900509584014
5,3,4,1,0.16084121497315934
5,3,5,1,0.17540007930214116
5,3,6,1,0.142175811049282
5,3,7,1,0.15550590022892866
5,3,8,1,0.14471731754974515
5,4,1,1,0.17205878306279754
5,4,2,1,0.18840308086386404
5,4,3,1,0.11250961395215228
5,4,4,1,0.17317214175948475
5,4,5,1,0.17784550501085716
5,4,6,1,0.18203514897820328
5,4,7,1,0.18391882436076828
5,4,8,1,0.18606117296525662
5,5,1,1,0.17251888247158328
5,5,2,1,0.18825634688676923
5,5,3,1,0.11455162095331914
5,5,4,1,0.17535810810463173
5,5,5,1,0.17710444009972867
5,5,6,1,0.18208439159665063
5,5,7,1,0.18494468643647058
5,5,8,1,0.18526937611019115
6,1,1,1,0.06442497510703718
6,1,2,1,0.09057590875440837
6,1,3,1,0.0608316636729298
6,1,4,1,0.05523717867000441
6,1,5,1,0.0515122686900836
6,1,6,1,0.049293055676568526
6,1,7,1,0.033000917400360645
6,1,8,1,0.028267653914712733
6,2,1,1,0.16965152909546566
6,2,2,1,0.18993360108301147
6,2,3,1,0.12693072038172112
6,2,4,1,0.1747809020439251
6,2,5,1,0.1767468881897717
6,2,6,1,0.17549486623669727
6,2,7,1,0.1741224736458555
6,2,8,1,0.1736991207741704
6,3,1,1,0.14339926274025405
6,3,2,1,0.15284369073472318
6,3,3,1,0.12663900509584014
6,3,4,1,0.16084121497315934
6,3,5,1,0.17540007930214116
6,3,6,1,0.142175811049282
6,3,7,1,0.15550590022892866
6,3,8,1,0.14471731754974515
6,4,1,1,0.17205878306279754
6,4,2,1,0.18840308086386404
6,4,3,1,0.11250961395215228
6,4,4,1,0.17317214175948475
6,4,5,1,0.17784550501085716
6,4,6,1,0.18203514897820328
6,4,7,1,0.18391882436076828
6,4,8,1,0.18606117296525662
6,5,1,1,0.17251888247158328
6,5,2,1,0.18825634688676923
6,5,3,1,0.11455162095331914
6,5,4,1,0.17535810810463173
6,5,5,1,0.17710444009972867
6,5,6,1,0.18208439159665063
6,5,7,1,0.18494468643647058
6,5,8,1,0.18526937611019115
7,1,1,1,0.06442497510703718
7,1,2,1,0.09057590875440837
7,1,3,1,0.0608316636729298
7,1,4,1,0.05523717867000441
7,1,5,1,0.0515122686900836
7,1,6,1,0.049293055676568526
7,1,7,1,0.033000917400360645
7,1,8,1,0.028267653914712733
7,2,1,1,0.16965152909546566
7,2,2,1,0.18993360108301147
7,2,3,1,0.12693072038172112
7,2,4,1,0.1747809020439251
7,2,5,1,0.1767468881897717
7,2,6,1,0.17549486623669727
7,2,7,1,0.1741224736458555
7,2,8,1,0.1736991207741704
7,3,1,1,0.14339926274025405
7,3,2,1,0.15284369073472318
7,3,3,1,0.12663900509584014
7,3,4,1,0.16084121497315934
7,3,5,1,0.17540007930214116
7,3,6,1,0.142175811049282
7,3,7,1,0.15550590022892866
7,3,8,1,0.14471731754974515
7,4,1,1,0.17205878306279754
7,4,2,1,0.18840308086386404
7,4,3,1,0.11250961395215228
7,4,4,1,0.17317214175948475
7,4,5,1,0.17784550501085716
7,4,6,1,0.18203514897820328
7,4,7,1,0.18391882436076828
7,4,8,1,0.18606117296525662
7,5,1,1,0.17251888247158328
7,5,2,1,0.18825634688676923
7,5,3,1,0.11455162095331914
7,5,4,1,0.17535810810463173
7,5,5,1,0.17710444009972867
7,5,6,1,0.18208439159665063
7,5,7,1,0.18494468643647058
7,5,8,1,0.18526937611019115
8,1,1,1,0.06442497510703718
8,1,2,1,0.09057590875440837
8,1,3,1,0.0608316636729298
8,1,4,1,0.05523717867000441
8,1,5,1,0.0515122686900836
8,1,6,1,0.049293055676568526
8,1,7,1,0.033000917400360645
8,1,8,1,0.028267653914712733
8,2,1,1,0.16965152909546566
8,2,2,1,0.18993360108301147
8,2,3,1,0.12693072038172112
