missing_value,normalization,outlier,model,utility_sp
6,4,2,1,0.18836520434945633
6,4,3,1,0.09201623815967523
6,4,4,1,0.1762317597096368
6,4,5,1,0.19149507215769096
6,4,6,1,0.19185818830589738
6,4,7,1,0.17901126826254307
6,4,8,1,0.17678432889142517
6,5,1,1,0.1641146871443066
6,5,2,1,0.19061117360329957
6,5,3,1,0.1002710027100271
6,5,4,1,0.17740508865762816
6,5,5,1,0.19287900631659155
6,5,6,1,0.1942319598546687
6,5,7,1,0.18254079957105995
6,5,8,1,0.1802120306457552
7,1,1,1,0.05983460631874594
7,1,2,1,0.10942632170978628
7,1,3,1,0.07376740527513723
7,1,4,1,0.06333198630788248
7,1,5,1,0.019147122729655436
7,1,6,1,0.016309151100259142
7,1,7,1,0.002512664640324215
7,1,8,1,0.002169474612955302
7,2,1,1,0.172809271934749
7,2,2,1,0.1967979002624672
7,2,3,1,0.16043513066517126
7,2,4,1,0.17196875499075995
7,2,5,1,0.18601782056266686
7,2,6,1,0.17743509607248026
7,2,7,1,0.1764881611174998
7,2,8,1,0.17700608238257853
7,3,1,1,0.15479562704188404
7,3,2,1,0.2014360704911886
7,3,3,1,0.15366923080048925
7,3,4,1,0.16712470203448082
7,3,5,1,0.18019445991796224
7,3,6,1,0.16709493260345268
7,3,7,1,0.16300254310494092
7,3,8,1,0.16340936200157624
7,4,1,1,0.16235671403236798
7,4,2,1,0.18836520434945633
7,4,3,1,0.09201623815967523
7,4,4,1,0.1762317597096368
7,4,5,1,0.19149507215769096
7,4,6,1,0.19185818830589738
7,4,7,1,0.17901126826254307
7,4,8,1,0.17678432889142517
7,5,1,1,0.1641146871443066
7,5,2,1,0.19061117360329957
7,5,3,1,0.1002710027100271
7,5,4,1,0.17740508865762816
7,5,5,1,0.19287900631659155
7,5,6,1,0.1942319598546687
7,5,7,1,0.18254079957105995
7,5,8,1,0.1802120306457552
8,1,1,1,0.05983460631874594
8,1,2,1,0.10942632170978628
8,1,3,1,0.07376740527513723
8,1,4,1,0.06333198630788248
8,1,5,1,0.019147122729655436
8,1,6,1,0.016309151100259142
8,1,7,1,0.002512664640324215
8,1,8,1,0.002169474612955302
8,2,1,1,0.172809271934749
8,2,2,1,0.1967979002624672
8,2,3,1,0.16043513066517126
8,2,4,1,0.17196875499075995
8,2,5,1,0.18601782056266686
8,2,6,1,0.17743509607248026
8,2,7,1,0.1764881611174998
8,2,8,1,0.17700608238257853
8,3,1,1,0.15479562704188404
8,3,2,1,0.2014360704911886
8,3,3,1,0.15366923080048925
8,3,4,1,0.16712470203448082
8,3,5,1,0.18019445991796224
8,3,6,1,0.16709493260345268
8,3,7,1,0.16300254310494092
8,3,8,1,0.16340936200157624
8,4,1,1,0.16235671403236798
8,4,2,1,0.18836520434945633
8,4,3,1,0.09201623815967523
8,4,4,1,0.1762317597096368
8,4,5,1,0.19149507215769096
8,4,6,1,0.19185818830589738
8,4,7,1,0.17901126826254307
8,4,8,1,0.17678432889142517
8,5,1,1,0.1641146871443066
8,5,2,1,0.19061117360329957
8,5,3,1,0.1002710027100271
8,5,4,1,0.17740508865762816
8,5,5,1,0.19287900631659155
8,5,6,1,0.1942319598546687
8,5,7,1,0.18254079957105995
8,5,8,1,0.1802120306457552
9,1,1,1,0.05983460631874594
9,1,2,1,0.10942632170978628
9,1,3,1,0.07376740527513723
9,1,4,1,0.06333198630788248
9,1,5,1,0.019147122729655436
9,1,6,1,0.016309151100259142
9,1,7,1,0.002512664640324215
9,1,8,1,0.002169474612955302
9,2,1,1,0.172809271934749
9,2,2,1,0.1967979002624672
9,2,3,1,0.16043513066517126
9,2,4,1,0.17196875499075995
9,2,5,1,0.18601782056266686
9,2,6,1,0.17743509607248026
9,2,7,1,0.1764881611174998
9,2,8,1,0.17700608238257853
9,3,1,1,0.15479562704188404
9,3,2,1,0.2014360704911886
9,3,3,1,0.15366923080048925
9,3,4,1,0.16712470203448082
9,3,5,1,0.18019445991796224
9,3,6,1,0.16709493260345268
9,3,7,1,0.16300254310494092
9,3,8,1,0.16340936200157624
9,4,1,1,0.16235671403236798
9,4,2,1,0.18836520434945633
9,4,3,1,0.09201623815967523
9,4,4,1,0.1762317597096368
9,4,5,1,0.19149507215769096
9,4,6,1,0.19185818830589738
9,4,7,1,0.17901126826254307
9,4,8,1,0.17678432889142517
9,5,1,1,0.1641146871443066
9,5,2,1,0.19061117360329957
9,5,3,1,0.1002710027100271
9,5,4,1,0.17740508865762816
9,5,5,1,0.19287900631659155
9,5,6,1,0.1942319598546687
9,5,7,1,0.18254079957105995
9,5,8,1,0.1802120306457552
