missing_value,normalization,outlier,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,outlier_after_outlier_strat,diff_sensitive_attr,ratio_sensitive_attr,cov,class_imbalance_ratio,corr_Age,corr_Workclass,corr_fnlwgt,corr_Education,corr_Education_Num,corr_Martial_Status,corr_Occupation,corr_Relationship,corr_Race,corr_Sex,corr_Capital_Gain,corr_Capital_Loss,corr_Hours_per_week,corr_Country,utility_sp
5,3,5,1,0.3497235872235872,0.05442260442260442,0.05358811587664744,0.19858,1.99923,0.04413619558592281,0.45347,1436.03533,1823.46838,791.70425,3697.92855,2948.98638,159.72518,4995.98829,522.87316,11168.57715,25099.96087,588.57995,1280.22085,116.17326,3104.2413,0.12376472776741247
5,3,6,1,0.3497235872235872,0.05442260442260442,0.052491417204094074,0.19716,2.00869,0.04375202183666053,0.45249,1368.75375,1860.62294,783.79153,3658.13259,2933.50186,145.01772,5032.74699,512.36209,11153.84985,25052.66411,567.13672,1241.05672,121.61841,3078.0288,0.13310734593491577
5,3,7,1,0.3497235872235872,0.05442260442260442,0.05167709837907238,0.19545,2.00608,0.04339031369235496,0.44512,1352.70802,1833.13385,755.98056,3593.18429,2947.95991,121.33885,4919.03182,456.68678,11035.08663,24855.55776,527.67176,1222.40637,124.96915,3040.77725,0.12460646780688307
5,4,1,1,0.3497235872235872,0.05,0.05,0.19627,2.02321,0.0434472369306056,0.4816,5584.10137,8887.94649,2212.5132,25936.43837,8541.15632,2886.14258,6211.71162,267.17137,65230.79794,14784.49182,9151.18061,8293.63113,4612.5537,63410.31014,0.13294812515686366
5,4,2,1,0.3497235872235872,0.05,0.0500230343980344,0.20718,2.32754,0.043552772775427996,0.39046,4031.75232,8026.36489,1988.73178,23319.16792,6336.40361,2014.32683,5354.30731,25.69564,63680.18673,13687.78588,7998.48082,7847.51451,3892.41055,63295.59595,0.14036126331943594
5,4,3,1,0.3497235872235872,0.05,0.05011084619567491,0.20077,2.06933,0.044102556823738155,0.35637,4007.24314,6460.58153,1734.15546,18812.53799,6245.84127,1992.00651,4552.30943,151.55242,46809.59937,11032.96631,6889.33365,6191.60711,3316.72439,45793.17612,0.13862169822759357
5,4,4,1,0.3497235872235872,0.05,0.049928524110038,0.19941,2.11716,0.043450645019029864,0.43388,4637.16436,7496.0351,2207.75671,22225.07705,7222.36555,2163.20024,5310.68391,124.96404,55135.41109,13319.42951,8414.72341,7693.78633,3824.43724,53386.06821,0.13900616105695143
5,4,5,1,0.3497235872235872,0.05,0.05003401360544218,0.20325,2.10782,0.044357818640228676,0.44573,4731.26584,7615.03006,2265.82213,22579.07817,7423.94997,2164.23123,5423.59919,125.22262,56048.10876,13537.79492,8675.89557,7966.3859,3891.75429,54663.69859,0.14224109962021372
5,4,6,1,0.3497235872235872,0.05,0.04991480404931342,0.202,2.07489,0.04433036054202089,0.45286,4828.45499,7710.33072,2279.03806,23054.82814,7652.13319,2217.78497,5539.74593,146.06254,57169.26439,13562.68101,8837.09019,8113.78216,3971.54616,56222.866,0.14351848286569605
5,4,7,1,0.3497235872235872,0.05,0.049978500314226175,0.20221,2.05446,0.044529651408899217,0.45593,4912.70169,7814.02135,2265.4364,23394.13832,7784.5603,2274.32862,5651.57217,160.32909,58097.81569,13600.50364,8858.88415,8184.73104,4048.65964,57226.53898,0.1422570459652309
