missing_value,normalization,model,outlier_bef_normalization_strat,diff_sensitive_attr,ratio_sensitive_attr,cov,class_imbalance_ratio,corr_Age,ot_Age,corr_Workclass,ot_Workclass,corr_fnlwgt,ot_fnlwgt,corr_Education,ot_Education,corr_Education_Num,ot_Education_Num,corr_Martial_Status,ot_Martial_Status,corr_Occupation,ot_Occupation,corr_Relationship,ot_Relationship,corr_Race,ot_Race,corr_Sex,ot_Sex,corr_Capital_Gain,ot_Capital_Gain,corr_Capital_Loss,ot_Capital_Loss,corr_Hours_per_week,ot_Hours_per_week,corr_Country,ot_Country,utility_sp
6,1,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,0.23623,125907.02688,0.139,571.81821,0.139,52279.45793,0.139,2114.18863,0.139,232602.7845,0.139,2970.0185,0.139,1967.0139,0.139,3391.24845,0.139,161.4409,0.139,729.92987,0.139,331.19245,0.139,769.97512,0.139,168382.36467,0.139,167.7667,0.139,0.05457566798240117
6,2,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,0.23623,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,0.16928565095225137
6,3,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,0.23623,539.31497,0.139,902.58379,0.139,345.1193,0.139,2020.94346,0.139,800.96323,0.139,56.22378,0.139,2596.09881,0.139,288.49348,0.139,5836.99697,0.139,13103.28639,0.139,331.19245,0.139,769.97512,0.139,63.23188,0.139,1640.6317,0.139,0.1480106522516793
6,4,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,0.23623,3018.2307,0.139,4662.82725,0.139,1045.30995,0.139,13226.98324,0.139,12216.24514,0.139,1592.58902,0.139,3287.69579,0.139,151.38956,0.139,33709.49315,0.139,7506.42985,0.139,4442.92282,0.139,3846.58617,0.139,2446.99475,0.139,32935.24494,0.139,0.1712324997630455
6,5,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,0.23623,288.78009,0.139,4662.82725,0.139,1203.06599,0.139,13226.98324,0.139,10548.83194,0.139,1592.58902,0.139,3287.69579,0.139,151.38956,0.139,33709.49315,0.139,7506.42985,0.139,4442.92282,0.139,3846.58617,0.139,2274.14021,0.139,32935.24494,0.139,0.17132458079435303
7,1,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,0.23623,125907.02688,0.139,571.81821,0.139,52279.45793,0.139,2114.18863,0.139,232602.7845,0.139,2970.0185,0.139,1967.0139,0.139,3391.24845,0.139,161.4409,0.139,729.92987,0.139,331.19245,0.139,769.97512,0.139,168382.36467,0.139,167.7667,0.139,0.05457566798240117
7,2,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,0.23623,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,0.16928565095225137
7,3,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,0.23623,539.31497,0.139,902.58379,0.139,345.1193,0.139,2020.94346,0.139,800.96323,0.139,56.22378,0.139,2596.09881,0.139,288.49348,0.139,5836.99697,0.139,13103.28639,0.139,331.19245,0.139,769.97512,0.139,63.23188,0.139,1640.6317,0.139,0.1480106522516793
7,4,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,0.23623,3018.2307,0.139,4662.82725,0.139,1045.30995,0.139,13226.98324,0.139,12216.24514,0.139,1592.58902,0.139,3287.69579,0.139,151.38956,0.139,33709.49315,0.139,7506.42985,0.139,4442.92282,0.139,3846.58617,0.139,2446.99475,0.139,32935.24494,0.139,0.1712324997630455
7,5,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,0.23623,288.78009,0.139,4662.82725,0.139,1203.06599,0.139,13226.98324,0.139,10548.83194,0.139,1592.58902,0.139,3287.69579,0.139,151.38956,0.139,33709.49315,0.139,7506.42985,0.139,4442.92282,0.139,3846.58617,0.139,2274.14021,0.139,32935.24494,0.139,0.17132458079435303
8,1,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,0.23623,125907.02688,0.139,571.81821,0.139,52279.45793,0.139,2114.18863,0.139,232602.7845,0.139,2970.0185,0.139,1967.0139,0.139,3391.24845,0.139,161.4409,0.139,729.92987,0.139,331.19245,0.139,769.97512,0.139,168382.36467,0.139,167.7667,0.139,0.05457566798240117
8,2,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,0.23623,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,0.16928565095225137
8,3,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,0.23623,539.31497,0.139,902.58379,0.139,345.1193,0.139,2020.94346,0.139,800.96323,0.139,56.22378,0.139,2596.09881,0.139,288.49348,0.139,5836.99697,0.139,13103.28639,0.139,331.19245,0.139,769.97512,0.139,63.23188,0.139,1640.6317,0.139,0.1480106522516793
8,4,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,0.23623,3018.2307,0.139,4662.82725,0.139,1045.30995,0.139,13226.98324,0.139,12216.24514,0.139,1592.58902,0.139,3287.69579,0.139,151.38956,0.139,33709.49315,0.139,7506.42985,0.139,4442.92282,0.139,3846.58617,0.139,2446.99475,0.139,32935.24494,0.139,0.1712324997630455
8,5,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,0.23623,288.78009,0.139,4662.82725,0.139,1203.06599,0.139,13226.98324,0.139,10548.83194,0.139,1592.58902,0.139,3287.69579,0.139,151.38956,0.139,33709.49315,0.139,7506.42985,0.139,4442.92282,0.139,3846.58617,0.139,2274.14021,0.139,32935.24494,0.139,0.17132458079435303
9,1,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,0.23623,125907.02688,0.139,571.81821,0.139,52279.45793,0.139,2114.18863,0.139,232602.7845,0.139,2970.0185,0.139,1967.0139,0.139,3391.24845,0.139,161.4409,0.139,729.92987,0.139,331.19245,0.139,769.97512,0.139,168382.36467,0.139,167.7667,0.139,0.05457566798240117
9,2,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,0.23623,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,0.16928565095225137
