missing_value,normalization,outlier,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,diff_sensitive_attr,ratio_sensitive_attr,cov,class_imbalance_ratio,corr_Age,ot_Age,corr_Workclass,ot_Workclass,corr_fnlwgt,ot_fnlwgt,corr_Education,ot_Education,corr_Education_Num,ot_Education_Num,corr_Martial_Status,ot_Martial_Status,corr_Occupation,ot_Occupation,corr_Relationship,ot_Relationship,corr_Race,ot_Race,corr_Sex,ot_Sex,corr_Capital_Gain,ot_Capital_Gain,corr_Capital_Loss,ot_Capital_Loss,corr_Hours_per_week,ot_Hours_per_week,corr_Country,ot_Country,utility_sp
2,1,4,1,0.5000307106443094,0.5000307106443094,0.19168,2.0144,0.04249686906119823,0.23572,119164.72734,7.4443,514.11539,7.4443,50165.17021,7.4443,1912.62538,7.4443,217480.32088,7.4443,2789.28445,7.4443,1803.38226,7.4443,3187.4022,7.4443,153.90944,7.4443,680.26006,7.4443,280.87471,7.4443,554.97882,7.4443,163778.63251,7.4443,167.17064,7.4443,0.051715169250334675
2,1,5,1,0.5000307106443094,0.5000307106443094,0.18889,1.97761,0.04213537613134156,0.22941,118891.28428,6.05,520.94747,6.05,50693.72944,6.05,1925.64665,6.05,219516.69727,6.05,2793.94053,6.05,1830.05334,6.05,3194.55926,6.05,156.16707,6.05,687.55115,6.05,256.6065,6.05,371.66359,6.05,159959.24128,6.05,172.07815,6.05,0.04899995464368824
2,1,6,1,0.5000307106443094,0.5000307106443094,0.181,1.94474,0.04059526733558131,0.21801,114699.22738,8.3533,497.97259,8.3533,49146.57164,8.3533,1808.39311,8.3533,214164.20654,8.3533,2630.09823,8.3533,1688.83488,8.3533,3020.1174,8.3533,150.8322,8.3533,641.97922,8.3533,211.61615,8.3533,38.11083,8.3533,153989.53712,8.3533,166.8272,8.3533,0.03857679932420884
2,1,7,1,0.5000307106443094,0.5000307106443094,0.17677,1.93108,0.03973567469176849,0.21272,113283.64561,9.1026,470.79085,9.1026,48661.82291,9.1026,1791.43211,9.1026,212375.45581,9.1026,2569.10672,9.1026,1678.30126,9.1026,2957.16354,9.1026,144.01407,9.1026,619.60873,9.1026,178.36068,9.1026,38.73984,9.1026,152309.76054,9.1026,168.36478,9.1026,0.03227472309825251
2,2,1,1,0.5000307106443094,0.4999692893556907,0.19098,2.00332,0.042419081225051385,0.23623,769.61405,0.0,571.81821,0.0,769.61405,0.0,2114.18863,0.0,769.61405,0.0,2877.52142,0.0,1967.0139,0.0,3391.24845,0.0,161.4409,0.0,729.92987,0.0,769.61405,0.0,769.61405,0.0,769.61405,0.0,167.7667,0.0,0.16928565095225137
2,2,2,1,0.5000307106443094,0.4999692893556907,0.22161,2.56654,0.044717120496871,0.23916,1168.08232,19.9988,346.29024,19.9988,732.50901,19.9988,1350.99386,19.9988,425.82492,19.9988,2405.79783,19.9988,1406.41203,19.9988,2788.52208,19.9988,100.19643,19.9988,708.08031,19.9988,3204.74484,19.9988,2379.46983,19.9988,319.15432,19.9988,110.03981,19.9988,0.19256427862697603
2,2,3,1,0.5000307106443094,0.4999692893556907,0.19075,1.98548,0.04249388107963784,0.23506,645.46247,24.2491,487.47094,24.2491,677.50888,24.2491,1678.55003,24.2491,600.0801,24.2491,2290.34162,24.2491,1577.0159,24.2491,2637.61318,24.2491,135.10417,24.2491,554.85286,24.2491,586.70258,24.2491,542.30129,24.2491,577.83054,24.2491,145.92991,24.2491,0.17212533138825628
2,2,4,1,0.5000307106443094,0.4999692893556907,0.19419,1.97735,0.043320079112515175,0.23598,730.89995,6.351,546.98725,6.351,854.33399,6.351,2003.22316,6.351,668.7384,6.351,2838.32912,6.351,1848.75951,6.351,3315.46084,6.351,163.5535,6.351,710.30226,6.351,836.84859,6.351,717.68016,6.351,736.55542,6.351,154.32023,6.351,0.17491098200556215
2,2,5,1,0.5000307106443094,0.4999692893556907,0.19443,1.98472,0.043319653958109564,0.23586,731.96964,4.0108,557.02889,4.0108,829.02825,4.0108,2045.8864,4.0108,707.2068,4.0108,2862.86405,4.0108,1878.19928,4.0108,3356.76895,4.0108,164.13473,4.0108,729.21978,4.0108,888.35861,4.0108,744.0492,4.0108,770.65581,4.0108,157.61699,4.0108,0.17525167740831374
2,2,6,1,0.5000307106443094,0.4999692893556907,0.1942,1.99073,0.04322468055511574,0.23466,758.63171,2.9175,549.13853,2.9175,874.86455,2.9175,2060.76606,2.9175,715.01261,2.9175,2911.11291,2.9175,1898.03739,2.9175,3417.15414,2.9175,168.04731,2.9175,737.6427,2.9175,909.41472,2.9175,786.32391,2.9175,783.33035,2.9175,158.75151,2.9175,0.17387199741167303
2,2,7,1,0.5000307106443094,0.4999692893556907,0.19285,1.98719,0.04295041370441838,0.23436,780.84748,2.6104,550.71466,2.6104,897.53052,2.6104,2079.80143,2.6104,709.35211,2.6104,2923.01766,2.6104,1912.3424,2.6104,3423.40331,2.6104,165.0179,2.6104,730.82719,2.6104,888.00792,2.6104,813.77239,2.6104,808.0,2.6104,153.96161,2.6104,0.1714930618961112
2,3,1,1,0.5000307106443094,0.49173883668079355,0.19098,2.00332,0.042419081225051385,0.23623,539.31497,0.0,571.81821,0.0,345.1193,0.0,2114.18863,0.0,800.96323,0.0,2877.52142,0.0,1967.0139,0.0,3391.24845,0.0,161.4409,0.0,729.92987,0.0,331.19245,0.0,769.97512,0.0,63.23188,0.0,167.7667,0.0,0.1480106522516793
