missing_value,normalization,outlier,model,utility_accuracy_score
2,5,5,1,0.1849561731331114
2,5,6,1,0.1818060912355366
2,5,7,1,0.180544593528019
3,1,1,1,0.21067501996191884
3,1,2,1,0.21381957773512472
3,1,3,1,0.21363526472721417
3,1,4,1,0.21109562678346272
3,1,5,1,0.20874738493723854
3,1,6,1,0.20541518664968839
3,1,7,1,0.20467599162105543
3,2,1,1,0.17486640869725445
3,2,2,1,0.17942418426103646
3,2,3,1,0.1735992864672018
3,2,4,1,0.17819898996523909
3,2,5,1,0.17711799334527767
3,2,6,1,0.17626217891939766
3,2,7,1,0.17583249243188703
3,3,1,1,0.1781217369940421
3,3,2,1,0.18272552783109408
3,3,3,1,0.17437379576107903
3,3,4,1,0.1759699129057799
3,3,5,1,0.173502393582611
3,3,6,1,0.1772963271585155
3,3,7,1,0.17487668951380442
3,4,1,1,0.1779374731281862
3,4,2,1,0.18441458733205374
3,4,3,1,0.1787643484132343
3,4,4,1,0.1857303055789179
3,4,5,1,0.1849544801149976
3,4,6,1,0.18269488347173857
3,4,7,1,0.18145800316957206
3,5,1,1,0.1781217369940421
3,5,2,1,0.18418426103646834
3,5,3,1,0.17803954564577196
3,5,4,1,0.1849219620958752
3,5,5,1,0.1849561731331114
3,5,6,1,0.1818060912355366
3,5,7,1,0.180544593528019
4,1,1,1,0.2090166451692157
4,1,2,1,0.21619961612284067
4,1,3,1,0.21451027811366385
4,1,4,1,0.21102926537925537
4,1,5,1,0.20894351464435146
4,1,6,1,0.20373969573084916
4,1,7,1,0.2019055341577134
4,2,1,1,0.17468214483139854
4,2,2,1,0.18372360844529756
4,2,3,1,0.1725172274017025
4,2,4,1,0.17870547178507934
4,2,5,1,0.17705255043042534
4,2,6,1,0.17607783288821066
4,2,7,1,0.17529754368194483
4,3,1,1,0.17455930225416127
4,3,2,1,0.18449136276391553
4,3,3,1,0.17158047365877238
4,3,4,1,0.179084619478446
4,3,5,1,0.17713951523815707
4,3,6,1,0.17770057260503125
4,3,7,1,0.17339850784666844
4,4,1,1,0.17781463055094893
4,4,2,1,0.18817658349328215
4,4,3,1,0.18066480588683076
4,4,4,1,0.1866788449378206
4,4,5,1,0.18523360627537333
4,4,6,1,0.1830263779261958
4,4,7,1,0.18258146198440728
4,5,1,1,0.1779374731281862
4,5,2,1,0.18825335892514394
4,5,3,1,0.1800406297613002
4,5,4,1,0.1860643719891084
4,5,5,1,0.18536284519975332
4,5,6,1,0.18324291742013266
4,5,7,1,0.18258910825493568
5,1,1,1,0.21067501996191884
5,1,2,1,0.21381957773512472
5,1,3,1,0.21363526472721417
5,1,4,1,0.21109562678346272
5,1,5,1,0.20874738493723854
5,1,6,1,0.20541518664968839
5,1,7,1,0.20467599162105543
5,2,1,1,0.17486640869725445
5,2,2,1,0.17942418426103646
5,2,3,1,0.1735992864672018
5,2,4,1,0.17819898996523909
5,2,5,1,0.17711799334527767
5,2,6,1,0.17626217891939766
5,2,7,1,0.17583249243188703
5,3,1,1,0.1781217369940421
5,3,2,1,0.18272552783109408
5,3,3,1,0.17437379576107903
5,3,4,1,0.1759699129057799
5,3,5,1,0.173502393582611
5,3,6,1,0.1772963271585155
5,3,7,1,0.17487668951380442
5,4,1,1,0.1779374731281862
5,4,2,1,0.18441458733205374
5,4,3,1,0.1787643484132343
5,4,4,1,0.1857303055789179
5,4,5,1,0.1849544801149976
5,4,6,1,0.18269488347173857
5,4,7,1,0.18145800316957206
5,5,1,1,0.1781217369940421
5,5,2,1,0.18418426103646834
5,5,3,1,0.17803954564577196
5,5,4,1,0.1849219620958752
5,5,5,1,0.1849561731331114
5,5,6,1,0.1818060912355366
5,5,7,1,0.180544593528019
6,1,1,1,0.21067501996191884
6,1,2,1,0.21381957773512472
6,1,3,1,0.21363526472721417
6,1,4,1,0.21109562678346272
6,1,5,1,0.20874738493723854
6,1,6,1,0.20541518664968839
6,1,7,1,0.20467599162105543
6,2,1,1,0.17486640869725445
6,2,2,1,0.17942418426103646
6,2,3,1,0.1735992864672018
6,2,4,1,0.17819898996523909
6,2,5,1,0.17711799334527767
6,2,6,1,0.17626217891939766
6,2,7,1,0.17583249243188703
6,3,1,1,0.1781217369940421
6,3,2,1,0.18272552783109408
6,3,3,1,0.17437379576107903
6,3,4,1,0.1759699129057799
6,3,5,1,0.173502393582611
6,3,6,1,0.1772963271585155
6,3,7,1,0.17487668951380442
6,4,1,1,0.1779374731281862
6,4,2,1,0.18441458733205374
6,4,3,1,0.1787643484132343
6,4,4,1,0.1857303055789179
6,4,5,1,0.1849544801149976
6,4,6,1,0.18269488347173857
6,4,7,1,0.18145800316957206
