missing_value,normalization,outlier,model,utility_sp
6,4,3,1,0.13693409826232802
6,4,4,1,0.17972942824803112
6,4,5,1,0.1848031736229572
6,4,6,1,0.18496851247680784
6,4,7,1,0.18482226055996953
6,4,8,1,0.18378544883903014
6,5,1,1,0.1773573440748463
6,5,2,1,0.18680186850976319
6,5,3,1,0.13326644023790296
6,5,4,1,0.18192778372012222
6,5,5,1,0.18231241895555383
6,5,6,1,0.18345894235132265
6,5,7,1,0.18467269543458426
6,5,8,1,0.18534972042445105
7,1,1,1,0.06037916586237414
7,1,2,1,0.07244255973565625
7,1,3,1,0.05190104297124637
7,1,4,1,0.052549941534079415
7,1,5,1,0.06685150789232527
7,1,6,1,0.060918349449129966
7,1,7,1,0.04296274060599573
7,1,8,1,0.044815010924494435
7,2,1,1,0.1716433091598158
7,2,2,1,0.18033680338169877
7,2,3,1,0.14410279437375903
7,2,4,1,0.16937874692168578
7,2,5,1,0.17621467562691012
7,2,6,1,0.17787348262532574
7,2,7,1,0.17612881527587698
7,2,8,1,0.17362435783383529
7,3,1,1,0.13457707849426215
7,3,2,1,0.14916726866053118
7,3,3,1,0.14408963823227458
7,3,4,1,0.1360589624545296
7,3,5,1,0.10023926608541261
7,3,6,1,0.12788893988345007
7,3,7,1,0.10601421434387438
7,3,8,1,0.12824905628466954
7,4,1,1,0.1773989755337413
7,4,2,1,0.18645729610932812
7,4,3,1,0.13693409826232802
7,4,4,1,0.17972942824803112
7,4,5,1,0.1848031736229572
7,4,6,1,0.18496851247680784
7,4,7,1,0.18482226055996953
7,4,8,1,0.18378544883903014
7,5,1,1,0.1773573440748463
7,5,2,1,0.18680186850976319
7,5,3,1,0.13326644023790296
7,5,4,1,0.18192778372012222
7,5,5,1,0.18231241895555383
7,5,6,1,0.18345894235132265
7,5,7,1,0.18467269543458426
7,5,8,1,0.18534972042445105
8,1,1,1,0.06037916586237414
8,1,2,1,0.07244255973565625
8,1,3,1,0.05190104297124637
8,1,4,1,0.052549941534079415
8,1,5,1,0.06685150789232527
8,1,6,1,0.060918349449129966
8,1,7,1,0.04296274060599573
8,1,8,1,0.044815010924494435
8,2,1,1,0.1716433091598158
8,2,2,1,0.18033680338169877
8,2,3,1,0.14410279437375903
8,2,4,1,0.16937874692168578
8,2,5,1,0.17621467562691012
8,2,6,1,0.17787348262532574
8,2,7,1,0.17612881527587698
8,2,8,1,0.17362435783383529
8,3,1,1,0.13457707849426215
8,3,2,1,0.14916726866053118
8,3,3,1,0.14408963823227458
8,3,4,1,0.1360589624545296
8,3,5,1,0.10023926608541261
8,3,6,1,0.12788893988345007
8,3,7,1,0.10601421434387438
8,3,8,1,0.12824905628466954
8,4,1,1,0.1773989755337413
8,4,2,1,0.18645729610932812
8,4,3,1,0.13693409826232802
8,4,4,1,0.17972942824803112
8,4,5,1,0.1848031736229572
8,4,6,1,0.18496851247680784
8,4,7,1,0.18482226055996953
8,4,8,1,0.18378544883903014
8,5,1,1,0.1773573440748463
8,5,2,1,0.18680186850976319
8,5,3,1,0.13326644023790296
8,5,4,1,0.18192778372012222
8,5,5,1,0.18231241895555383
8,5,6,1,0.18345894235132265
8,5,7,1,0.18467269543458426
8,5,8,1,0.18534972042445105
9,1,1,1,0.06037916586237414
9,1,2,1,0.07244255973565625
9,1,3,1,0.05190104297124637
9,1,4,1,0.052549941534079415
9,1,5,1,0.06685150789232527
9,1,6,1,0.060918349449129966
9,1,7,1,0.04296274060599573
9,1,8,1,0.044815010924494435
9,2,1,1,0.1716433091598158
9,2,2,1,0.18033680338169877
9,2,3,1,0.14410279437375903
9,2,4,1,0.16937874692168578
9,2,5,1,0.17621467562691012
9,2,6,1,0.17787348262532574
9,2,7,1,0.17612881527587698
9,2,8,1,0.17362435783383529
9,3,1,1,0.13457707849426215
9,3,2,1,0.14916726866053118
9,3,3,1,0.14408963823227458
9,3,4,1,0.1360589624545296
9,3,5,1,0.10023926608541261
9,3,6,1,0.12788893988345007
9,3,7,1,0.10601421434387438
9,3,8,1,0.12824905628466954
9,4,1,1,0.1773989755337413
9,4,2,1,0.18645729610932812
9,4,3,1,0.13693409826232802
9,4,4,1,0.17972942824803112
9,4,5,1,0.1848031736229572
9,4,6,1,0.18496851247680784
9,4,7,1,0.18482226055996953
9,4,8,1,0.18378544883903014
9,5,1,1,0.1773573440748463
9,5,2,1,0.18680186850976319
9,5,3,1,0.13326644023790296
9,5,4,1,0.18192778372012222
9,5,5,1,0.18231241895555383
9,5,6,1,0.18345894235132265
9,5,7,1,0.18467269543458426
9,5,8,1,0.18534972042445105
