missing_value,normalization,model,index_df1,index_df2,similarity
7,4,1,33,237,0.9999999998244197
7,5,1,34,238,0.9999999999208138
7,5,1,34,239,0.9999999998764183
7,5,1,34,240,0.9999999998651806
7,5,1,34,241,0.9999999998914013
7,5,1,34,242,0.9999999999287659
7,5,1,34,243,0.999999999898563
7,5,1,34,244,0.9999999998582265
8,1,1,35,245,0.9989037144889812
8,1,1,35,246,0.9981298428870666
8,1,1,35,247,0.9991398748702106
8,1,1,35,248,0.9991386716919842
8,1,1,35,249,0.9990617255727916
8,1,1,35,250,0.9989603367080245
8,1,1,35,251,0.9988503645826117
8,2,1,36,252,0.9999999999161857
8,2,1,36,253,0.9999999999113452
8,2,1,36,254,0.9999999999028002
8,2,1,36,255,0.9999999999037826
8,2,1,36,256,0.9999999999018825
8,2,1,36,257,0.9999999998955069
8,2,1,36,258,0.9999999998819464
8,3,1,37,259,0.9999999998746304
8,3,1,37,260,0.9999999998295809
8,3,1,37,261,0.9999999998496704
8,3,1,37,262,0.9999999998399959
8,3,1,37,263,0.9999999999087635
8,3,1,37,264,0.9999999998674994
8,3,1,37,265,0.9999999998559883
8,4,1,38,266,0.9999999998855664
8,4,1,38,267,0.9999999998639278
8,4,1,38,268,0.9999999999292379
8,4,1,38,269,0.9999999999121331
8,4,1,38,270,0.999999999918574
8,4,1,38,271,0.9999999999128308
8,4,1,38,272,0.9999999998822582
8,5,1,39,273,0.9999999999131151
8,5,1,39,274,0.9999999998896381
8,5,1,39,275,0.9999999998695785
8,5,1,39,276,0.9999999998914343
8,5,1,39,277,0.999999999922642
8,5,1,39,278,0.9999999999126866
8,5,1,39,279,0.9999999998722566
9,1,1,40,280,0.9994436215762681
9,1,1,40,281,0.998893028058897
9,1,1,40,282,0.9995640342247554
9,1,1,40,283,0.9995636016886636
9,1,1,40,284,0.9995307333655266
9,1,1,40,285,0.9994769305929763
9,1,1,40,286,0.9994106966882655
9,2,1,41,287,0.9999999998318759
9,2,1,41,288,0.9999999998245735
9,2,1,41,289,0.9999999998159047
9,2,1,41,290,0.9999999998679756
9,2,1,41,291,0.9999999998313118
9,2,1,41,292,0.9999999998239485
9,2,1,41,293,0.9999999998377868
9,3,1,42,294,0.9999999998487198
9,3,1,42,295,0.9999999998052637
9,3,1,42,296,0.9999999997999228
9,3,1,42,297,0.9999999997864787
9,3,1,42,298,0.9999999998302774
9,3,1,42,299,0.9999999998353537
9,3,1,42,300,0.9999999997984448
9,4,1,43,301,0.9999999998855664
9,4,1,43,302,0.9999999998639278
9,4,1,43,303,0.9999999999292379
9,4,1,43,304,0.9999999999121331
9,4,1,43,305,0.999999999918574
9,4,1,43,306,0.9999999999128308
9,4,1,43,307,0.9999999998822582
9,5,1,44,308,0.9999999999743889
9,5,1,44,309,0.9999999999358333
9,5,1,44,310,0.999999999921355
9,5,1,44,311,0.999999999953191
9,5,1,44,312,0.9999999999886036
9,5,1,44,313,0.9999999999605018
9,5,1,44,314,0.9999999999204678
