missing_value,normalization,outlier,model,index_df1,index_df2,similarity
2,5,4,1,66,66,0.8839695339847153
2,5,5,1,67,67,0.8842136797987591
2,5,6,1,68,68,0.8804872348023504
2,5,7,1,69,69,0.8776896808341128
3,1,1,1,70,70,0.838903519909097
3,1,2,1,71,71,0.8172901720550314
3,1,3,1,72,72,0.8525509129075228
3,1,4,1,73,73,0.838040483243756
3,1,5,1,74,74,0.8382838030151243
3,1,6,1,75,75,0.8360178256386676
3,1,7,1,76,76,0.8352686169059187
3,2,1,1,77,77,0.9996600793161694
3,2,2,1,78,78,0.9747514497621375
3,2,3,1,79,79,0.9991143113009996
3,2,4,1,80,80,0.9993973101660532
3,2,5,1,81,81,0.9996574626483801
3,2,6,1,82,82,0.9995557717669141
3,2,7,1,83,83,0.9994863876068227
3,3,1,1,84,84,0.9925413027309739
3,3,2,1,85,85,0.9865775590599423
3,3,3,1,86,86,0.9894801857533728
3,3,4,1,87,87,0.9897763773199137
3,3,5,1,88,88,0.990025648926173
3,3,6,1,89,89,0.9902933661114441
3,3,7,1,90,90,0.9909834881337352
3,4,1,1,91,91,0.8778954979868402
3,4,2,1,92,92,0.8523299760128187
3,4,3,1,93,93,0.8756013674329235
3,4,4,1,94,94,0.8842932004039928
3,4,5,1,95,95,0.8849104480726735
3,4,6,1,96,96,0.8812114850375401
3,4,7,1,97,97,0.8794014742904519
3,5,1,1,98,98,0.8751650875690201
3,5,2,1,99,99,0.8492878480241245
3,5,3,1,100,100,0.8761756468271291
3,5,4,1,101,101,0.8839695339847153
3,5,5,1,102,102,0.8842136797987591
3,5,6,1,103,103,0.8804872348023504
3,5,7,1,104,104,0.8776896808341128
4,1,1,1,105,105,0.8389006629212057
4,1,2,1,106,106,0.8286914427359505
4,1,3,1,107,107,0.8528662798027238
4,1,4,1,108,108,0.8380135936942551
4,1,5,1,109,109,0.8382853548044114
4,1,6,1,110,110,0.8360150659346354
4,1,7,1,111,111,0.8352658514978455
4,2,1,1,112,112,0.9995521158544978
4,2,2,1,113,113,0.9822925571726773
4,2,3,1,114,114,0.9991644482771322
4,2,4,1,115,115,0.9992830064894906
4,2,5,1,116,116,0.9996094472185564
4,2,6,1,117,117,0.9992314287818951
4,2,7,1,118,118,0.999117237507144
4,3,1,1,119,119,0.9920442185287791
4,3,2,1,120,120,0.9855423824100732
4,3,3,1,121,121,0.9890546927751476
4,3,4,1,122,122,0.9898680094825827
4,3,5,1,123,123,0.9895060897744379
4,3,6,1,124,124,0.9897623761014249
4,3,7,1,125,125,0.9902742009387709
4,4,1,1,126,126,0.8777355196009835
4,4,2,1,127,127,0.8607575782765506
4,4,3,1,128,128,0.8782738107237948
4,4,4,1,129,129,0.8811231549493153
4,4,5,1,130,130,0.8792922826067022
4,4,6,1,131,131,0.8806101593078062
4,4,7,1,132,132,0.8809570870459073
4,5,1,1,133,133,0.8747342743132122
4,5,2,1,134,134,0.8595930428313349
4,5,3,1,135,135,0.8804239444413995
4,5,4,1,136,136,0.8805846169304276
4,5,5,1,137,137,0.8813995486056657
4,5,6,1,138,138,0.8813462036473074
4,5,7,1,139,139,0.8788586950107317
5,1,1,1,140,140,0.838903519909097
5,1,2,1,141,141,0.8172901720550314
5,1,3,1,142,142,0.8525509129075228
5,1,4,1,143,143,0.838040483243756
5,1,5,1,144,144,0.8382838030151243
5,1,6,1,145,145,0.8360178256386676
5,1,7,1,146,146,0.8352686169059187
5,2,1,1,147,147,0.9996600793161694
5,2,2,1,148,148,0.9747514497621375
5,2,3,1,149,149,0.9991143113009996
5,2,4,1,150,150,0.9993973101660532
5,2,5,1,151,151,0.9996574626483801
5,2,6,1,152,152,0.9995557717669141
5,2,7,1,153,153,0.9994863876068227
5,3,1,1,154,154,0.9925413027309739
5,3,2,1,155,155,0.9865775590599423
5,3,3,1,156,156,0.9894801857533728
5,3,4,1,157,157,0.9897763773199137
5,3,5,1,158,158,0.990025648926173
5,3,6,1,159,159,0.9902933661114441
5,3,7,1,160,160,0.9909834881337352
5,4,1,1,161,161,0.8778954979868402
5,4,2,1,162,162,0.8523299760128187
5,4,3,1,163,163,0.8756013674329235
5,4,4,1,164,164,0.8842932004039928
5,4,5,1,165,165,0.8849104480726735
5,4,6,1,166,166,0.8812114850375401
5,4,7,1,167,167,0.8794014742904519
5,5,1,1,168,168,0.8751650875690201
5,5,2,1,169,169,0.8492878480241245
5,5,3,1,170,170,0.8761756468271291
5,5,4,1,171,171,0.8839695339847153
5,5,5,1,172,172,0.8842136797987591
5,5,6,1,173,173,0.8804872348023504
5,5,7,1,174,174,0.8776896808341128
6,1,1,1,175,175,0.838903519909097
6,1,2,1,176,176,0.8172901720550314
6,1,3,1,177,177,0.8525509129075228
6,1,4,1,178,178,0.838040483243756
6,1,5,1,179,179,0.8382838030151243
6,1,6,1,180,180,0.8360178256386676
6,1,7,1,181,181,0.8352686169059187
6,2,1,1,182,182,0.9996600793161694
6,2,2,1,183,183,0.9747514497621375
6,2,3,1,184,184,0.9991143113009996
6,2,4,1,185,185,0.9993973101660532
6,2,5,1,186,186,0.9996574626483801
6,2,6,1,187,187,0.9995557717669141
6,2,7,1,188,188,0.9994863876068227
6,3,1,1,189,189,0.9925413027309739
6,3,2,1,190,190,0.9865775590599423
6,3,3,1,191,191,0.9894801857533728
6,3,4,1,192,192,0.9897763773199137
6,3,5,1,193,193,0.990025648926173
6,3,6,1,194,194,0.9902933661114441
6,3,7,1,195,195,0.9909834881337352
6,4,1,1,196,196,0.8778954979868402
6,4,2,1,197,197,0.8523299760128187
6,4,3,1,198,198,0.8756013674329235
6,4,4,1,199,199,0.8842932004039928
6,4,5,1,200,200,0.8849104480726735
6,4,6,1,201,201,0.8812114850375401
6,4,7,1,202,202,0.8794014742904519
6,5,1,1,203,203,0.8751650875690201
6,5,2,1,204,204,0.8492878480241245
6,5,3,1,205,205,0.8761756468271291
6,5,4,1,206,206,0.8839695339847153
6,5,5,1,207,207,0.8842136797987591
6,5,6,1,208,208,0.8804872348023504
6,5,7,1,209,209,0.8776896808341128
7,1,1,1,210,210,0.838903519909097
7,1,2,1,211,211,0.8172901720550314
7,1,3,1,212,212,0.8525509129075228
7,1,4,1,213,213,0.838040483243756
7,1,5,1,214,214,0.8382838030151243
7,1,6,1,215,215,0.8360178256386676
7,1,7,1,216,216,0.8352686169059187
7,2,1,1,217,217,0.9996600793161694
7,2,2,1,218,218,0.9747514497621375
7,2,3,1,219,219,0.9991143113009996
7,2,4,1,220,220,0.9993973101660532
