missing_value,normalization,model,index_df1,index_df2,similarity
2,4,1,8,62,0.5837116158229337
2,5,1,9,63,0.5039369866198588
2,5,1,9,64,0.4931252523675865
2,5,1,9,65,0.5077787903581666
2,5,1,9,66,0.5172233049072663
2,5,1,9,67,0.516982723390369
2,5,1,9,68,0.5122921091399226
2,5,1,9,69,0.5100154674317088
3,1,1,10,70,0.6234285440073708
3,1,1,10,71,0.6451385821129259
3,1,1,10,72,0.6580488001290395
3,1,1,10,73,0.6315694298573923
3,1,1,10,74,0.6252946994029445
3,1,1,10,75,0.6230590580202439
3,1,1,10,76,0.6228116862871014
3,2,1,11,77,0.8234123694065482
3,2,1,11,78,0.8280592981406774
3,2,1,11,79,0.8244797139911478
3,2,1,11,80,0.8229091950507313
3,2,1,11,81,0.8258135641872354
3,2,1,11,82,0.8272468053294058
3,2,1,11,83,0.8287134092053813
3,3,1,12,84,0.2782310407274826
3,3,1,12,85,0.30190825493078893
3,3,1,12,86,0.27047428602261786
3,3,1,12,87,0.280417058118962
3,3,1,12,88,0.2812647124938522
3,3,1,12,89,0.2791816531636927
3,3,1,12,90,0.28078658767919057
3,4,1,13,91,0.5895495017504264
3,4,1,13,92,0.5702177090683661
3,4,1,13,93,0.5918623838327329
3,4,1,13,94,0.6093650065600673
3,4,1,13,95,0.6077506504416106
3,4,1,13,96,0.5997159052624481
3,4,1,13,97,0.5968743098598304
3,5,1,14,98,0.4343205502476979
3,5,1,14,99,0.43131457935855944
3,5,1,14,100,0.435616298918262
3,5,1,14,101,0.44047050614909056
3,5,1,14,102,0.4427985937359254
3,5,1,14,103,0.4407466079842498
3,5,1,14,104,0.43929205251177117
4,1,1,15,105,0.6234200073765551
4,1,1,15,106,0.6545414332526797
4,1,1,15,107,0.6581444907348791
4,1,1,15,108,0.6315612867654322
4,1,1,15,109,0.6252861980497701
4,1,1,15,110,0.623050774866578
4,1,1,15,111,0.6228034321266525
4,2,1,16,112,0.8280920863816362
4,2,1,16,113,0.8246857580268021
4,2,1,16,114,0.8308989641600267
4,2,1,16,115,0.8304777727458843
4,2,1,16,116,0.8322332205709393
4,2,1,16,117,0.8316452398677195
4,2,1,16,118,0.8337678551170943
4,3,1,17,119,0.28185069076215524
4,3,1,17,120,0.2969942160527897
4,3,1,17,121,0.27619111063092916
4,3,1,17,122,0.2865162260397336
4,3,1,17,123,0.2867044471244039
4,3,1,17,124,0.28306640698779195
4,3,1,17,125,0.28428623913955015
4,4,1,18,126,0.5548512840204017
4,4,1,18,127,0.540398337254355
4,4,1,18,128,0.5587626570446396
4,4,1,18,129,0.5663953168709474
4,4,1,18,130,0.5659765174123942
4,4,1,18,131,0.5624112199986658
4,4,1,18,132,0.5613851993627458
4,5,1,19,133,0.4417263965033622
4,5,1,19,134,0.44140536503204897
4,5,1,19,135,0.44248077164200683
4,5,1,19,136,0.4477480504663667
4,5,1,19,137,0.4504997491570268
4,5,1,19,138,0.449893954986186
4,5,1,19,139,0.4488337515589669
5,1,1,20,140,0.8389030769291493
5,1,1,20,141,0.8321927700352366
