2025-10-12 11:05:51,732 - DEBUG - [GridSearch] iter=9 | order=['whitespace', 'punctuation', 'stopword', 'deduplication', 'model'] | vec=[2, 2, 1, 2, 1] | utility=282.48
2025-10-12 11:05:51,813 - DEBUG - [GridSearch] iter=10 | order=['deduplication', 'punctuation', 'normalization', 'model'] | vec=[2, 2, 2, 1] | utility=282.48
2025-10-12 11:05:51,921 - DEBUG - [GridSearch] iter=11 | order=['outlier', 'punctuation', 'missing_value', 'model'] | vec=[7, 2, 1, 1] | utility=166.35
2025-10-12 11:05:52,084 - DEBUG - [GridSearch] iter=12 | order=['whitespace', 'missing_value', 'stopword', 'outlier', 'deduplication', 'normalization', 'model'] | vec=[2, 2, 1, 7, 2, 1, 1] | utility=262.95
2025-10-12 11:05:52,186 - DEBUG - [GridSearch] iter=13 | order=['normalization', 'deduplication', 'outlier', 'stopword', 'model'] | vec=[1, 2, 5, 2, 1] | utility=284.86
2025-10-12 11:05:52,237 - DEBUG - [GridSearch] iter=14 | order=['stopword', 'normalization', 'model'] | vec=[1, 5, 1] | utility=188.80
2025-10-12 11:05:52,244 - DEBUG - [GridSearch] iter=15 | order=['missing_value', 'deduplication', 'stopword', 'model'] | vec=[4, 1, 2, 1] | utility=188.80
2025-10-12 11:05:52,252 - DEBUG - [GridSearch] iter=16 | order=['punctuation', 'missing_value', 'whitespace', 'model'] | vec=[1, 9, 1, 1] | utility=188.80
2025-10-12 11:05:52,383 - DEBUG - [GridSearch] iter=17 | order=['whitespace', 'stopword', 'punctuation', 'deduplication', 'outlier', 'missing_value', 'model'] | vec=[2, 2, 1, 1, 2, 3, 1] | utility=155.51
2025-10-12 11:05:52,383 - INFO - [GridSearch] Start (random). Target utility = 156.00
2025-10-12 11:05:52,504 - DEBUG - [GridSearch] iter=1 | order=['whitespace', 'punctuation', 'normalization', 'missing_value', 'deduplication', 'stopword', 'outlier', 'model'] | vec=[1, 1, 1, 3, 1, 1, 4, 1] | utility=183.19
2025-10-12 11:05:52,585 - DEBUG - [GridSearch] iter=2 | order=['outlier', 'model'] | vec=[2, 1] | utility=155.51
2025-10-12 11:05:52,585 - INFO - [GridSearch] Start (random). Target utility = 156.00
2025-10-12 11:05:52,689 - DEBUG - [GridSearch] iter=1 | order=['outlier', 'stopword', 'deduplication', 'normalization', 'punctuation', 'whitespace', 'model'] | vec=[3, 2, 1, 1, 2, 1, 1] | utility=156.67
2025-10-12 11:05:52,698 - DEBUG - [GridSearch] iter=2 | order=['whitespace', 'model'] | vec=[1, 1] | utility=188.80
2025-10-12 11:05:52,977 - DEBUG - [GridSearch] iter=3 | order=['outlier', 'stopword', 'deduplication', 'normalization', 'punctuation', 'missing_value', 'whitespace', 'model'] | vec=[7, 1, 1, 4, 1, 8, 1, 1] | utility=166.35
2025-10-12 11:05:53,044 - DEBUG - [GridSearch] iter=4 | order=['missing_value', 'whitespace', 'deduplication', 'stopword', 'normalization', 'model'] | vec=[4, 2, 1, 1, 3, 1] | utility=188.80
