sampling,invalid_value,missing_value,floating_point,unit_converter,model,diff_sensitive_attr,ratio_sensitive_attr,cov,class_imbalance_ratio,corr_Age,ot_Age,corr_Workclass,ot_Workclass,corr_fnlwgt,ot_fnlwgt,corr_Education,ot_Education,corr_Education_Num,ot_Education_Num,corr_Martial_Status,ot_Martial_Status,corr_Occupation,ot_Occupation,corr_Relationship,ot_Relationship,corr_Race,ot_Race,corr_Sex,ot_Sex,corr_Capital_Gain,ot_Capital_Gain,corr_Capital_Loss,ot_Capital_Loss,corr_Hours_per_week,ot_Hours_per_week,corr_Country,ot_Country,utility_sp
3,1,8,1,2,1,0.1271,1.0,0.03177751129969559,2.075744680851064,1279.31,0.27,100.58,0.0,23790.37,0.37,361.51,0.0,1168.66,0.35,631.92,0.0,374.83,0.0,721.05,0.0,29.08,0.0,198.97,0.0,208.22,0.08,106474.79,0.29,106474.79,0.28,62.13,0.0,0.04464076360342552
3,4,6,2,2,1,0.1271,1.0,0.03177751129969559,2.075744680851064,86101.85,0.41,100.58,0.0,37116.71,0.28,361.51,0.0,171672.81,0.29,631.92,0.0,374.83,0.0,721.05,0.0,29.08,0.0,198.97,0.0,504.28,0.07,106474.79,0.29,106474.79,0.28,62.13,0.0,0.07193127837430802
1,4,6,2,2,1,0.12139,2.00332,0.026962206439818403,1.9193114577729962,135816.06,0.44,164.17,0.0,56411.52,0.29,581.98,0.0,241960.47,0.3,888.66,0.0,618.02,0.0,1006.71,0.0,44.42,0.0,236.06,0.0,835.7,0.08,167443.8,0.33,167443.8,0.35,68.13,0.0,0.07724148945913889
2,1,2,1,1,1,0.11884,1.98351,0.026486072205916564,2.001843884449908,569.74,0.32,73.36,0.0,10569.91,0.38,158.65,0.0,547.61,0.35,275.45,0.0,226.56,0.0,317.47,0.0,17.37,0.0,68.65,0.0,110.5,0.09,50044.96,0.29,50044.96,0.28,50.57,0.0,0.04436832358678973
2,3,6,2,2,1,0.11884,1.98351,0.026486072205916564,2.001843884449908,569.74,0.32,73.36,0.0,10569.91,0.38,158.65,0.0,547.61,0.35,275.45,0.0,226.56,0.0,317.47,0.0,17.37,0.0,68.65,0.0,110.5,0.09,50044.96,0.29,50044.96,0.28,50.57,0.0,0.04436832358678973
2,1,7,3,2,1,0.11884,1.98351,0.026486072205916564,2.001843884449908,569.74,0.32,73.36,0.0,10569.91,0.38,158.65,0.0,547.61,0.35,275.45,0.0,226.56,0.0,317.47,0.0,17.37,0.0,68.65,0.0,110.5,0.09,50044.96,0.29,50044.96,0.28,50.57,0.0,0.04437179320519185
2,3,1,3,2,1,0.12707,1.98982,0.028291144540506814,2.028865979381443,517.2,0.29,67.53,0.0,9475.51,0.38,141.84,0.0,477.98,0.35,275.45,0.0,207.93,0.0,280.49,0.0,23.31,0.0,71.05,0.0,97.35,0.09,45081.83,0.32,45081.83,0.33,53.82,0.0,0.04437179320519185
1,3,1,2,1,1,0.12747,2.01854,0.028241944391012717,1.9333333333333333,1749.29,0.33,144.09,0.0,32096.07,0.38,528.56,0.0,1574.05,0.36,888.66,0.0,567.82,0.0,904.76,0.0,42.29,0.0,234.18,0.0,297.01,0.08,151907.39,0.34,151907.39,0.35,69.27,0.0,0.04532849089304823
3,1,3,2,2,1,0.1271,1.0,0.03177751129969559,2.075744680851064,1279.31,0.27,100.58,0.0,23790.37,0.37,361.51,0.0,1168.66,0.35,631.92,0.0,374.83,0.0,721.05,0.0,29.08,0.0,198.97,0.0,208.22,0.08,106474.79,0.29,106474.79,0.28,62.13,0.0,0.04464076360342552
3,1,3,4,1,1,0.1271,1.0,0.03177751129969559,2.075744680851064,1279.31,0.27,100.58,0.0,23790.37,0.37,361.51,0.0,1168.66,0.35,631.92,0.0,374.83,0.0,721.05,0.0,29.08,0.0,198.97,0.0,208.22,0.08,106474.79,0.29,106474.79,0.28,62.13,0.0,0.04260873246509156
3,2,9,2,1,1,0.1271,1.0,0.03177751129969559,2.075744680851064,87478.02,0.44,100.58,0.0,37790.45,0.26,361.51,0.0,175641.18,0.27,631.92,0.0,374.83,0.0,721.05,0.0,29.08,0.0,198.97,0.0,507.57,0.08,106474.79,0.29,106474.79,0.28,62.13,0.0,0.06931188255556658
2,1,6,3,2,1,0.11884,1.98351,0.026486072205916564,2.001843884449908,569.74,0.32,73.36,0.0,10569.91,0.38,158.65,0.0,547.61,0.35,275.45,0.0,226.56,0.0,317.47,0.0,17.37,0.0,68.65,0.0,110.5,0.09,50044.96,0.29,50044.96,0.28,50.57,0.0,0.04437179320519185
3,3,4,2,1,1,0.1271,1.0,0.03177751129969559,2.075744680851064,1279.31,0.27,100.58,0.0,23790.37,0.37,361.51,0.0,1168.66,0.35,564.94,0.0,374.83,0.0,721.05,0.0,29.08,0.0,198.97,0.0,208.22,0.08,106474.79,0.29,106474.79,0.28,62.13,0.0,0.04537908135030437
3,2,2,2,1,1,0.1271,1.0,0.03177751129969559,2.075744680851064,88767.21,0.49,100.58,0.0,37921.71,0.27,361.51,0.0,176918.67,0.25,631.92,0.0,374.83,0.0,721.05,0.0,29.08,0.0,198.97,0.0,505.34,0.08,106474.79,0.29,106474.79,0.28,62.13,0.0,0.06951534135515969
1,1,7,3,2,1,0.12139,2.00332,0.026962206439818403,1.9193114577729962,1952.19,0.34,164.17,0.0,35608.4,0.36,581.98,0.0,1775.04,0.36,888.66,0.0,618.02,0.0,1006.71,0.0,44.42,0.0,236.06,0.0,331.13,0.08,167443.8,0.32,167443.8,0.35,68.13,0.0,0.044918351945390844
2,3,2,4,2,1,0.11884,1.98351,0.026486072205916564,2.001843884449908,569.74,0.32,73.36,0.0,10569.91,0.38,158.65,0.0,547.61,0.35,275.45,0.0,226.56,0.0,317.47,0.0,17.37,0.0,68.65,0.0,110.5,0.09,50044.96,0.29,50044.96,0.28,50.57,0.0,0.04437179320519185
3,1,5,3,1,1,0.1271,1.0,0.03177751129969559,2.075744680851064,1279.31,0.27,100.58,0.0,23790.37,0.37,361.51,0.0,1168.66,0.35,631.92,0.0,374.83,0.0,721.05,0.0,29.08,0.0,198.97,0.0,208.22,0.08,106474.79,0.29,106474.79,0.28,62.13,0.0,0.04260873246509156
2,1,4,1,1,1,0.11884,1.98351,0.026486072205916564,2.001843884449908,569.74,0.32,73.36,0.0,10569.91,0.38,158.65,0.0,547.61,0.35,259.39,0.0,226.56,0.0,317.47,0.0,17.37,0.0,68.65,0.0,110.5,0.09,50044.96,0.29,50044.96,0.28,50.57,0.0,0.044748039588820204
3,3,6,2,2,1,0.1271,1.0,0.03177751129969559,2.075744680851064,1279.31,0.27,100.58,0.0,23790.37,0.37,361.51,0.0,1168.66,0.35,631.92,0.0,374.83,0.0,721.05,0.0,29.08,0.0,198.97,0.0,208.22,0.08,106474.79,0.29,106474.79,0.28,62.13,0.0,0.04464076360342552
1,2,2,2,2,1,0.12139,2.00332,0.026962206439818403,1.9193114577729962,139500.19,0.45,164.17,0.0,57808.6,0.32,581.98,0.0,251279.53,0.26,888.66,0.0,618.02,0.0,1006.71,0.0,44.42,0.0,236.06,0.0,835.86,0.08,167443.8,0.33,167443.8,0.35,68.13,0.0,0.07599404131566417
2,4,5,3,1,1,0.11884,1.98351,0.026486072205916564,2.001843884449908,38608.32,0.37,73.36,0.0,15162.12,0.3,158.65,0.0,74756.2,0.27,275.45,0.0,226.56,0.0,317.47,0.0,17.37,0.0,68.65,0.0,263.01,0.08,50044.96,0.29,50044.96,0.28,50.57,0.0,0.07137259491835063
1,4,9,2,2,1,0.12139,2.00332,0.026962206439818403,1.9193114577729962,138016.9,0.43,164.17,0.0,57650.39,0.31,581.98,0.0,247799.02,0.29,888.66,0.0,618.02,0.0,1006.71,0.0,44.42,0.0,236.06,0.0,841.01,0.08,167443.8,0.33,167443.8,0.35,68.13,0.0,0.07537220961064933
1,3,8,2,2,1,0.12139,2.00332,0.026962206439818403,1.9193114577729962,1952.19,0.34,164.17,0.0,35608.4,0.36,581.98,0.0,1775.04,0.36,888.66,0.0,618.02,0.0,1006.71,0.0,44.42,0.0,236.06,0.0,331.13,0.08,167443.8,0.33,167443.8,0.35,68.13,0.0,0.04532849089304823
1,1,1,2,2,1,0.12747,2.01854,0.028241944391012717,1.9333333333333333,1749.29,0.33,144.09,0.0,32096.07,0.38,528.56,0.0,1574.05,0.36,888.66,0.0,567.82,0.0,904.76,0.0,42.29,0.0,234.18,0.0,297.01,0.08,151907.39,0.34,151907.39,0.35,69.27,0.0,0.04532849089304823
1,2,7,1,2,1,0.12139,2.00332,0.026962206439818403,1.9193114577729962,137272.26,0.39,164.17,0.0,57210.58,0.31,581.98,0.0,245296.31,0.3,888.66,0.0,618.02,0.0,1006.71,0.0,44.42,0.0,236.06,0.0,838.06,0.08,167443.8,0.33,167443.8,0.35,68.13,0.0,0.0760942105941754
1,4,6,3,1,1,0.12139,2.00332,0.026962206439818403,1.9193114577729962,135816.06,0.44,164.17,0.0,56411.52,0.29,581.98,0.0,241960.47,0.3,888.66,0.0,618.02,0.0,1006.71,0.0,44.42,0.0,236.06,0.0,835.7,0.08,167443.8,0.32,167443.8,0.35,68.13,0.0,0.07303614597060876
2,4,1,4,1,1,0.13113,1.90399,0.02961510350619889,2.050428163653663,25077.37,0.43,36.12,0.0,9952.57,0.3,101.32,0.0,48805.22,0.27,207.57,0.0,152.36,0.0,212.5,0.0,12.38,0.0,55.89,0.0,163.73,0.08,32870.55,0.29,32870.55,0.32,40.92,0.0,0.07558536383568444
3,3,4,2,2,1,0.1271,1.0,0.03177751129969559,2.075744680851064,1279.31,0.27,100.58,0.0,23790.37,0.37,361.51,0.0,1168.66,0.35,564.94,0.0,374.83,0.0,721.05,0.0,29.08,0.0,198.97,0.0,208.22,0.08,106474.79,0.29,106474.79,0.28,62.13,0.0,0.04537908135030437
1,3,1,3,2,1,0.12747,2.01854,0.028241944391012717,1.9333333333333333,1749.29,0.33,144.09,0.0,32096.07,0.38,528.56,0.0,1574.05,0.36,888.66,0.0,567.82,0.0,904.76,0.0,42.29,0.0,234.18,0.0,297.01,0.08,151907.39,0.35,151907.39,0.35,69.27,0.0,0.044918351945390844
1,4,4,4,1,1,0.12139,2.00332,0.026962206439818403,1.9193114577729962,133043.12,0.45,164.17,0.0,53335.24,0.31,581.98,0.0,241823.09,0.26,816.94,0.0,618.02,0.0,1006.71,0.0,44.42,0.0,236.06,0.0,826.93,0.08,167443.8,0.32,167443.8,0.35,68.13,0.0,0.06865086766116218
