sampling,invalid_value,missing_value,floating_point,unit_converter,distribution_shape,multicollinearity,normalization,outlier,punctuation,stopword,lowercase,whitespace,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,diff_sensitive_attr,ratio_sensitive_attr,cov,class_imbalance_ratio,corr_Age,ot_Age,corr_Workclass,ot_Workclass,corr_fnlwgt,ot_fnlwgt,corr_Education,ot_Education,corr_Education_Num,ot_Education_Num,corr_Martial_Status,ot_Martial_Status,corr_Occupation,ot_Occupation,corr_Relationship,ot_Relationship,corr_Race,ot_Race,corr_Sex,ot_Sex,corr_Capital_Gain,ot_Capital_Gain,corr_Capital_Loss,ot_Capital_Loss,corr_Hours_per_week,ot_Hours_per_week,corr_Country,ot_Country,utility_sp
1,2,3,3,2,3,2,4,3,1,2,2,2,1,0.1539039039039039,0.15253890253890254,0.12796,2.15532,0.027706514203138365,1.8915808600847972,0.0,1.0,96.62,0.38,312.54,0.22,120.92,0.45,313.49,0.29,0.0,1.0,74.23,0.32,0.0,1.0,1687.12,0.56,1.58,0.29,4368.11,0.3,2523.29,1.0,1928.91,0.22,1928.91,0.16,0.09317530801742153
1,1,1,1,2,3,1,2,7,1,2,2,1,1,0.1625034125034125,0.15793065793065794,0.12715,1.97536,0.028374548925267553,1.9338825517532743,1320.37,0.3,135.32,0.31,1489.44,0.36,522.48,0.28,1336.54,0.35,893.33,0.21,559.81,0.41,910.16,0.34,41.58,0.14,222.46,0.34,1640.55,0.07,1447.75,0.24,1447.75,0.31,68.56,0.09,0.06395985022452104
1,4,6,2,2,3,2,2,8,2,1,1,2,1,0.15567840567840568,0.15397215397215397,0.12776,1.99436,0.028418763368622372,1.9312461632903621,142.14,0.31,517.44,0.29,908.1,0.21,569.79,0.41,920.39,0.34,42.29,0.14,230.81,0.33,73.6,0.09,1401.79,0.45,1535.51,0.27,1330.54,0.3,1516.58,0.07,1433.6,0.29,1433.6,0.29,0.12687610046975578
1,2,4,4,2,1,2,1,6,2,2,1,2,1,0.14722682881886862,0.14722682881886862,0.12201,1.9956,0.027135395696831367,1.932171632002998,155.95,0.0,547.77,0.0,797.97,0.0,588.19,0.0,977.73,0.0,45.49,0.0,229.99,0.0,73.17,0.0,129233.24,0.47,52628.28,0.32,234350.05,0.26,662.88,0.05,163367.29,0.28,163367.29,0.26,0.06547287744077326
1,3,5,2,1,4,1,4,4,1,2,1,2,1,0.1872099372099372,0.18714168714168714,0.12699,2.02878,0.02808623835486088,1.9187465335551859,16918.64,0.4,133.96,0.31,287.55,0.35,402.31,0.29,112.01,0.36,690.56,0.2,476.68,0.41,690.93,0.33,40.89,0.14,166.09,0.33,2329.57,0.08,204.43,0.32,204.43,0.3,67.53,0.1,0.10585438032552683
3,2,3,1,2,4,1,1,1,1,2,2,1,1,0.17084655543044325,0.17084655543044325,0.13416,1.01257,0.0335425331714614,2.0943934114665823,347858.66,0.53,90.28,0.0,179918.84,0.24,328.25,0.0,106240.99,0.25,631.92,0.0,349.18,0.0,653.43,0.0,30.74,0.0,200.35,0.0,3120.18,0.07,91799.65,0.3,91799.65,0.26,58.64,0.0,0.15440112736462172
3,1,4,3,2,4,1,1,3,1,2,2,1,1,0.18059398634938204,0.18059398634938204,0.12667,0.97018,0.031666283294263034,2.2950721153846154,20894.78,0.41,33.78,0.0,27442.78,0.36,66.56,0.0,58195.68,0.36,273.68,0.0,122.0,0.0,335.13,0.0,11.31,0.0,103.43,0.0,2388.6,1.0,361306.13,0.28,361306.12,0.39,34.58,0.0,0.02259259259259259
3,2,5,2,1,4,1,1,2,1,1,1,2,1,0.18251612242808885,0.18251612242808885,0.14418,1.08067,0.0359948947383676,2.1085918854415273,254383.86,0.5,64.37,0.0,138949.39,0.24,240.69,0.0,97185.07,0.22,540.89,0.0,274.66,0.0,548.46,0.0,20.56,0.0,185.18,0.0,3190.8,0.03,128514.58,0.29,128514.58,0.31,36.95,0.0,0.1574635547401074
3,1,3,3,2,3,2,3,4,1,2,2,1,1,0.16542123042276588,0.16460231344047496,0.14303,1.00963,0.035760267333268585,2.0858316221765913,74.82,0.31,270.31,0.28,520.28,0.25,299.58,0.51,537.8,0.71,31.59,0.15,174.77,1.0,56.48,0.09,686.1,0.32,1674.63,0.3,831.45,0.35,366.86,0.08,636.96,0.25,636.96,0.22,0.07189229687436348
3,1,7,4,1,2,1,3,8,1,1,2,1,1,0.1759647865697615,0.17545296345582967,0.13347,1.00721,0.03337145398484222,2.087707857841539,190.24,0.34,81.08,0.3,2208.59,0.27,320.5,0.27,979.68,0.34,609.36,0.26,330.83,0.52,624.47,0.71,30.56,0.15,192.0,1.0,154.22,0.07,1010.63,0.27,1010.63,0.27,59.82,0.08,0.06488573383973978
