sampling,invalid_value,missing_value,floating_point,unit_converter,distribution_shape,model,diff_sensitive_attr,ratio_sensitive_attr,cov,class_imbalance_ratio,corr_Age,ot_Age,corr_Workclass,ot_Workclass,corr_fnlwgt,ot_fnlwgt,corr_Education,ot_Education,corr_Education_Num,ot_Education_Num,corr_Martial_Status,ot_Martial_Status,corr_Occupation,ot_Occupation,corr_Relationship,ot_Relationship,corr_Race,ot_Race,corr_Sex,ot_Sex,corr_Capital_Gain,ot_Capital_Gain,corr_Capital_Loss,ot_Capital_Loss,corr_Hours_per_week,ot_Hours_per_week,corr_Country,ot_Country,utility_sp
2,2,4,4,1,1,1,0.11884,1.98351,0.026486072205916564,2.001843884449908,34619.83,0.45,73.36,0.0,15730.92,0.28,158.65,0.0,78213.59,0.25,259.39,0.0,226.56,0.0,317.47,0.0,17.37,0.0,68.65,0.0,260.88,0.08,50044.96,0.29,50044.96,0.28,50.57,0.0,0.07134069905983419
2,1,1,1,2,3,1,0.12707,1.98982,0.028291144540506814,2.028865979381443,1269.47,0.33,67.53,0.0,23961.93,0.36,141.84,0.0,39524.36,0.35,275.45,0.0,207.93,0.0,280.49,0.0,23.31,0.0,71.05,0.0,257.28,0.09,111546.19,0.27,111546.19,0.25,53.82,0.0,0.06655768980778776
3,2,7,1,2,3,1,0.1271,1.0,0.03177751129969559,2.075744680851064,263056.97,0.42,100.58,0.0,144694.69,0.27,361.51,0.0,226113.1,0.28,631.92,0.0,374.83,0.0,721.05,0.0,29.08,0.0,198.97,0.0,658.19,0.07,265386.85,0.28,265386.86,0.22,62.13,0.0,0.12181192342337245
3,1,5,3,1,2,1,0.1271,1.0,0.03177751129969559,2.075744680851064,51006.46,0.37,100.58,0.0,478698.19,0.29,361.51,0.0,88461.13,0.35,631.92,0.0,374.83,0.0,721.05,0.0,29.08,0.0,198.97,0.0,232.16,0.08,308139.11,0.24,308139.11,0.22,62.13,0.0,0.0701410588995201
1,2,3,2,2,3,1,0.12139,2.00332,0.026962206439818403,1.9193114577729962,412356.96,0.45,164.17,0.0,220281.68,0.26,581.98,0.0,323261.05,0.26,888.66,0.0,618.02,0.0,1006.71,0.0,44.42,0.0,236.06,0.0,1037.63,0.08,420013.58,0.28,420013.59,0.3,68.13,0.0,0.12476260259466185
2,2,9,1,1,1,1,0.11884,1.98351,0.026486072205916564,2.001843884449908,42085.96,0.46,73.36,0.0,16977.84,0.28,158.65,0.0,80493.26,0.25,275.45,0.0,226.56,0.0,317.47,0.0,17.37,0.0,68.65,0.0,266.24,0.09,50044.96,0.29,50044.96,0.28,50.57,0.0,0.07411058645340696
2,4,4,4,1,3,1,0.11884,1.98351,0.026486072205916564,2.001843884449908,107043.14,0.46,73.36,0.0,62775.28,0.32,158.65,0.0,101073.4,0.25,259.39,0.0,226.56,0.0,317.47,0.0,17.37,0.0,68.65,0.0,339.9,0.08,124571.87,0.23,124571.87,0.28,50.57,0.0,0.10732824378652048
2,2,7,4,1,4,1,0.11884,1.98351,0.026486072205916564,2.001843884449908,157743.86,0.39,73.36,0.0,84973.91,0.22,158.65,0.0,48170.62,0.29,275.45,0.0,226.56,0.0,317.47,0.0,17.37,0.0,68.65,0.0,51422.59,0.09,46707.32,0.29,46707.31,0.31,50.57,0.0,0.11021636077739808
1,3,8,2,2,2,1,0.12139,2.00332,0.026962206439818403,1.9193114577729962,76137.23,0.34,164.17,0.0,695259.33,0.28,581.98,0.0,130725.19,0.36,888.66,0.0,618.02,0.0,1006.71,0.0,44.42,0.0,236.06,0.0,372.11,0.08,473599.91,0.23,473599.92,0.24,68.13,0.0,0.07150345508316194
1,1,5,4,1,2,1,0.12139,2.00332,0.026962206439818403,1.9193114577729962,76137.23,0.34,164.17,0.0,695259.33,0.28,581.98,0.0,130725.19,0.36,888.66,0.0,618.02,0.0,1006.71,0.0,44.42,0.0,236.06,0.0,372.11,0.08,473599.91,0.22,473599.92,0.24,68.13,0.0,0.07150345508316194
