,init pf,init block clean threshold,init weighting schema,init matching threshold,f-score goal,param iterations,param f-score,proj iterations,proj f-score,profile iterations,profile f-score,grid search iterations,grid search f-score
660,0,0.05,1,0.3875,0.9,12,0.92769,21,0.91947,8,0.96247,5.0,0.92769
661,0,0.05,1,0.5,0.9,1,0.90834,1,0.90834,2,0.90834,5.0,0.92769
662,0,0.05,1,0.6125,0.9,1,0.94593,1,0.94593,2,0.94593,5.0,0.92769
663,0,0.05,1,0.725,0.9,1,0.96303,1,0.96303,2,0.96303,5.0,0.92769
664,0,0.05,1,0.8375,0.9,1,0.92352,1,0.92352,2,0.92667,5.0,0.92769
665,0,0.05,1,0.95,0.9,12,0.92667,17,0.94367,8,0.96247,5.0,0.92769
666,0,0.05,2,0.05,0.9,12,0.92769,35,0.94367,7,0.96247,5.0,0.92769
667,0,0.05,2,0.1625,0.9,21,0.91947,16,0.90759,8,0.96247,5.0,0.92769
668,0,0.05,2,0.275,0.9,12,0.92769,21,0.91947,8,0.96247,5.0,0.92769
669,0,0.05,2,0.3875,0.9,21,0.91947,16,0.90759,8,0.96247,5.0,0.92769
670,0,0.05,2,0.5,0.9,1,0.90467,1,0.90467,2,0.90467,5.0,0.92769
671,0,0.05,2,0.6125,0.9,1,0.94549,1,0.94549,2,0.94549,5.0,0.92769
672,0,0.05,2,0.725,0.9,1,0.96385,1,0.96385,2,0.96385,5.0,0.92769
673,0,0.05,2,0.8375,0.9,1,0.92769,1,0.92769,2,0.92769,5.0,0.92769
674,0,0.05,2,0.95,0.9,11,0.92769,15,0.90467,8,0.96247,5.0,0.92769
675,0,0.05,3,0.05,0.9,24,0.92769,31,0.94367,7,0.96247,5.0,0.92769
676,0,0.05,3,0.1625,0.9,11,0.92769,21,0.91947,7,0.96247,5.0,0.92769
677,0,0.05,3,0.275,0.9,21,0.91947,15,0.91119,7,0.96247,5.0,0.92769
678,0,0.05,3,0.3875,0.9,11,0.92769,21,0.91947,5,0.96247,5.0,0.92769
679,0,0.05,3,0.5,0.9,3,0.90024,3,0.90991,3,0.93304,5.0,0.92769
680,0,0.05,3,0.6125,0.9,1,0.94367,1,0.94367,1,0.94367,5.0,0.92769
681,0,0.05,3,0.725,0.9,1,0.96385,1,0.96385,1,0.96385,5.0,0.92769
682,0,0.05,3,0.8375,0.9,1,0.92769,1,0.92769,1,0.92769,5.0,0.92769
683,0,0.05,3,0.95,0.9,10,0.92769,16,0.94367,5,0.96247,5.0,0.92769
684,0,0.1625,0,0.05,0.9,23,0.92769,34,0.94367,7,0.96247,5.0,0.92769
685,0,0.1625,0,0.1625,0.9,12,0.92769,20,0.91947,8,0.96247,5.0,0.92769
686,0,0.1625,0,0.275,0.9,20,0.91947,21,0.91947,9,0.96247,5.0,0.92769
687,0,0.1625,0,0.3875,0.9,12,0.92769,20,0.91947,8,0.96247,5.0,0.92769
688,0,0.1625,0,0.5,0.9,1,0.90024,1,0.90024,2,0.90291,5.0,0.92769
689,0,0.1625,0,0.6125,0.9,1,0.94193,1,0.94193,1,0.94193,5.0,0.92769
690,0,0.1625,0,0.725,0.9,1,0.96247,1,0.96247,1,0.96247,5.0,0.92769
691,0,0.1625,0,0.8375,0.9,1,0.92667,1,0.92667,1,0.92667,5.0,0.92769
692,0,0.1625,0,0.95,0.9,11,0.92667,17,0.94367,7,0.96247,5.0,0.92769
693,0,0.1625,1,0.05,0.9,12,0.92769,36,0.94367,8,0.96247,5.0,0.92769
694,0,0.1625,1,0.1625,0.9,14,0.92461,15,0.90093,8,0.96247,5.0,0.92769
695,0,0.1625,1,0.275,0.9,12,0.92769,15,0.90093,8,0.96247,5.0,0.92769
696,0,0.1625,1,0.3875,0.9,22,0.91947,15,0.90093,9,0.96247,5.0,0.92769
697,0,0.1625,1,0.5,0.9,1,0.90834,1,0.90834,2,0.91749,5.0,0.92769
698,0,0.1625,1,0.6125,0.9,1,0.94593,1,0.94593,2,0.94728,5.0,0.92769
699,0,0.1625,1,0.725,0.9,1,0.96303,1,0.96303,2,0.96303,5.0,0.92769
700,0,0.1625,1,0.8375,0.9,1,0.92352,1,0.92352,2,0.92667,5.0,0.92769
701,0,0.1625,1,0.95,0.9,11,0.92769,16,0.90024,8,0.96247,5.0,0.92769
702,0,0.1625,2,0.05,0.9,25,0.92769,34,0.94367,8,0.96247,5.0,0.92769
703,0,0.1625,2,0.1625,0.9,12,0.92769,22,0.91947,8,0.96247,5.0,0.92769
704,0,0.1625,2,0.275,0.9,22,0.91947,16,0.90759,8,0.96247,5.0,0.92769
705,0,0.1625,2,0.3875,0.9,12,0.92769,22,0.91947,9,0.96247,5.0,0.92769
706,0,0.1625,2,0.5,0.9,1,0.90467,1,0.90467,2,0.91265,5.0,0.92769
