,init pf,init block clean threshold,init weighting schema,init matching threshold,f-score goal,param iterations,param f-score,proj iterations,proj f-score,profile iterations,profile f-score,grid search iterations,grid search f-score
117,0,0.43571,2,0.69286,0.8,1,0.96071,1,0.96071,2,0.96071,3.0,0.91242
118,0,0.43571,2,0.82143,0.8,1,0.94306,1,0.94306,2,0.94306,3.0,0.91242
119,0,0.43571,2,0.95,0.8,10,0.94306,14,0.93562,8,0.96062,3.0,0.91242
120,0,0.43571,3,0.05,0.8,19,0.83986,19,0.83986,10,0.96062,3.0,0.91242
121,0,0.43571,3,0.17857,0.8,10,0.94306,12,0.80715,8,0.96062,3.0,0.91242
122,0,0.43571,3,0.30714,0.8,12,0.81475,13,0.80715,8,0.96062,3.0,0.91242
123,0,0.43571,3,0.43571,0.8,3,0.86995,3,0.86995,2,0.86995,3.0,0.91242
124,0,0.43571,3,0.56429,0.8,1,0.93207,1,0.93207,2,0.94092,3.0,0.91242
125,0,0.43571,3,0.69286,0.8,1,0.96071,1,0.96071,1,0.96071,3.0,0.91242
126,0,0.43571,3,0.82143,0.8,1,0.94306,1,0.94306,1,0.94306,3.0,0.91242
127,0,0.43571,3,0.95,0.8,10,0.94306,13,0.93207,5,0.96062,3.0,0.91242
128,0,0.56429,0,0.05,0.8,10,0.94206,17,0.83986,7,0.96062,3.0,0.91242
129,0,0.56429,0,0.17857,0.8,13,0.81475,14,0.80715,9,0.96062,3.0,0.91242
130,0,0.56429,0,0.30714,0.8,10,0.94206,18,0.83986,9,0.96062,3.0,0.91242
131,0,0.56429,0,0.43571,0.8,3,0.86518,3,0.86518,2,0.86518,3.0,0.91242
132,0,0.56429,0,0.56429,0.8,1,0.93035,1,0.93035,1,0.93035,3.0,0.91242
133,0,0.56429,0,0.69286,0.8,1,0.96062,1,0.96062,1,0.96062,3.0,0.91242
134,0,0.56429,0,0.82143,0.8,1,0.94206,1,0.94206,1,0.94206,3.0,0.91242
135,0,0.56429,0,0.95,0.8,10,0.94306,15,0.93207,7,0.96062,3.0,0.91242
136,0,0.56429,1,0.05,0.8,11,0.84124,12,0.83321,8,0.96062,3.0,0.91242
137,0,0.56429,1,0.17857,0.8,11,0.84124,12,0.83321,8,0.96062,3.0,0.91242
138,0,0.56429,1,0.30714,0.8,12,0.84124,12,0.83321,5,0.96062,3.0,0.91242
139,0,0.56429,1,0.43571,0.8,3,0.83321,3,0.83321,2,0.83321,3.0,0.91242
140,0,0.56429,1,0.56429,0.8,1,0.93591,1,0.93591,2,0.93591,3.0,0.91242
141,0,0.56429,1,0.69286,0.8,1,0.9607,1,0.9607,2,0.9607,3.0,0.91242
142,0,0.56429,1,0.82143,0.8,1,0.93874,1,0.93874,2,0.94206,3.0,0.91242
143,0,0.56429,1,0.95,0.8,11,0.94306,15,0.93207,8,0.96062,3.0,0.91242
144,0,0.56429,2,0.05,0.8,11,0.94306,13,0.80285,7,0.96062,3.0,0.91242
145,0,0.56429,2,0.17857,0.8,13,0.81524,14,0.80285,7,0.96062,3.0,0.91242
146,0,0.56429,2,0.30714,0.8,11,0.91242,12,0.88413,7,0.96062,3.0,0.91242
147,0,0.56429,2,0.43571,0.8,3,0.88413,3,0.88413,2,0.88413,3.0,0.91242
148,0,0.56429,2,0.56429,0.8,1,0.93562,1,0.93562,2,0.93562,3.0,0.91242
149,0,0.56429,2,0.69286,0.8,1,0.96071,1,0.96071,2,0.96071,3.0,0.91242
150,0,0.56429,2,0.82143,0.8,1,0.94306,1,0.94306,2,0.94306,3.0,0.91242
151,0,0.56429,2,0.95,0.8,10,0.94306,14,0.93562,8,0.96062,3.0,0.91242
152,0,0.56429,3,0.05,0.8,19,0.83986,19,0.83986,9,0.96062,3.0,0.91242
153,0,0.56429,3,0.17857,0.8,10,0.94306,12,0.80715,8,0.96062,3.0,0.91242
154,0,0.56429,3,0.30714,0.8,12,0.81475,13,0.80715,8,0.96062,3.0,0.91242
155,0,0.56429,3,0.43571,0.8,3,0.87743,3,0.87743,2,0.87743,3.0,0.91242
156,0,0.56429,3,0.56429,0.8,1,0.93207,1,0.93207,1,0.93207,3.0,0.91242
157,0,0.56429,3,0.69286,0.8,1,0.96071,1,0.96071,1,0.96071,3.0,0.91242
158,0,0.56429,3,0.82143,0.8,1,0.94306,1,0.94306,1,0.94306,3.0,0.91242
159,0,0.56429,3,0.95,0.8,10,0.94306,13,0.93207,5,0.96062,3.0,0.91242
160,0,0.69286,0,0.05,0.8,10,0.94206,17,0.83986,8,0.96062,3.0,0.91242
161,0,0.69286,0,0.17857,0.8,13,0.81475,14,0.80715,8,0.96062,3.0,0.91242
