,blocking threshold,match threshold,precision,recall,f-score,acc
338,0.08,0.38,0.73123,0.91502,0.81287,0.92711
339,0.08,0.39,0.7836,0.91502,0.84423,0.94158
340,0.08,0.4,0.82522,0.91502,0.8678,0.95177
341,0.08,0.41,0.84545,0.91502,0.87886,0.95636
342,0.08,0.42,0.86339,0.91502,0.88846,0.96025
343,0.08,0.43,0.87377,0.91502,0.89392,0.96243
344,0.08,0.44,0.88019,0.91502,0.89727,0.96375
345,0.08,0.45,0.89254,0.91502,0.90364,0.96624
346,0.08,0.46,0.90204,0.91502,0.90848,0.96811
347,0.08,0.47,0.90727,0.91502,0.91113,0.96912
348,0.08,0.48,0.9117,0.91457,0.91313,0.96989
349,0.08,0.49,0.91783,0.91412,0.91597,0.97098
350,0.08,0.5,0.91908,0.91412,0.91659,0.97122
351,0.08,0.51,0.92743,0.91367,0.9205,0.9727
352,0.08,0.52,0.9304,0.91367,0.92196,0.97324
353,0.08,0.53,0.93205,0.91277,0.92231,0.9734
354,0.08,0.54,0.93202,0.91232,0.92206,0.97332
355,0.08,0.55,0.93456,0.91187,0.92308,0.97371
356,0.08,0.56,0.93626,0.91142,0.92367,0.97394
357,0.08,0.57,0.94011,0.91052,0.92508,0.97448
358,0.08,0.58,0.94011,0.91052,0.92508,0.97448
359,0.08,0.59,0.9423,0.91052,0.92614,0.97487
360,0.08,0.6,0.94535,0.91007,0.92737,0.97534
361,0.08,0.61,0.94934,0.91007,0.92929,0.97604
362,0.08,0.62,0.95285,0.90872,0.93026,0.97643
363,0.08,0.63,0.95551,0.90782,0.93105,0.97674
364,0.08,0.64,0.95821,0.90737,0.9321,0.97713
365,0.08,0.65,0.95956,0.90692,0.9325,0.97729
366,0.08,0.66,0.96044,0.90603,0.93244,0.97729
367,0.08,0.67,0.97189,0.90153,0.93539,0.97845
368,0.08,0.68,0.9742,0.89973,0.93549,0.97853
369,0.08,0.69,0.97703,0.89883,0.9363,0.97884
370,0.08,0.7,0.97891,0.89748,0.93643,0.97892
371,0.08,0.71,0.97936,0.89613,0.9359,0.97876
372,0.08,0.72,0.98171,0.89299,0.93525,0.97861
373,0.08,0.73,0.9846,0.89119,0.93557,0.97876
374,0.08,0.74,0.98555,0.88939,0.935,0.97861
375,0.08,0.75,0.98699,0.88669,0.93416,0.97837
376,0.08,0.76,0.98888,0.87995,0.93124,0.97752
377,0.08,0.77,0.98985,0.87725,0.93015,0.97721
378,0.08,0.78,0.99224,0.86196,0.92252,0.97495
379,0.08,0.79,0.99219,0.85656,0.9194,0.97402
380,0.08,0.8,0.99317,0.84937,0.91566,0.97293
