,init pf,init block clean threshold,init weighting schema,init matching threshold,historical data size,param iterations,param f-score,proj iterations,proj f-score,profile iterations,profile f-score,grid search iterations,grid search f-score
73,0,0.30714,1,0.17857,36,17,0.96071,38,0.95808,228,0.96071,23.0,0.96036
74,0,0.30714,1,0.30714,36,22,0.96071,37,0.95808,228,0.96071,23.0,0.96036
75,0,0.30714,1,0.43571,36,17,0.95935,20,0.95959,219,0.96071,23.0,0.96036
76,0,0.30714,1,0.56429,36,17,0.96165,15,0.96165,268,0.95808,23.0,0.96036
77,0,0.30714,1,0.69286,36,1,0.9607,1,0.9607,4,0.96359,23.0,0.96036
78,0,0.30714,1,0.82143,36,14,0.96071,17,0.96071,267,0.95808,23.0,0.96036
79,0,0.30714,1,0.95,36,15,0.96071,16,0.96062,221,0.96071,23.0,0.96036
80,0,0.30714,2,0.05,36,17,0.96071,19,0.96284,221,0.96071,23.0,0.96036
81,0,0.30714,2,0.17857,36,22,0.96071,37,0.95808,215,0.96071,23.0,0.96036
82,0,0.30714,2,0.30714,36,17,0.96071,16,0.95808,209,0.96071,23.0,0.96036
83,0,0.30714,2,0.43571,36,23,0.96071,38,0.95808,223,0.96071,23.0,0.96036
84,0,0.30714,2,0.56429,36,15,0.96402,15,0.96402,266,0.95808,23.0,0.96036
85,0,0.30714,2,0.69286,36,1,0.96071,1,0.96071,4,0.96402,23.0,0.96036
86,0,0.30714,2,0.82143,36,15,0.96071,15,0.96071,267,0.95808,23.0,0.96036
87,0,0.30714,2,0.95,36,14,0.96071,16,0.96071,221,0.96071,23.0,0.96036
88,0,0.30714,3,0.05,36,22,0.96071,36,0.95808,220,0.96071,23.0,0.96036
89,0,0.30714,3,0.17857,36,16,0.96071,18,0.96284,214,0.96071,23.0,0.96036
90,0,0.30714,3,0.30714,36,23,0.96071,37,0.95808,208,0.96071,23.0,0.96036
91,0,0.30714,3,0.43571,36,21,0.96071,36,0.95808,222,0.96071,23.0,0.96036
92,0,0.30714,3,0.56429,36,16,0.96402,14,0.96359,267,0.95808,23.0,0.96036
93,0,0.30714,3,0.69286,36,1,0.96071,1,0.96071,4,0.96359,23.0,0.96036
