,q size,pf,block clean threshold,weighting schema,matching threshold,stop count,av sim,sim q1,sim q2,sim q3,f-score
142,0,0,0.56429,1,0.82143,0,1.0,1.0,1.0,1.0,0.0
143,0,0,0.56429,1,0.95,0,1.0,1.0,1.0,1.0,0.0
144,0,0,0.56429,2,0.05,0,0.0,0.0,0.0,0.0,0.0
145,0,0,0.56429,2,0.17857,0,0.0,0.0,0.0,0.0,0.0
146,0,0,0.56429,2,0.30714,0,0.0,0.0,0.0,0.0,0.0
147,0,0,0.56429,2,0.43571,0,0.0,0.0,0.0,0.0,0.0
148,0,0,0.56429,2,0.56429,0,0.0,0.0,0.0,0.0,0.0
149,0,0,0.56429,2,0.69286,0,0.0,0.0,0.0,0.0,0.0
150,0,0,0.56429,2,0.82143,0,0.0,0.0,0.0,0.0,0.0
151,0,0,0.56429,2,0.95,0,0.0,0.0,0.0,0.0,0.0
152,0,0,0.56429,3,0.05,0,1.0,1.0,1.0,1.0,0.04511
153,0,0,0.56429,3,0.17857,0,1.0,1.0,1.0,1.0,0.04511
154,0,0,0.56429,3,0.30714,0,1.0,1.0,1.0,1.0,0.04511
155,0,0,0.56429,3,0.43571,0,1.0,1.0,1.0,1.0,0.0491
156,0,0,0.56429,3,0.56429,0,1.0,1.0,1.0,1.0,0.0491
157,0,0,0.56429,3,0.69286,0,1.0,1.0,1.0,1.0,0.0
158,0,0,0.56429,3,0.82143,0,1.0,1.0,1.0,1.0,0.0
159,0,0,0.56429,3,0.95,0,1.0,1.0,1.0,1.0,0.0
160,0,0,0.69286,0,0.05,0,1.0,1.0,1.0,1.0,0.03385
161,0,0,0.69286,0,0.17857,0,1.0,1.0,1.0,1.0,0.03385
162,0,0,0.69286,0,0.30714,0,1.0,1.0,1.0,1.0,0.03385
163,0,0,0.69286,0,0.43571,0,1.0,1.0,1.0,1.0,0.03438
164,0,0,0.69286,0,0.56429,0,1.0,1.0,1.0,1.0,0.03438
165,0,0,0.69286,0,0.69286,0,1.0,1.0,1.0,1.0,0.0
166,0,0,0.69286,0,0.82143,0,1.0,1.0,1.0,1.0,0.0
167,0,0,0.69286,0,0.95,0,1.0,1.0,1.0,1.0,0.0
168,0,0,0.69286,1,0.05,0,1.0,1.0,1.0,1.0,0.04511
169,0,0,0.69286,1,0.17857,0,1.0,1.0,1.0,1.0,0.04511
170,0,0,0.69286,1,0.30714,0,1.0,1.0,1.0,1.0,0.04511
171,0,0,0.69286,1,0.43571,0,1.0,1.0,1.0,1.0,0.0491
172,0,0,0.69286,1,0.56429,0,1.0,1.0,1.0,1.0,0.0491
173,0,0,0.69286,1,0.69286,0,1.0,1.0,1.0,1.0,0.0
174,0,0,0.69286,1,0.82143,0,1.0,1.0,1.0,1.0,0.0
175,0,0,0.69286,1,0.95,0,1.0,1.0,1.0,1.0,0.0
176,0,0,0.69286,2,0.05,0,0.0,0.0,0.0,0.0,0.0
177,0,0,0.69286,2,0.17857,0,0.0,0.0,0.0,0.0,0.0
178,0,0,0.69286,2,0.30714,0,0.0,0.0,0.0,0.0,0.0
179,0,0,0.69286,2,0.43571,0,0.0,0.0,0.0,0.0,0.0
180,0,0,0.69286,2,0.56429,0,0.0,0.0,0.0,0.0,0.0
181,0,0,0.69286,2,0.69286,0,0.0,0.0,0.0,0.0,0.0
182,0,0,0.69286,2,0.82143,0,0.0,0.0,0.0,0.0,0.0
183,0,0,0.69286,2,0.95,0,0.0,0.0,0.0,0.0,0.0
184,0,0,0.69286,3,0.05,0,1.0,1.0,1.0,1.0,0.04511
185,0,0,0.69286,3,0.17857,0,1.0,1.0,1.0,1.0,0.04511
186,0,0,0.69286,3,0.30714,0,1.0,1.0,1.0,1.0,0.04511
187,0,0,0.69286,3,0.43571,0,1.0,1.0,1.0,1.0,0.0491
188,0,0,0.69286,3,0.56429,0,1.0,1.0,1.0,1.0,0.0491
189,0,0,0.69286,3,0.69286,0,1.0,1.0,1.0,1.0,0.0
190,0,0,0.69286,3,0.82143,0,1.0,1.0,1.0,1.0,0.0
191,0,0,0.69286,3,0.95,0,1.0,1.0,1.0,1.0,0.0
192,0,0,0.82143,0,0.05,0,1.0,1.0,1.0,1.0,0.03385
193,0,0,0.82143,0,0.17857,0,1.0,1.0,1.0,1.0,0.03385
194,0,0,0.82143,0,0.30714,0,1.0,1.0,1.0,1.0,0.03385
195,0,0,0.82143,0,0.43571,0,1.0,1.0,1.0,1.0,0.03438
196,0,0,0.82143,0,0.56429,0,1.0,1.0,1.0,1.0,0.03438
197,0,0,0.82143,0,0.69286,0,1.0,1.0,1.0,1.0,0.0
198,0,0,0.82143,0,0.82143,0,1.0,1.0,1.0,1.0,0.0
199,0,0,0.82143,0,0.95,0,1.0,1.0,1.0,1.0,0.0
200,0,0,0.82143,1,0.05,0,1.0,1.0,1.0,1.0,0.04511
201,0,0,0.82143,1,0.17857,0,1.0,1.0,1.0,1.0,0.04511
202,0,0,0.82143,1,0.30714,0,1.0,1.0,1.0,1.0,0.04511
203,0,0,0.82143,1,0.43571,0,1.0,1.0,1.0,1.0,0.0491
