,q size,pf,block clean threshold,weighting schema,matching threshold,f-score
263,5,0,0.05,1,0.95,0.78327
264,5,0,0.05,2,0.05,0.03126
265,5,0,0.05,2,0.35,0.09042
266,5,0,0.05,2,0.65,0.94603
267,5,0,0.05,2,0.95,0.78393
268,5,0,0.05,3,0.05,0.03173
269,5,0,0.05,3,0.35,0.09349
270,5,0,0.05,3,0.65,0.94542
271,5,0,0.05,3,0.95,0.78393
272,5,0,0.35,0,0.05,0.1385
273,5,0,0.35,0,0.35,0.35479
274,5,0,0.35,0,0.65,0.95472
275,5,0,0.35,0,0.95,0.78227
276,5,0,0.35,1,0.05,0.10955
277,5,0,0.35,1,0.35,0.30466
278,5,0,0.35,1,0.65,0.9465
279,5,0,0.35,1,0.95,0.77963
280,5,0,0.35,2,0.05,0.10926
281,5,0,0.35,2,0.35,0.30449
282,5,0,0.35,2,0.65,0.94778
283,5,0,0.35,2,0.95,0.78095
284,5,0,0.35,3,0.05,0.11731
285,5,0,0.35,3,0.35,0.32859
286,5,0,0.35,3,0.65,0.95022
287,5,0,0.35,3,0.95,0.78261
288,5,0,0.65,0,0.05,0.45194
289,5,0,0.65,0,0.35,0.72339
290,5,0,0.65,0,0.65,0.92086
291,5,0,0.65,0,0.95,0.74755
292,5,0,0.65,1,0.05,0.43606
293,5,0,0.65,1,0.35,0.71065
294,5,0,0.65,1,0.65,0.91148
295,5,0,0.65,1,0.95,0.74087
296,5,0,0.65,2,0.05,0.41127
297,5,0,0.65,2,0.35,0.70227
298,5,0,0.65,2,0.65,0.92325
299,5,0,0.65,2,0.95,0.75105
300,5,0,0.65,3,0.05,0.46057
301,5,0,0.65,3,0.35,0.74057
302,5,0,0.65,3,0.65,0.93294
303,5,0,0.65,3,0.95,0.75935
304,5,0,0.95,0,0.05,0.07757
305,5,0,0.95,0,0.35,0.07842
306,5,0,0.95,0,0.65,0.07963
307,5,0,0.95,0,0.95,0.06181
308,5,0,0.95,1,0.05,0.07843
309,5,0,0.95,1,0.35,0.08077
310,5,0,0.95,1,0.65,0.08474
311,5,0,0.95,1,0.95,0.06181
312,5,0,0.95,2,0.05,0.07843
313,5,0,0.95,2,0.35,0.08077
314,5,0,0.95,2,0.65,0.08474
315,5,0,0.95,2,0.95,0.06181
316,5,0,0.95,3,0.05,0.12776
317,5,0,0.95,3,0.35,0.13431
318,5,0,0.95,3,0.65,0.14027
319,5,0,0.95,3,0.95,0.10572
320,5,1,0.05,0,0.05,0.32453
321,5,1,0.05,0,0.35,0.6066
322,5,1,0.05,0,0.65,0.9544
323,5,1,0.05,0,0.95,0.78195
324,5,1,0.05,1,0.05,0.24745
325,5,1,0.05,1,0.35,0.50968
326,5,1,0.05,1,0.65,0.95008
327,5,1,0.05,1,0.95,0.78261
328,5,1,0.05,2,0.05,0.22518
329,5,1,0.05,2,0.35,0.48763
330,5,1,0.05,2,0.65,0.9504
331,5,1,0.05,2,0.95,0.78327
332,5,1,0.05,3,0.05,0.23808
333,5,1,0.05,3,0.35,0.51588
334,5,1,0.05,3,0.65,0.95102
335,5,1,0.05,3,0.95,0.78327
336,5,1,0.35,0,0.05,0.74234
337,5,1,0.35,0,0.35,0.74646
338,5,1,0.35,0,0.65,0.74664
339,5,1,0.35,0,0.95,0.55443
340,5,1,0.35,1,0.05,0.70681
341,5,1,0.35,1,0.35,0.71323
342,5,1,0.35,1,0.65,0.71506
343,5,1,0.35,1,0.95,0.52422
344,5,1,0.35,2,0.05,0.75838
345,5,1,0.35,2,0.35,0.76764
346,5,1,0.35,2,0.65,0.76978
347,5,1,0.35,2,0.95,0.57528
348,5,1,0.35,3,0.05,0.90336
349,5,1,0.35,3,0.35,0.91091
350,5,1,0.35,3,0.65,0.91665
351,5,1,0.35,3,0.95,0.7255
352,5,1,0.65,0,0.05,0.33133
353,5,1,0.65,0,0.35,0.33133
354,5,1,0.65,0,0.65,0.32883
355,5,1,0.65,0,0.95,0.22364
356,5,1,0.65,1,0.05,0.33133
357,5,1,0.65,1,0.35,0.33133
358,5,1,0.65,1,0.65,0.32883
359,5,1,0.65,1,0.95,0.22364
360,5,1,0.65,2,0.05,0.38109
361,5,1,0.65,2,0.35,0.38109
362,5,1,0.65,2,0.65,0.37873
363,5,1,0.65,2,0.95,0.25978
364,5,1,0.65,3,0.05,0.65274
365,5,1,0.65,3,0.35,0.65274
366,5,1,0.65,3,0.65,0.65171
367,5,1,0.65,3,0.95,0.50989
368,5,1,0.95,0,0.05,0.06187
369,5,1,0.95,0,0.35,0.06187
370,5,1,0.95,0,0.65,0.06102
371,5,1,0.95,0,0.95,0.03621
372,5,1,0.95,1,0.05,0.06187
373,5,1,0.95,1,0.35,0.06187
374,5,1,0.95,1,0.65,0.06102
375,5,1,0.95,1,0.95,0.03621
376,5,1,0.95,2,0.05,0.07112
377,5,1,0.95,2,0.35,0.07112
378,5,1,0.95,2,0.65,0.07028
379,5,1,0.95,2,0.95,0.04397
380,5,1,0.95,3,0.05,0.13109
381,5,1,0.95,3,0.35,0.13109
382,5,1,0.95,3,0.65,0.1303
383,5,1,0.95,3,0.95,0.09262
