,init pf,init block clean threshold,init weighting schema,init matching threshold,search space size,param iterations,param f-score,proj iterations,proj f-score,profile iterations,profile f-score,grid search iterations,grid search f-score
354,1,0.05,3,0.3875,648,15,0.95604,17,0.95604,4,0.96247,24.0,0.96178
355,1,0.05,3,0.5,648,13,0.95604,16,0.95604,4,0.96247,24.0,0.96178
356,1,0.05,3,0.6125,648,15,0.95604,17,0.95604,5,0.96247,24.0,0.96178
357,1,0.05,3,0.725,648,1,0.95604,1,0.95604,2,0.96385,24.0,0.96178
358,1,0.05,3,0.8375,648,13,0.96385,18,0.96385,6,0.96247,24.0,0.96178
359,1,0.05,3,0.95,648,14,0.96385,19,0.96385,6,0.96247,24.0,0.96178
360,1,0.1625,0,0.05,648,27,0.96303,42,0.96303,8,0.96247,24.0,0.96178
361,1,0.1625,0,0.1625,648,19,0.96247,19,0.96247,6,0.96247,24.0,0.96178
362,1,0.1625,0,0.275,648,27,0.96303,42,0.96303,6,0.96247,24.0,0.96178
363,1,0.1625,0,0.3875,648,19,0.96247,19,0.96247,6,0.96247,24.0,0.96178
364,1,0.1625,0,0.5,648,15,0.95019,18,0.95019,6,0.96247,24.0,0.96178
365,1,0.1625,0,0.6125,648,14,0.96247,17,0.96247,8,0.96247,24.0,0.96178
366,1,0.1625,0,0.725,648,3,0.96247,3,0.96247,2,0.96247,24.0,0.96178
367,1,0.1625,0,0.8375,648,14,0.96385,19,0.96385,9,0.96247,24.0,0.96178
368,1,0.1625,0,0.95,648,12,0.96247,41,0.96303,8,0.96247,24.0,0.96178
369,1,0.1625,1,0.05,648,26,0.96303,34,0.96303,8,0.96247,24.0,0.96178
370,1,0.1625,1,0.1625,648,26,0.96303,35,0.96303,6,0.96247,24.0,0.96178
371,1,0.1625,1,0.275,648,27,0.96303,39,0.96303,6,0.96247,24.0,0.96178
372,1,0.1625,1,0.3875,648,21,0.96247,21,0.96247,6,0.96247,24.0,0.96178
373,1,0.1625,1,0.5,648,15,0.96253,18,0.96253,7,0.96247,24.0,0.96178
374,1,0.1625,1,0.6125,648,15,0.96253,18,0.96253,7,0.96247,24.0,0.96178
375,1,0.1625,1,0.725,648,3,0.96303,3,0.96303,3,0.96303,24.0,0.96178
376,1,0.1625,1,0.8375,648,14,0.96385,19,0.96385,10,0.96247,24.0,0.96178
377,1,0.1625,1,0.95,648,26,0.96303,34,0.96303,9,0.96247,24.0,0.96178
378,1,0.1625,2,0.05,648,14,0.95572,17,0.95572,8,0.96247,24.0,0.96178
379,1,0.1625,2,0.1625,648,15,0.95572,17,0.95572,5,0.96247,24.0,0.96178
380,1,0.1625,2,0.275,648,14,0.95572,17,0.95572,5,0.96247,24.0,0.96178
381,1,0.1625,2,0.3875,648,15,0.95572,17,0.95572,5,0.96247,24.0,0.96178
382,1,0.1625,2,0.5,648,14,0.95572,17,0.95572,5,0.96247,24.0,0.96178
383,1,0.1625,2,0.6125,648,15,0.95572,17,0.95572,7,0.96247,24.0,0.96178
384,1,0.1625,2,0.725,648,1,0.95572,1,0.95572,3,0.96385,24.0,0.96178
385,1,0.1625,2,0.8375,648,14,0.96385,19,0.96385,10,0.96247,24.0,0.96178
386,1,0.1625,2,0.95,648,14,0.95572,18,0.95572,9,0.96247,24.0,0.96178
387,1,0.1625,3,0.05,648,25,0.96303,40,0.96303,5,0.96247,24.0,0.96178
388,1,0.1625,3,0.1625,648,26,0.96303,41,0.96303,5,0.96247,24.0,0.96178
389,1,0.1625,3,0.275,648,25,0.96303,40,0.96303,5,0.96247,24.0,0.96178
390,1,0.1625,3,0.3875,648,15,0.95604,17,0.95604,4,0.96247,24.0,0.96178
391,1,0.1625,3,0.5,648,13,0.95604,16,0.95604,4,0.96247,24.0,0.96178
392,1,0.1625,3,0.6125,648,15,0.95604,17,0.95604,5,0.96247,24.0,0.96178
393,1,0.1625,3,0.725,648,1,0.95604,1,0.95604,2,0.96385,24.0,0.96178
394,1,0.1625,3,0.8375,648,13,0.96385,18,0.96385,6,0.96247,24.0,0.96178
395,1,0.1625,3,0.95,648,14,0.96385,19,0.96385,6,0.96247,24.0,0.96178
396,1,0.275,0,0.05,648,27,0.96303,41,0.96303,7,0.96247,24.0,0.96178
397,1,0.275,0,0.1625,648,19,0.96247,19,0.96247,6,0.96247,24.0,0.96178
398,1,0.275,0,0.275,648,27,0.96303,42,0.96303,6,0.96247,24.0,0.96178
399,1,0.275,0,0.3875,648,19,0.96247,19,0.96247,6,0.96247,24.0,0.96178
400,1,0.275,0,0.5,648,15,0.95019,18,0.95019,6,0.96247,24.0,0.96178
401,1,0.275,0,0.6125,648,14,0.96247,17,0.96247,8,0.96247,24.0,0.96178
402,1,0.275,0,0.725,648,3,0.96247,3,0.96247,2,0.96247,24.0,0.96178
403,1,0.275,0,0.8375,648,14,0.96385,19,0.96385,9,0.96247,24.0,0.96178
404,1,0.275,0,0.95,648,12,0.96247,41,0.96303,8,0.96247,24.0,0.96178
405,1,0.275,1,0.05,648,26,0.96303,34,0.96303,8,0.96247,24.0,0.96178
406,1,0.275,1,0.1625,648,26,0.96303,35,0.96303,6,0.96247,24.0,0.96178
407,1,0.275,1,0.275,648,27,0.96303,39,0.96303,6,0.96247,24.0,0.96178
408,1,0.275,1,0.3875,648,21,0.96247,21,0.96247,6,0.96247,24.0,0.96178
409,1,0.275,1,0.5,648,15,0.96253,18,0.96253,7,0.96247,24.0,0.96178
410,1,0.275,1,0.6125,648,15,0.96253,18,0.96253,7,0.96247,24.0,0.96178
411,1,0.275,1,0.725,648,3,0.96303,3,0.96303,3,0.96303,24.0,0.96178
412,1,0.275,1,0.8375,648,14,0.96385,19,0.96385,10,0.96247,24.0,0.96178
413,1,0.275,1,0.95,648,26,0.96303,34,0.96303,9,0.96247,24.0,0.96178
414,1,0.275,2,0.05,648,14,0.95572,17,0.95572,8,0.96247,24.0,0.96178
415,1,0.275,2,0.1625,648,15,0.95572,17,0.95572,5,0.96247,24.0,0.96178
