,init pf,init block clean threshold,init weighting schema,init matching threshold,f-score goal,rank iterations,rank f-score,grid search iterations,grid search f-score
125,1,0.275,1,0.05,0.8,3,0.98611,2.0,0.91888
126,1,0.275,1,0.275,0.8,1,0.87681,2.0,0.91888
127,1,0.275,1,0.5,0.8,1,0.95474,2.0,0.91888
128,1,0.275,1,0.725,0.8,1,0.97953,2.0,0.91888
129,1,0.275,1,0.95,0.8,3,0.98611,2.0,0.91888
130,1,0.275,2,0.05,0.8,3,0.98611,2.0,0.91888
131,1,0.275,2,0.275,0.8,1,0.85914,2.0,0.91888
132,1,0.275,2,0.5,0.8,1,0.95096,2.0,0.91888
133,1,0.275,2,0.725,0.8,1,0.97883,2.0,0.91888
134,1,0.275,2,0.95,0.8,3,0.98611,2.0,0.91888
135,1,0.275,3,0.05,0.8,3,0.98611,2.0,0.91888
136,1,0.275,3,0.275,0.8,3,0.98611,2.0,0.91888
137,1,0.275,3,0.5,0.8,1,0.945,2.0,0.91888
138,1,0.275,3,0.725,0.8,1,0.97411,2.0,0.91888
139,1,0.275,3,0.95,0.8,3,0.98611,2.0,0.91888
140,1,0.5,0,0.05,0.8,2,0.83033,2.0,0.91888
141,1,0.5,0,0.275,0.8,2,0.90168,2.0,0.91888
142,1,0.5,0,0.5,0.8,2,0.97065,2.0,0.91888
143,1,0.5,0,0.725,0.8,2,0.98597,2.0,0.91888
144,1,0.5,0,0.95,0.8,2,0.81318,2.0,0.91888
145,1,0.5,1,0.05,0.8,1,0.88883,2.0,0.91888
146,1,0.5,1,0.275,0.8,1,0.91919,2.0,0.91888
147,1,0.5,1,0.5,0.8,1,0.97357,2.0,0.91888
148,1,0.5,1,0.725,0.8,1,0.98611,2.0,0.91888
149,1,0.5,1,0.95,0.8,1,0.81846,2.0,0.91888
150,1,0.5,2,0.05,0.8,1,0.88758,2.0,0.91888
151,1,0.5,2,0.275,0.8,1,0.91856,2.0,0.91888
152,1,0.5,2,0.5,0.8,1,0.97319,2.0,0.91888
153,1,0.5,2,0.725,0.8,1,0.98577,2.0,0.91888
154,1,0.5,2,0.95,0.8,1,0.8175,2.0,0.91888
155,1,0.5,3,0.05,0.8,1,0.83033,2.0,0.91888
156,1,0.5,3,0.275,0.8,1,0.90168,2.0,0.91888
