,init pf,init block clean threshold,init weighting schema,init matching threshold,f-score goal,rank iterations,rank f-score,grid search iterations,grid search f-score
158,0,0.56429,3,0.82143,0.8,1,0.95766,2.0,0.94438
159,0,0.56429,3,0.95,0.8,1,0.80504,2.0,0.94438
160,0,0.69286,0,0.05,0.8,13,0.8654,2.0,0.94438
161,0,0.69286,0,0.17857,0.8,1,0.8654,2.0,0.94438
162,0,0.69286,0,0.30714,0.8,1,0.88136,2.0,0.94438
163,0,0.69286,0,0.43571,0.8,1,0.95156,2.0,0.94438
164,0,0.69286,0,0.56429,0.8,1,0.96714,2.0,0.94438
165,0,0.69286,0,0.69286,0.8,1,0.98428,2.0,0.94438
166,0,0.69286,0,0.82143,0.8,1,0.95785,2.0,0.94438
167,0,0.69286,0,0.95,0.8,1,0.80673,2.0,0.94438
168,0,0.69286,1,0.05,0.8,6,0.88954,2.0,0.94438
169,0,0.69286,1,0.17857,0.8,5,0.85255,2.0,0.94438
170,0,0.69286,1,0.30714,0.8,1,0.80054,2.0,0.94438
171,0,0.69286,1,0.43571,0.8,1,0.92609,2.0,0.94438
172,0,0.69286,1,0.56429,0.8,1,0.95596,2.0,0.94438
173,0,0.69286,1,0.69286,0.8,1,0.97063,2.0,0.94438
174,0,0.69286,1,0.82143,0.8,1,0.95766,2.0,0.94438
175,0,0.69286,1,0.95,0.8,1,0.80504,2.0,0.94438
176,0,0.69286,2,0.05,0.8,6,0.88807,2.0,0.94438
177,0,0.69286,2,0.17857,0.8,5,0.83558,2.0,0.94438
178,0,0.69286,2,0.30714,0.8,1,0.80054,2.0,0.94438
179,0,0.69286,2,0.43571,0.8,1,0.92609,2.0,0.94438
180,0,0.69286,2,0.56429,0.8,1,0.95596,2.0,0.94438
181,0,0.69286,2,0.69286,0.8,1,0.97063,2.0,0.94438
182,0,0.69286,2,0.82143,0.8,1,0.95766,2.0,0.94438
183,0,0.69286,2,0.95,0.8,1,0.80504,2.0,0.94438
184,0,0.69286,3,0.05,0.8,6,0.82628,2.0,0.94438
185,0,0.69286,3,0.17857,0.8,6,0.88974,2.0,0.94438
186,0,0.69286,3,0.30714,0.8,1,0.80054,2.0,0.94438
187,0,0.69286,3,0.43571,0.8,1,0.92609,2.0,0.94438
188,0,0.69286,3,0.56429,0.8,1,0.95596,2.0,0.94438
189,0,0.69286,3,0.69286,0.8,1,0.97063,2.0,0.94438
190,0,0.69286,3,0.82143,0.8,1,0.95766,2.0,0.94438
191,0,0.69286,3,0.95,0.8,1,0.80504,2.0,0.94438
192,0,0.82143,0,0.05,0.8,13,0.8654,2.0,0.94438
193,0,0.82143,0,0.17857,0.8,1,0.8654,2.0,0.94438
194,0,0.82143,0,0.30714,0.8,1,0.88136,2.0,0.94438
195,0,0.82143,0,0.43571,0.8,1,0.95156,2.0,0.94438
196,0,0.82143,0,0.56429,0.8,1,0.96714,2.0,0.94438
197,0,0.82143,0,0.69286,0.8,1,0.98428,2.0,0.94438
198,0,0.82143,0,0.82143,0.8,1,0.95785,2.0,0.94438
199,0,0.82143,0,0.95,0.8,1,0.80673,2.0,0.94438
200,0,0.82143,1,0.05,0.8,6,0.88954,2.0,0.94438
201,0,0.82143,1,0.17857,0.8,5,0.85255,2.0,0.94438
202,0,0.82143,1,0.30714,0.8,1,0.80054,2.0,0.94438
203,0,0.82143,1,0.43571,0.8,1,0.92609,2.0,0.94438
204,0,0.82143,1,0.56429,0.8,1,0.95596,2.0,0.94438
205,0,0.82143,1,0.69286,0.8,1,0.97063,2.0,0.94438
206,0,0.82143,1,0.82143,0.8,1,0.95766,2.0,0.94438
207,0,0.82143,1,0.95,0.8,1,0.80504,2.0,0.94438
208,0,0.82143,2,0.05,0.8,6,0.88807,2.0,0.94438
209,0,0.82143,2,0.17857,0.8,5,0.83558,2.0,0.94438
210,0,0.82143,2,0.30714,0.8,1,0.80054,2.0,0.94438
211,0,0.82143,2,0.43571,0.8,1,0.92609,2.0,0.94438
212,0,0.82143,2,0.56429,0.8,1,0.95596,2.0,0.94438
213,0,0.82143,2,0.69286,0.8,1,0.97063,2.0,0.94438
214,0,0.82143,2,0.82143,0.8,1,0.95766,2.0,0.94438
215,0,0.82143,2,0.95,0.8,1,0.80504,2.0,0.94438
216,0,0.82143,3,0.05,0.8,6,0.82628,2.0,0.94438
217,0,0.82143,3,0.17857,0.8,6,0.88974,2.0,0.94438
218,0,0.82143,3,0.30714,0.8,1,0.80054,2.0,0.94438
219,0,0.82143,3,0.43571,0.8,1,0.92609,2.0,0.94438
220,0,0.82143,3,0.56429,0.8,1,0.95596,2.0,0.94438
221,0,0.82143,3,0.69286,0.8,1,0.97063,2.0,0.94438
222,0,0.82143,3,0.82143,0.8,1,0.95766,2.0,0.94438
223,0,0.82143,3,0.95,0.8,1,0.80504,2.0,0.94438
224,0,0.95,0,0.05,0.8,13,0.8654,2.0,0.94438
