,q size,pf,block clean threshold,weighting schema,matching threshold,stop count,av sim,sim q1,sim q2,sim q3,sample f-score,f-score
89,0,1,0.35,2,0.35,439,0.97174,1.0,1.0,1.0,0.55657,0.3912
90,0,1,0.35,2,0.65,439,0.97174,1.0,1.0,1.0,0.50633,0.38843
91,0,1,0.35,2,0.95,439,0.97174,1.0,1.0,1.0,0.0,0.27396
92,0,1,0.35,3,0.05,818,0.99143,1.0,1.0,1.0,0.87082,0.71593
93,0,1,0.35,3,0.35,818,0.99143,1.0,1.0,1.0,0.87082,0.71675
94,0,1,0.35,3,0.65,818,0.99143,1.0,1.0,1.0,0.85437,0.71511
95,0,1,0.35,3,0.95,818,0.99143,1.0,1.0,1.0,0.0,0.55302
96,0,1,0.65,0,0.05,231,0.98324,1.0,1.0,1.0,0.33215,0.23192
97,0,1,0.65,0,0.35,231,0.98324,1.0,1.0,1.0,0.33215,0.23192
98,0,1,0.65,0,0.65,231,0.98324,1.0,1.0,1.0,0.30824,0.22921
99,0,1,0.65,0,0.95,231,0.98324,1.0,1.0,1.0,0.0,0.15512
100,0,1,0.65,1,0.05,231,0.98324,1.0,1.0,1.0,0.33215,0.23192
101,0,1,0.65,1,0.35,231,0.98324,1.0,1.0,1.0,0.33215,0.23192
102,0,1,0.65,1,0.65,231,0.98324,1.0,1.0,1.0,0.30824,0.22921
103,0,1,0.65,1,0.95,231,0.98324,1.0,1.0,1.0,0.0,0.15512
104,0,1,0.65,2,0.05,231,0.98324,1.0,1.0,1.0,0.33215,0.23192
105,0,1,0.65,2,0.35,231,0.98324,1.0,1.0,1.0,0.33215,0.23192
106,0,1,0.65,2,0.65,231,0.98324,1.0,1.0,1.0,0.30824,0.22921
107,0,1,0.65,2,0.95,231,0.98324,1.0,1.0,1.0,0.0,0.15512
108,0,1,0.65,3,0.05,507,0.99016,1.0,1.0,1.0,0.64368,0.4722
109,0,1,0.65,3,0.35,507,0.99016,1.0,1.0,1.0,0.64368,0.4722
110,0,1,0.65,3,0.65,507,0.99016,1.0,1.0,1.0,0.62791,0.46957
111,0,1,0.65,3,0.95,507,0.99016,1.0,1.0,1.0,0.0,0.33844
112,0,1,0.95,0,0.05,34,0.96,1.0,1.0,1.0,0.0415,0.04311
113,0,1,0.95,0,0.35,34,0.96,1.0,1.0,1.0,0.0415,0.04311
114,0,1,0.95,0,0.65,34,0.96,1.0,1.0,1.0,0.03333,0.04225
115,0,1,0.95,0,0.95,34,0.96,1.0,1.0,1.0,0.0,0.02487
116,0,1,0.95,1,0.05,34,0.96,1.0,1.0,1.0,0.0415,0.04311
117,0,1,0.95,1,0.35,34,0.96,1.0,1.0,1.0,0.0415,0.04311
118,0,1,0.95,1,0.65,34,0.96,1.0,1.0,1.0,0.03333,0.04225
