,pf,block clean threshold,weighting schema,matching threshold,stop count,av sim,sim q1,sim q2,sim q3,sample f-score,f-score
167,0,0.5,2,0.6125,1048,0.85426,1.0,1.0,1.0,0.81592,0.94563
168,0,0.5,2,0.725,1048,0.85426,1.0,1.0,1.0,0.0,0.95585
169,0,0.5,2,0.8375,1048,0.85426,1.0,1.0,1.0,0.0,0.91869
170,0,0.5,2,0.95,1048,0.85426,1.0,1.0,1.0,0.0,0.77596
171,0,0.5,3,0.05,1280,0.70764,0.23077,1.0,1.0,0.76659,0.26351
172,0,0.5,3,0.1625,1280,0.70764,0.23077,1.0,1.0,0.8384,0.53417
173,0,0.5,3,0.275,1280,0.70764,0.23077,1.0,1.0,0.84633,0.56824
174,0,0.5,3,0.3875,1280,0.70764,0.23077,1.0,1.0,0.85646,0.71999
175,0,0.5,3,0.5,1280,0.70764,0.23077,1.0,1.0,0.85851,0.92082
176,0,0.5,3,0.6125,1280,0.70764,0.23077,1.0,1.0,0.83619,0.94549
177,0,0.5,3,0.725,1280,0.70764,0.23077,1.0,1.0,0.0,0.95613
178,0,0.5,3,0.8375,1280,0.70764,0.23077,1.0,1.0,0.0,0.9192
179,0,0.5,3,0.95,1280,0.70764,0.23077,1.0,1.0,0.0,0.77596
180,0,0.6125,0,0.05,223,0.96546,1.0,1.0,1.0,0.25455,0.50375
181,0,0.6125,0,0.1625,223,0.96546,1.0,1.0,1.0,0.25455,0.68763
182,0,0.6125,0,0.275,223,0.96546,1.0,1.0,1.0,0.25642,0.7094
183,0,0.6125,0,0.3875,223,0.96546,1.0,1.0,1.0,0.25642,0.8
184,0,0.6125,0,0.5,223,0.96546,1.0,1.0,1.0,0.25642,0.85728
185,0,0.6125,0,0.6125,223,0.96546,1.0,1.0,1.0,0.25,0.86903
186,0,0.6125,0,0.725,223,0.96546,1.0,1.0,1.0,0.0,0.87275
187,0,0.6125,0,0.8375,223,0.96546,1.0,1.0,1.0,0.0,0.8336
188,0,0.6125,0,0.95,223,0.96546,1.0,1.0,1.0,0.0,0.69557
189,0,0.6125,1,0.05,223,0.96546,1.0,1.0,1.0,0.25455,0.64804
190,0,0.6125,1,0.1625,223,0.96546,1.0,1.0,1.0,0.25455,0.72145
191,0,0.6125,1,0.275,223,0.96546,1.0,1.0,1.0,0.25642,0.73982
192,0,0.6125,1,0.3875,223,0.96546,1.0,1.0,1.0,0.25642,0.7586
193,0,0.6125,1,0.5,223,0.96546,1.0,1.0,1.0,0.25642,0.79448
194,0,0.6125,1,0.6125,223,0.96546,1.0,1.0,1.0,0.25,0.80529
195,0,0.6125,1,0.725,223,0.96546,1.0,1.0,1.0,0.0,0.80592
196,0,0.6125,1,0.8375,223,0.96546,1.0,1.0,1.0,0.0,0.76711
197,0,0.6125,1,0.95,223,0.96546,1.0,1.0,1.0,0.0,0.63894
198,0,0.6125,2,0.05,550,0.83794,1.0,1.0,1.0,0.49552,0.59472
199,0,0.6125,2,0.1625,550,0.83794,1.0,1.0,1.0,0.50455,0.74435
200,0,0.6125,2,0.275,550,0.83794,1.0,1.0,1.0,0.50764,0.78007
201,0,0.6125,2,0.3875,550,0.83794,1.0,1.0,1.0,0.51393,0.82732
202,0,0.6125,2,0.5,550,0.83794,1.0,1.0,1.0,0.51713,0.891
203,0,0.6125,2,0.6125,550,0.83794,1.0,1.0,1.0,0.50784,0.90759
204,0,0.6125,2,0.725,550,0.83794,1.0,1.0,1.0,0.0,0.90935
205,0,0.6125,2,0.8375,550,0.83794,1.0,1.0,1.0,0.0,0.87141
206,0,0.6125,2,0.95,550,0.83794,1.0,1.0,1.0,0.0,0.73558
207,0,0.6125,3,0.05,543,0.83639,1.0,1.0,1.0,0.49102,0.5374
208,0,0.6125,3,0.1625,543,0.83639,1.0,1.0,1.0,0.5,0.72038
209,0,0.6125,3,0.275,543,0.83639,1.0,1.0,1.0,0.50307,0.75825
210,0,0.6125,3,0.3875,543,0.83639,1.0,1.0,1.0,0.50932,0.82162
211,0,0.6125,3,0.5,543,0.83639,1.0,1.0,1.0,0.5125,0.89366
212,0,0.6125,3,0.6125,543,0.83639,1.0,1.0,1.0,0.50314,0.91119
213,0,0.6125,3,0.725,543,0.83639,1.0,1.0,1.0,0.0,0.91947
