,q-gram size,blocking threshold,match threshold,precision,recall,f-score,acc
143,5,0.25,0.71,0.98228,0.92221,0.9513,0.98117
144,4,0.25,0.72,0.98289,0.90423,0.94192,0.98896
145,5,0.25,0.72,0.98411,0.91906,0.95047,0.9809
146,4,0.25,0.73,0.98576,0.90243,0.94226,0.98905
147,5,0.25,0.73,0.98646,0.91727,0.95061,0.98099
148,4,0.25,0.74,0.98669,0.90018,0.94145,0.98892
149,5,0.25,0.74,0.98738,0.91502,0.94982,0.98072
150,4,0.25,0.75,0.98811,0.89703,0.94037,0.98874
151,5,0.25,0.75,0.98879,0.91187,0.94877,0.98036
152,4,0.25,0.76,0.98951,0.89029,0.93728,0.9882
153,5,0.25,0.76,0.98968,0.90513,0.94552,0.9792
154,4,0.25,0.77,0.99047,0.88759,0.93621,0.98802
155,5,0.25,0.77,0.99062,0.90243,0.94447,0.97884
156,4,0.25,0.78,0.99283,0.8714,0.92816,0.98664
157,5,0.25,0.78,0.99195,0.88669,0.93637,0.97597
158,4,0.25,0.79,0.99278,0.86601,0.92507,0.98611
159,5,0.25,0.79,0.99189,0.8804,0.93283,0.97472
160,4,0.25,0.8,0.99375,0.85836,0.92111,0.98544
161,5,0.25,0.8,0.99284,0.8723,0.92867,0.97328
162,4,0.25,0.81,0.99422,0.85027,0.91663,0.98469
163,5,0.25,0.81,0.99328,0.86421,0.92426,0.97176
164,4,0.25,0.82,0.99418,0.84442,0.9132,0.98411
165,5,0.25,0.82,0.99323,0.85791,0.92062,0.9705
166,4,0.25,0.83,0.99415,0.84038,0.91082,0.98371
167,5,0.25,0.83,0.9932,0.85387,0.91828,0.96969
168,4,0.25,0.84,0.99398,0.8161,0.8963,0.9813
169,5,0.25,0.84,0.99301,0.83049,0.90451,0.96503
170,4,0.25,0.85,0.99393,0.81025,0.89274,0.98072
171,5,0.25,0.85,0.99297,0.82509,0.90128,0.96396
172,4,0.25,0.86,0.99551,0.79766,0.88567,0.97961
173,5,0.25,0.86,0.99449,0.81115,0.89351,0.96145
174,4,0.25,0.87,0.99538,0.77563,0.87187,0.97743
175,5,0.25,0.87,0.99433,0.78867,0.87964,0.95696
176,4,0.25,0.88,0.99588,0.76169,0.86318,0.97609
177,5,0.25,0.88,0.99595,0.77473,0.87152,0.95445
178,4,0.25,0.89,0.99573,0.73336,0.84464,0.97329
179,5,0.25,0.89,0.9958,0.7464,0.85325,0.9488
180,4,0.25,0.9,0.99571,0.72977,0.84225,0.97293
181,5,0.25,0.9,0.99578,0.74281,0.85089,0.94809
182,4,0.25,0.91,0.99552,0.69874,0.82114,0.96986
183,5,0.25,0.91,0.99559,0.71088,0.82948,0.94172
184,4,0.25,0.92,0.99536,0.67536,0.80471,0.96755
185,5,0.25,0.92,0.99545,0.6884,0.81393,0.93724
186,4,0.25,0.93,0.99657,0.65378,0.78957,0.9655
187,5,0.25,0.93,0.99664,0.66682,0.79903,0.93311
188,4,0.25,0.94,0.99782,0.61736,0.76278,0.96198
189,5,0.25,0.94,0.99786,0.6304,0.77267,0.92603
190,4,0.25,0.95,0.9985,0.59802,0.74803,0.96011
191,5,0.25,0.95,0.99853,0.61106,0.75816,0.92226
192,4,0.25,0.96,0.99843,0.57239,0.72763,0.95757
193,5,0.25,0.96,0.99847,0.58588,0.73845,0.91724
194,4,0.25,0.97,0.99836,0.54901,0.70844,0.95526
195,5,0.25,0.97,0.99841,0.56295,0.71996,0.91267
196,4,0.25,0.98,0.99833,0.53912,0.70015,0.95428
197,5,0.25,0.98,0.99838,0.55306,0.71181,0.9107
198,4,0.25,0.99,0.99833,0.53777,0.69901,0.95415
199,5,0.25,0.99,0.99837,0.55171,0.71069,0.91043
200,4,0.3,0.0,0.14903,0.8804,0.25491,0.14608
201,5,0.3,0.0,0.30025,0.91547,0.45219,0.29215
202,4,0.3,0.01,0.206,0.8804,0.33388,0.41711
203,5,0.3,0.01,0.3652,0.91547,0.52212,0.4652
204,4,0.3,0.02,0.24968,0.8804,0.38903,0.54118
205,5,0.3,0.02,0.41273,0.91547,0.56895,0.55733
206,4,0.3,0.03,0.31001,0.8804,0.45855,0.65503
207,5,0.3,0.03,0.47659,0.91547,0.62685,0.65217
208,4,0.3,0.04,0.36421,0.8804,0.51526,0.72516
209,5,0.3,0.04,0.53509,0.91547,0.67541,0.71918
210,4,0.3,0.05,0.41005,0.8804,0.55951,0.76999
211,5,0.3,0.05,0.5859,0.91547,0.71451,0.76654
212,4,0.3,0.06,0.44379,0.8804,0.59012,0.79708
213,5,0.3,0.06,0.62092,0.91547,0.73996,0.79466
