,pf,block clean threshold,weighting schema,matching threshold,f-score
264,1,0.05,1,0.05,0.75143
265,1,0.05,1,0.17857,0.87794
266,1,0.05,1,0.30714,0.895
267,1,0.05,1,0.43571,0.95356
268,1,0.05,1,0.56429,0.97928
269,1,0.05,1,0.69286,0.99307
270,1,0.05,1,0.82143,0.95238
271,1,0.05,1,0.95,0.74208
272,1,0.05,2,0.05,0.0
273,1,0.05,2,0.17857,0.0
274,1,0.05,2,0.30714,0.0
275,1,0.05,2,0.43571,0.0
276,1,0.05,2,0.56429,0.0
277,1,0.05,2,0.69286,0.0
278,1,0.05,2,0.82143,0.0
279,1,0.05,2,0.95,0.0
280,1,0.05,3,0.05,0.0
281,1,0.05,3,0.17857,0.0
282,1,0.05,3,0.30714,0.0
283,1,0.05,3,0.43571,0.0
284,1,0.05,3,0.56429,0.0
285,1,0.05,3,0.69286,0.0
286,1,0.05,3,0.82143,0.0
287,1,0.05,3,0.95,0.0
288,1,0.17857,0,0.05,0.0
289,1,0.17857,0,0.17857,0.0
290,1,0.17857,0,0.30714,0.0
291,1,0.17857,0,0.43571,0.0
292,1,0.17857,0,0.56429,0.0
293,1,0.17857,0,0.69286,0.0
294,1,0.17857,0,0.82143,0.0
295,1,0.17857,0,0.95,0.0
296,1,0.17857,1,0.05,0.0
297,1,0.17857,1,0.17857,0.0
298,1,0.17857,1,0.30714,0.0
299,1,0.17857,1,0.43571,0.0
300,1,0.17857,1,0.56429,0.0
301,1,0.17857,1,0.69286,0.0
302,1,0.17857,1,0.82143,0.0
303,1,0.17857,1,0.95,0.0
304,1,0.17857,2,0.05,0.0
305,1,0.17857,2,0.17857,0.0
306,1,0.17857,2,0.30714,0.0
307,1,0.17857,2,0.43571,0.0
308,1,0.17857,2,0.56429,0.0
309,1,0.17857,2,0.69286,0.0
310,1,0.17857,2,0.82143,0.0
311,1,0.17857,2,0.95,0.0
312,1,0.17857,3,0.05,0.0
313,1,0.17857,3,0.17857,0.0
314,1,0.17857,3,0.30714,0.0
315,1,0.17857,3,0.43571,0.0
316,1,0.17857,3,0.56429,0.0
317,1,0.17857,3,0.69286,0.0
318,1,0.17857,3,0.82143,0.0
319,1,0.17857,3,0.95,0.0
320,1,0.30714,0,0.05,0.0
321,1,0.30714,0,0.17857,0.0
