sampling,invalid_value,missing_value,floating_point,unit_converter,normalization,outlier,punctuation,stopword,lowercase,whitespace,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,class_imbalance_ratio,corr_race,ot_race,corr_gender,ot_gender,corr_loan_type,ot_loan_type,corr_applicant_age,ot_applicant_age,corr_lien_status,ot_lien_status,corr_LV,ot_LV,corr_DI,ot_DI,corr_income_brackets,ot_income_brackets,utility_accuracy_score
2.0,3.0,5.0,3.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,0.1761658031088082,0.1761658031088082,14.4,288.1,0.4,886.98,0.37,512.18,0.46,203.6,0.32,2203.2,1.0,237.2,0.54,512.18,0.78,82.75,0.23,0.1883116883116883
1.0,3.0,1.0,1.0,1.0,5.0,5.0,2.0,1.0,1.0,2.0,1.0,0.2179930795847751,0.2179930795847751,9.744186046511627,3596.88,0.13,161.37,1.0,598.74,0.35,2.84,0.38,3597.05,0.02,3.55,0.18,598.73,0.4,2570.52,0.12,0.1168831168831169
2.0,3.0,9.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,0.1761658031088082,0.1761658031088082,14.4,1.87,0.16,880.02,0.36,515.82,0.38,197.71,0.33,2200.64,0.01,248.79,0.36,515.82,0.36,82.68,0.23,0.1493506493506493
2.0,1.0,9.0,1.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,0.1761658031088082,0.1761658031088082,14.4,476.46,0.18,45.0,0.36,256.99,0.42,2201.63,0.33,476.45,0.01,2184.48,0.36,256.99,0.36,2202.14,0.23,0.1493506493506493
2.0,4.0,5.0,1.0,1.0,5.0,5.0,2.0,2.0,1.0,2.0,1.0,0.3005181347150259,0.3056994818652849,14.4,2203.09,0.24,50.3,0.38,288.15,0.36,186.51,0.34,2203.2,1.0,114.69,0.18,288.15,0.2,198.9,0.19,0.2272727272727273
2.0,1.0,3.0,1.0,2.0,4.0,8.0,2.0,1.0,1.0,1.0,1.0,0.1761658031088082,0.1761658031088082,16.11111111111111,542.14,0.27,49.75,0.36,308.73,0.38,2463.12,0.36,542.12,1.0,2444.8,0.39,308.72,0.16,2463.82,0.22,0.1688311688311687
2.0,4.0,3.0,3.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,0.3056994818652849,0.3056994818652849,14.0,12.79,0.37,46.34,0.34,513.76,0.34,210.23,0.35,12.79,0.0,774.52,0.36,513.76,0.21,578.76,0.17,0.1055555555555555
2.0,2.0,3.0,3.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,0.3056994818652849,0.3056994818652849,14.0,254.45,0.37,1012.07,0.34,555.95,0.36,210.23,0.35,2506.0,0.0,679.5,0.36,555.95,0.21,88.01,0.17,0.1055555555555555
2.0,3.0,9.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,0.1761658031088082,0.1761658031088082,14.4,1.87,0.16,880.02,0.36,515.82,0.38,197.71,0.33,2200.64,0.01,248.79,0.36,515.82,0.36,82.68,0.23,0.1493506493506493
2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,0.2642487046632124,0.2642487046632124,15.3,3275.0,0.25,131.55,0.35,147.07,0.33,112.74,0.39,3274.99,1.0,143.95,0.37,147.07,0.2,138.51,0.24,0.1595092024539877
