sampling,invalid_value,missing_value,floating_point,unit_converter,distribution_shape,multicollinearity,normalization,outlier,punctuation,stopword,lowercase,whitespace,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,class_imbalance_ratio,corr_race,ot_race,corr_gender,ot_gender,corr_loan_type,ot_loan_type,corr_applicant_age,ot_applicant_age,corr_lien_status,ot_lien_status,corr_LV,ot_LV,corr_DI,ot_DI,corr_income_brackets,ot_income_brackets,utility_accuracy_score
2.0,3.0,6.0,3.0,1.0,2.0,1.0,1.0,7.0,1.0,1.0,2.0,2.0,1.0,0.2227979274611398,0.2227979274611398,10.846153846153848,5935.54,0.29,205.55,1.0,2961.61,0.23,4465.33,0.36,2522.62,0.1,5935.57,0.29,2961.6,0.23,29.9,0.18,0.1688311688311687
1.0,1.0,4.0,1.0,2.0,2.0,1.0,3.0,8.0,1.0,2.0,2.0,2.0,1.0,0.2223950233281493,0.2161741835147745,8.69811320754717,35.21,0.38,2729.13,1.0,5.07,0.22,7.09,0.34,643.8,0.02,35.21,0.25,5.07,0.12,224.48,0.25,0.1070038910505836
2.0,1.0,2.0,3.0,1.0,1.0,1.0,5.0,2.0,1.0,2.0,1.0,2.0,1.0,0.2020725388601036,0.2279792746113989,14.4,10.62,0.27,36.87,0.32,10.5,0.34,5.6,0.32,8.78,0.11,10.62,0.27,10.5,0.34,192.68,0.2,0.1948051948051947
2.0,1.0,8.0,3.0,1.0,2.0,1.0,5.0,5.0,1.0,1.0,2.0,1.0,1.0,0.2176165803108808,0.2176165803108808,14.5,2.7,0.34,48.35,0.37,0.42,0.26,0.06,0.36,1.73,0.06,2.7,0.34,0.42,0.26,84.15,0.23,0.2193548387096774
2.0,3.0,9.0,2.0,2.0,3.0,1.0,2.0,8.0,1.0,1.0,2.0,2.0,1.0,0.2124352331606217,0.2072538860103626,10.0,221.69,0.3,155.63,1.0,126.83,0.23,166.19,0.34,121.67,0.12,221.69,0.36,126.83,0.23,115.75,0.17,0.2337662337662337
1.0,4.0,2.0,1.0,2.0,2.0,1.0,3.0,5.0,1.0,2.0,2.0,1.0,1.0,0.3063763608087091,0.301710730948678,9.936170212765957,2716.85,0.4,2745.84,1.0,27.36,0.28,597.13,0.34,5004.63,0.11,30.69,0.25,644.4,0.51,281.19,0.25,0.103112840466926
1.0,2.0,2.0,3.0,1.0,2.0,1.0,4.0,5.0,2.0,1.0,1.0,2.0,1.0,0.3125972006220839,0.3110419906687403,10.953488372093023,108.94,0.37,161.05,1.0,8.1,0.16,623.5,0.36,537.81,0.11,2.93,0.37,195.19,0.51,210.95,0.23,0.1011673151750972
2.0,3.0,6.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,0.233160621761658,0.2279792746113989,14.4,1332.19,0.27,113.16,0.32,1118.75,0.44,1196.98,0.33,268.12,0.1,1332.19,0.31,1118.75,0.33,149.72,0.2,0.2142857142857143
2.0,1.0,2.0,3.0,1.0,2.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,0.233160621761658,0.233160621761658,14.4,10.62,0.26,35.34,0.32,10.61,0.34,3.96,0.34,10.39,0.12,10.62,0.26,10.61,0.34,71.25,0.19,0.1493506493506493
2.0,2.0,3.0,2.0,2.0,1.0,1.0,5.0,2.0,2.0,2.0,1.0,1.0,1.0,0.3316062176165803,0.3730569948186528,18.25,20.91,0.23,39.13,0.31,8.26,0.31,290.78,0.27,2792.25,1.0,3.74,0.24,362.4,0.31,214.71,0.19,0.2402597402597402
2.0,1.0,5.0,4.0,2.0,1.0,1.0,4.0,7.0,1.0,1.0,1.0,2.0,1.0,0.2124352331606217,0.2124352331606217,10.846153846153848,1463.8,0.27,58.23,1.0,1130.62,0.31,1387.73,0.34,1012.31,0.09,1463.8,0.21,1130.62,0.24,142.57,0.15,0.1688311688311687
1.0,1.0,5.0,2.0,2.0,2.0,1.0,5.0,8.0,1.0,2.0,1.0,1.0,1.0,0.2410575427682737,0.2410575427682737,9.936170212765957,24.19,0.32,143.37,0.39,10.72,0.16,26.02,0.34,17.84,0.04,24.19,0.32,10.72,0.16,197.91,0.23,0.1050583657587548
1.0,3.0,8.0,1.0,2.0,3.0,1.0,2.0,8.0,1.0,2.0,1.0,2.0,1.0,0.2379471228615863,0.2379471228615863,9.708333333333334,385.56,0.36,365.43,1.0,362.26,0.23,664.77,0.33,532.57,0.06,385.56,0.05,362.26,0.19,514.73,0.21,0.1050583657587548
2.0,4.0,6.0,1.0,2.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,2.0,1.0,0.2797927461139896,0.3419689119170984,13.0,49.11,0.38,43.88,0.36,0.2,0.27,177.81,0.38,1989.0,1.0,4.83,0.38,264.8,0.27,183.34,0.23,0.1233766233766233
2.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.2020725388601036,0.2020725388601036,14.4,862.25,0.27,867.22,0.32,316.36,0.36,2.03,0.34,17.05,0.11,862.23,0.47,316.35,0.34,80.82,0.21,0.1948051948051947
2.0,3.0,9.0,1.0,1.0,3.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,0.2124352331606217,0.2124352331606217,14.4,10.62,0.26,33.84,0.31,10.56,0.34,3.95,0.34,9.54,0.12,10.62,0.26,10.56,0.34,63.67,0.19,0.2142857142857143
2.0,3.0,3.0,3.0,2.0,1.0,1.0,2.0,7.0,1.0,2.0,2.0,1.0,1.0,0.1968911917098445,0.2124352331606217,10.846153846153848,177.83,0.29,138.72,1.0,146.27,0.26,170.64,0.35,134.05,0.05,177.83,0.18,146.27,0.22,124.65,0.18,0.2272727272727273
2.0,3.0,3.0,1.0,2.0,1.0,1.0,2.0,8.0,1.0,2.0,1.0,2.0,1.0,0.1968911917098445,0.2124352331606217,10.0,221.68,0.27,148.9,1.0,142.77,0.27,166.19,0.35,122.79,0.06,221.68,0.18,142.77,0.23,122.42,0.15,0.1493506493506493
2.0,1.0,5.0,2.0,1.0,2.0,1.0,4.0,7.0,1.0,1.0,2.0,1.0,1.0,0.2538860103626943,0.2538860103626943,10.846153846153848,8.66,0.27,56.25,1.0,1.27,0.24,6.69,0.35,0.04,0.09,8.66,0.27,1.27,0.24,51.09,0.16,0.2337662337662337
