2025-10-01 01:19:24,465 - INFO - pipeline[1. 1. 1.]
2025-10-01 01:19:24,465 - INFO - [GS2] Start. Target utility = 0.050000
2025-10-01 01:30:35,550 - DEBUG - [GS2] A | iter=56 | order=['normalization', 'missing_value', 'model'] | vec=[3, 5, 1] | utility=0.172528
2025-10-01 01:30:36,403 - DEBUG - [GS2] A | iter=57 | order=['missing_value', 'normalization', 'model'] | vec=[2, 1, 1] | utility=0.087976
2025-10-01 01:30:36,756 - DEBUG - [GS2] A | iter=58 | order=['normalization', 'missing_value', 'model'] | vec=[2, 5, 1] | utility=0.196129
2025-10-01 01:30:37,237 - DEBUG - [GS2] A | iter=59 | order=['missing_value', 'normalization', 'model'] | vec=[6, 5, 1] | utility=0.189968
2025-10-01 01:30:38,096 - DEBUG - [GS2] A | iter=60 | order=['missing_value', 'normalization', 'model'] | vec=[2, 3, 1] | utility=0.169906
2025-10-01 01:30:38,667 - DEBUG - [GS2] A | iter=61 | order=['missing_value', 'model'] | vec=[1, 1] | utility=0.093330
2025-10-01 01:30:39,263 - DEBUG - [GS2] A | iter=62 | order=['missing_value', 'normalization', 'model'] | vec=[5, 5, 1] | utility=0.197427
2025-10-01 01:30:40,154 - DEBUG - [GS2] A | iter=63 | order=['missing_value', 'normalization', 'model'] | vec=[6, 3, 1] | utility=0.174677
2025-10-01 01:30:40,722 - DEBUG - [GS2] A | iter=64 | order=['missing_value', 'model'] | vec=[5, 1] | utility=0.112948
2025-10-01 01:30:41,679 - DEBUG - [GS2] A | iter=65 | order=['missing_value', 'normalization', 'model'] | vec=[3, 3, 1] | utility=0.166445
2025-10-01 01:30:42,536 - DEBUG - [GS2] A | iter=66 | order=['normalization', 'missing_value', 'model'] | vec=[1, 6, 1] | utility=0.101956
2025-10-01 01:30:43,406 - DEBUG - [GS2] A | iter=67 | order=['missing_value', 'normalization', 'model'] | vec=[1, 3, 1] | utility=0.163514
2025-10-01 01:30:44,307 - DEBUG - [GS2] A | iter=68 | order=['missing_value', 'normalization', 'model'] | vec=[6, 1, 1] | utility=0.077945
2025-10-01 01:30:44,940 - DEBUG - [GS2] A | iter=69 | order=['missing_value', 'normalization', 'model'] | vec=[8, 1, 1] | utility=0.120121
2025-10-01 01:30:45,211 - DEBUG - [GS2] A | iter=70 | order=['missing_value', 'normalization', 'model'] | vec=[2, 2, 1] | utility=0.187286
2025-10-01 01:30:45,568 - DEBUG - [GS2] A | iter=71 | order=['missing_value', 'model'] | vec=[3, 1] | utility=0.102359
2025-10-01 01:30:46,002 - DEBUG - [GS2] A | iter=72 | order=['normalization', 'missing_value', 'model'] | vec=[5, 7, 1] | utility=0.198747
2025-10-01 01:30:46,599 - DEBUG - [GS2] A | iter=73 | order=['normalization', 'missing_value', 'model'] | vec=[1, 1, 1] | utility=0.122167
2025-10-01 01:30:47,051 - DEBUG - [GS2] A | iter=74 | order=['missing_value', 'normalization', 'model'] | vec=[7, 5, 1] | utility=0.193986
2025-10-01 01:30:47,409 - DEBUG - [GS2] A | iter=75 | order=['missing_value', 'model'] | vec=[2, 1] | utility=0.110754
2025-10-01 01:30:47,772 - DEBUG - [GS2] A | iter=76 | order=['missing_value', 'model'] | vec=[4, 1] | utility=0.111440
2025-10-01 01:30:48,139 - DEBUG - [GS2] A | iter=77 | order=['model'] | vec=[1] | utility=0.109457
2025-10-01 01:30:48,553 - DEBUG - [GS2] A | iter=78 | order=['normalization', 'missing_value', 'model'] | vec=[4, 9, 1] | utility=0.200260
2025-10-01 01:30:49,259 - DEBUG - [GS2] A | iter=79 | order=['missing_value', 'normalization', 'model'] | vec=[4, 3, 1] | utility=0.163833
2025-10-01 01:30:49,563 - DEBUG - [GS2] A | iter=80 | order=['normalization', 'missing_value', 'model'] | vec=[2, 2, 1] | utility=0.199275
2025-10-01 01:30:50,036 - DEBUG - [GS2] A | iter=81 | order=['normalization', 'missing_value', 'model'] | vec=[5, 2, 1] | utility=0.192783
2025-10-01 01:30:50,681 - DEBUG - [GS2] A | iter=82 | order=['missing_value', 'normalization', 'model'] | vec=[6, 4, 1] | utility=0.197105
2025-10-01 01:30:51,592 - DEBUG - [GS2] A | iter=83 | order=['normalization', 'missing_value', 'model'] | vec=[1, 5, 1] | utility=0.112491
2025-10-01 01:30:52,185 - DEBUG - [GS2] A | iter=84 | order=['missing_value', 'normalization', 'model'] | vec=[4, 1, 1] | utility=0.083339
2025-10-01 01:30:52,669 - DEBUG - [GS2] A | iter=85 | order=['normalization', 'model'] | vec=[1, 1] | utility=0.092991
2025-10-01 01:30:53,127 - DEBUG - [GS2] A | iter=86 | order=['missing_value', 'normalization', 'model'] | vec=[3, 4, 1] | utility=0.202238
2025-10-01 01:30:53,411 - DEBUG - [GS2] A | iter=87 | order=['missing_value', 'normalization', 'model'] | vec=[6, 2, 1] | utility=0.190086
2025-10-01 01:30:53,716 - DEBUG - [GS2] A | iter=88 | order=['normalization', 'missing_value', 'model'] | vec=[2, 3, 1] | utility=0.201457
2025-10-01 01:30:54,336 - DEBUG - [GS2] A | iter=89 | order=['normalization', 'missing_value', 'model'] | vec=[3, 9, 1] | utility=0.170145
2025-10-01 01:30:54,948 - DEBUG - [GS2] A | iter=90 | order=['normalization', 'missing_value', 'model'] | vec=[1, 9, 1] | utility=0.124004
2025-10-01 01:30:55,333 - DEBUG - [GS2] A | iter=91 | order=['missing_value', 'normalization', 'model'] | vec=[4, 5, 1] | utility=0.200677
2025-10-01 01:30:55,678 - DEBUG - [GS2] A | iter=92 | order=['missing_value', 'normalization', 'model'] | vec=[8, 4, 1] | utility=0.201413
2025-10-01 01:30:56,237 - DEBUG - [GS2] A | iter=93 | order=['normalization', 'missing_value', 'model'] | vec=[1, 8, 1] | utility=0.109087
2025-10-01 01:30:56,798 - DEBUG - [GS2] A | iter=94 | order=['normalization', 'missing_value', 'model'] | vec=[3, 2, 1] | utility=0.169282
2025-10-01 01:30:57,201 - DEBUG - [GS2] A | iter=95 | order=['normalization', 'missing_value', 'model'] | vec=[5, 3, 1] | utility=0.190114
2025-10-01 01:30:57,789 - DEBUG - [GS2] A | iter=96 | order=['normalization', 'missing_value', 'model'] | vec=[1, 3, 1] | utility=0.083782
2025-10-01 01:30:58,351 - DEBUG - [GS2] A | iter=97 | order=['normalization', 'missing_value', 'model'] | vec=[1, 2, 1] | utility=0.102025
