2025-10-02 08:28:55,340 - INFO - pipeline[1. 1. 1.]
2025-10-02 08:28:55,341 - INFO - [GS2] Start. Target utility = 162.000000
2025-10-02 08:28:55,341 - INFO - [GS2] Building candidates from ('missing_value', 'normalization', 'model')
2025-10-02 08:28:55,341 - INFO - [GS2] candidates: 105
2025-10-02 09:09:00,218 - DEBUG - [GS2] A | iter=63 | order=['normalization', 'missing_value', 'model'] | vec=[2, 6, 1] | utility=186.728958
2025-10-02 09:09:00,418 - DEBUG - [GS2] A | iter=64 | order=['missing_value', 'normalization', 'model'] | vec=[4, 1, 1] | utility=187.443807
2025-10-02 09:09:00,831 - DEBUG - [GS2] A | iter=65 | order=['missing_value', 'normalization', 'model'] | vec=[6, 5, 1] | utility=186.966237
2025-10-02 09:09:01,021 - DEBUG - [GS2] A | iter=66 | order=['normalization', 'model'] | vec=[2, 1] | utility=189.323861
2025-10-02 09:09:01,181 - DEBUG - [GS2] A | iter=67 | order=['missing_value', 'normalization', 'model'] | vec=[3, 4, 1] | utility=187.097480
2025-10-02 09:09:01,405 - DEBUG - [GS2] A | iter=68 | order=['normalization', 'model'] | vec=[4, 1] | utility=189.323861
2025-10-02 09:09:01,665 - DEBUG - [GS2] A | iter=69 | order=['normalization', 'missing_value', 'model'] | vec=[4, 8, 1] | utility=186.776069
2025-10-02 09:09:01,831 - DEBUG - [GS2] A | iter=70 | order=['normalization', 'missing_value', 'model'] | vec=[5, 4, 1] | utility=187.443807
2025-10-02 09:09:01,971 - DEBUG - [GS2] A | iter=71 | order=['missing_value', 'normalization', 'model'] | vec=[7, 3, 1] | utility=186.977810
2025-10-02 09:09:02,251 - DEBUG - [GS2] A | iter=72 | order=['missing_value', 'normalization', 'model'] | vec=[7, 1, 1] | utility=186.977810
2025-10-02 09:09:02,640 - DEBUG - [GS2] A | iter=73 | order=['normalization', 'missing_value', 'model'] | vec=[3, 6, 1] | utility=186.892877
2025-10-02 09:09:02,879 - DEBUG - [GS2] A | iter=74 | order=['normalization', 'missing_value', 'model'] | vec=[3, 1, 1] | utility=189.323861
2025-10-02 09:09:02,990 - DEBUG - [GS2] A | iter=75 | order=['missing_value', 'normalization', 'model'] | vec=[4, 2, 1] | utility=187.443807
2025-10-02 09:09:03,492 - DEBUG - [GS2] A | iter=76 | order=['missing_value', 'normalization', 'model'] | vec=[8, 1, 1] | utility=187.067814
2025-10-02 09:09:03,705 - DEBUG - [GS2] A | iter=77 | order=['missing_value', 'normalization', 'model'] | vec=[2, 3, 1] | utility=187.110868
2025-10-02 09:09:04,234 - DEBUG - [GS2] A | iter=78 | order=['missing_value', 'normalization', 'model'] | vec=[8, 2, 1] | utility=187.067814
2025-10-02 09:09:04,611 - DEBUG - [GS2] A | iter=79 | order=['missing_value', 'normalization', 'model'] | vec=[8, 3, 1] | utility=187.067814
2025-10-02 09:09:04,651 - DEBUG - [GS2] A | iter=80 | order=['missing_value', 'model'] | vec=[4, 1] | utility=187.443807
2025-10-02 09:09:04,943 - DEBUG - [GS2] A | iter=81 | order=['missing_value', 'model'] | vec=[7, 1] | utility=186.977810
2025-10-02 09:09:05,179 - DEBUG - [GS2] A | iter=82 | order=['normalization', 'missing_value', 'model'] | vec=[5, 1, 1] | utility=189.323861
2025-10-02 09:09:05,481 - DEBUG - [GS2] A | iter=83 | order=['normalization', 'missing_value', 'model'] | vec=[4, 9, 1] | utility=186.765433
2025-10-02 09:09:05,671 - DEBUG - [GS2] A | iter=84 | order=['normalization', 'model'] | vec=[1, 1] | utility=189.323861
2025-10-02 09:09:05,793 - DEBUG - [GS2] A | iter=85 | order=['missing_value', 'normalization', 'model'] | vec=[3, 3, 1] | utility=187.097480
2025-10-02 09:09:06,040 - DEBUG - [GS2] A | iter=86 | order=['normalization', 'missing_value', 'model'] | vec=[1, 1, 1] | utility=189.323861
2025-10-02 09:09:06,389 - DEBUG - [GS2] A | iter=87 | order=['normalization', 'missing_value', 'model'] | vec=[3, 8, 1] | utility=186.904006
2025-10-02 09:09:06,854 - DEBUG - [GS2] A | iter=88 | order=['missing_value', 'normalization', 'model'] | vec=[6, 4, 1] | utility=186.966237
2025-10-02 09:09:07,248 - DEBUG - [GS2] A | iter=89 | order=['missing_value', 'normalization', 'model'] | vec=[9, 3, 1] | utility=187.100250
2025-10-02 09:09:07,550 - DEBUG - [GS2] A | iter=90 | order=['normalization', 'missing_value', 'model'] | vec=[4, 3, 1] | utility=187.097480
2025-10-02 09:09:07,850 - DEBUG - [GS2] A | iter=91 | order=['missing_value', 'normalization', 'model'] | vec=[1, 2, 1] | utility=189.323861
2025-10-02 09:09:08,061 - DEBUG - [GS2] A | iter=92 | order=['normalization', 'missing_value', 'model'] | vec=[3, 4, 1] | utility=187.443807
2025-10-02 09:09:08,204 - DEBUG - [GS2] A | iter=93 | order=['model'] | vec=[1] | utility=189.323861
2025-10-02 09:09:08,446 - DEBUG - [GS2] A | iter=94 | order=['normalization', 'missing_value', 'model'] | vec=[3, 5, 1] | utility=187.518335
2025-10-02 09:09:08,868 - DEBUG - [GS2] A | iter=95 | order=['missing_value', 'normalization', 'model'] | vec=[9, 1, 1] | utility=187.100250
2025-10-02 09:09:09,096 - DEBUG - [GS2] A | iter=96 | order=['missing_value', 'normalization', 'model'] | vec=[4, 4, 1] | utility=187.443807
2025-10-02 09:09:09,241 - DEBUG - [GS2] A | iter=97 | order=['missing_value', 'normalization', 'model'] | vec=[6, 1, 1] | utility=186.966237
2025-10-02 09:09:09,691 - DEBUG - [GS2] A | iter=98 | order=['normalization', 'missing_value', 'model'] | vec=[3, 7, 1] | utility=186.883755
2025-10-02 09:09:09,824 - DEBUG - [GS2] A | iter=99 | order=['missing_value', 'model'] | vec=[5, 1] | utility=186.982021
2025-10-02 09:09:10,154 - DEBUG - [GS2] A | iter=100 | order=['normalization', 'missing_value', 'model'] | vec=[4, 2, 1] | utility=187.110868
2025-10-02 09:09:10,409 - DEBUG - [GS2] A | iter=101 | order=['missing_value', 'normalization', 'model'] | vec=[2, 5, 1] | utility=187.110868
2025-10-02 09:09:10,818 - DEBUG - [GS2] A | iter=102 | order=['normalization', 'missing_value', 'model'] | vec=[2, 5, 1] | utility=187.428954
2025-10-02 09:09:11,161 - DEBUG - [GS2] A | iter=103 | order=['missing_value', 'normalization', 'model'] | vec=[9, 4, 1] | utility=187.100250
2025-10-02 09:09:11,411 - DEBUG - [GS2] A | iter=104 | order=['normalization', 'missing_value', 'model'] | vec=[3, 2, 1] | utility=187.110868
2025-10-02 09:09:11,810 - DEBUG - [GS2] A | iter=105 | order=['normalization', 'missing_value', 'model'] | vec=[5, 9, 1] | utility=186.745095
2025-10-02 09:09:12,999 - DEBUG - [GS2] B | iter=106 | order=['missing_value', 'normalization', 'whitespace', 'outlier', 'deduplication', 'stopword', 'punctuation', 'model'] | vec=[5, 5, 1, 8, 1, 2, 2, 1] | utility=172.792337
2025-10-02 09:09:13,403 - DEBUG - [GS2] B | iter=107 | order=['whitespace', 'normalization', 'missing_value', 'stopword', 'outlier', 'deduplication', 'punctuation', 'model'] | vec=[1, 2, 9, 2, 5, 2, 2, 1] | utility=272.651460
2025-10-02 09:09:13,819 - DEBUG - [GS2] B | iter=108 | order=['normalization', 'punctuation', 'deduplication', 'outlier', 'whitespace', 'missing_value', 'stopword', 'model'] | vec=[2, 1, 2, 5, 2, 4, 2, 1] | utility=296.534128
2025-10-02 09:09:14,237 - DEBUG - [GS2] B | iter=109 | order=['deduplication', 'stopword', 'punctuation', 'missing_value', 'normalization', 'outlier', 'whitespace', 'model'] | vec=[1, 2, 1, 1, 2, 1, 1, 1] | utility=189.323861
2025-10-02 09:09:14,485 - DEBUG - [GS2] B | iter=110 | order=['outlier', 'stopword', 'whitespace', 'deduplication', 'missing_value', 'normalization', 'punctuation', 'model'] | vec=[5, 2, 2, 2, 1, 3, 2, 1] | utility=261.171262
2025-10-02 09:09:14,720 - DEBUG - [GS2] B | iter=111 | order=['whitespace', 'deduplication', 'normalization', 'missing_value', 'outlier', 'stopword', 'punctuation', 'model'] | vec=[1, 2, 2, 6, 4, 2, 2, 1] | utility=287.302426
2025-10-02 09:09:15,077 - DEBUG - [GS2] B | iter=112 | order=['missing_value', 'normalization', 'stopword', 'deduplication', 'punctuation', 'whitespace', 'outlier', 'model'] | vec=[2, 2, 2, 2, 1, 1, 4, 1] | utility=279.453626
2025-10-02 09:09:15,544 - DEBUG - [GS2] B | iter=113 | order=['whitespace', 'missing_value', 'normalization', 'stopword', 'outlier', 'deduplication', 'model'] | vec=[2, 8, 2, 1, 5, 2, 1] | utility=271.915180
2025-10-02 09:09:15,794 - DEBUG - [GS2] B | iter=114 | order=['punctuation', 'outlier', 'missing_value', 'whitespace', 'stopword', 'normalization', 'deduplication', 'model'] | vec=[2, 3, 1, 2, 2, 4, 1, 1] | utility=156.668708
2025-10-02 09:09:15,794 - INFO - [GS2] 🎯 Achieved at iter=114, utility=156.668708
2025-10-02 09:09:15,795 - INFO - pipeline[1. 2. 1.]
2025-10-02 09:09:15,795 - INFO - [GS2] Start. Target utility = 162.000000
2025-10-02 09:09:15,795 - INFO - [GS2] Reusing cache: 105 candidates
2025-10-02 09:09:15,795 - INFO - [GS2] Reusing cache: 41005993 candidates
2025-10-02 09:17:38,264 - INFO - [GS2] Initial utility = 187.067814
2025-10-02 09:17:38,265 - DEBUG - [GS2] A | iter=1 | order=['missing_value', 'normalization', 'model'] | vec=[8, 1, 1] | utility=187.067814
2025-10-02 09:17:38,360 - DEBUG - [GS2] A | iter=2 | order=['normalization', 'missing_value', 'model'] | vec=[2, 4, 1] | utility=187.443807
2025-10-02 09:17:38,458 - DEBUG - [GS2] A | iter=3 | order=['missing_value', 'normalization', 'model'] | vec=[1, 4, 1] | utility=189.323861
2025-10-02 09:17:38,557 - DEBUG - [GS2] A | iter=4 | order=['missing_value', 'normalization', 'model'] | vec=[3, 2, 1] | utility=187.097480
