2025-10-02 19:33:42,696 - INFO - pipeline[1. 1. 1.]
2025-10-02 19:33:42,696 - INFO - [GS2] Start. Target utility = 0.080000
2025-10-02 20:04:06,105 - DEBUG - [GS2] A | iter=69 | order=['normalization', 'missing_value', 'model'] | vec=[5, 9, 1] | utility=0.094868
2025-10-02 20:04:06,161 - DEBUG - [GS2] A | iter=70 | order=['normalization', 'missing_value', 'model'] | vec=[3, 2, 1] | utility=0.094868
2025-10-02 20:04:06,214 - DEBUG - [GS2] A | iter=71 | order=['missing_value', 'normalization', 'model'] | vec=[1, 3, 1] | utility=0.098200
2025-10-02 20:04:06,273 - DEBUG - [GS2] A | iter=72 | order=['normalization', 'missing_value', 'model'] | vec=[3, 8, 1] | utility=0.094868
2025-10-02 20:04:06,327 - DEBUG - [GS2] A | iter=73 | order=['normalization', 'missing_value', 'model'] | vec=[5, 1, 1] | utility=0.098200
2025-10-02 20:04:06,383 - DEBUG - [GS2] A | iter=74 | order=['missing_value', 'normalization', 'model'] | vec=[7, 2, 1] | utility=0.096423
2025-10-02 20:04:06,438 - DEBUG - [GS2] A | iter=75 | order=['missing_value', 'normalization', 'model'] | vec=[2, 5, 1] | utility=0.094868
2025-10-02 20:04:06,494 - DEBUG - [GS2] A | iter=76 | order=['missing_value', 'normalization', 'model'] | vec=[5, 1, 1] | utility=0.094868
2025-10-02 20:04:06,550 - DEBUG - [GS2] A | iter=77 | order=['missing_value', 'normalization', 'model'] | vec=[2, 4, 1] | utility=0.094868
2025-10-02 20:04:06,607 - DEBUG - [GS2] A | iter=78 | order=['normalization', 'missing_value', 'model'] | vec=[1, 5, 1] | utility=0.094868
2025-10-02 20:04:06,664 - DEBUG - [GS2] A | iter=79 | order=['normalization', 'missing_value', 'model'] | vec=[4, 7, 1] | utility=0.094868
2025-10-02 20:04:06,721 - DEBUG - [GS2] A | iter=80 | order=['missing_value', 'normalization', 'model'] | vec=[6, 4, 1] | utility=0.094868
2025-10-02 20:04:06,776 - DEBUG - [GS2] A | iter=81 | order=['missing_value', 'normalization', 'model'] | vec=[6, 2, 1] | utility=0.096423
2025-10-02 20:04:06,831 - DEBUG - [GS2] A | iter=82 | order=['missing_value', 'normalization', 'model'] | vec=[4, 2, 1] | utility=0.096423
2025-10-02 20:04:06,885 - DEBUG - [GS2] A | iter=83 | order=['missing_value', 'normalization', 'model'] | vec=[4, 1, 1] | utility=0.094868
2025-10-02 20:04:06,942 - DEBUG - [GS2] A | iter=84 | order=['missing_value', 'normalization', 'model'] | vec=[4, 4, 1] | utility=0.094868
2025-10-02 20:04:06,999 - DEBUG - [GS2] A | iter=85 | order=['missing_value', 'normalization', 'model'] | vec=[9, 3, 1] | utility=0.094868
2025-10-02 20:04:07,055 - DEBUG - [GS2] A | iter=86 | order=['normalization', 'missing_value', 'model'] | vec=[4, 4, 1] | utility=0.094868
2025-10-02 20:04:07,111 - DEBUG - [GS2] A | iter=87 | order=['missing_value', 'normalization', 'model'] | vec=[8, 5, 1] | utility=0.094868
2025-10-02 20:04:07,167 - DEBUG - [GS2] A | iter=88 | order=['normalization', 'missing_value', 'model'] | vec=[3, 5, 1] | utility=0.094868
2025-10-02 20:04:07,225 - DEBUG - [GS2] A | iter=89 | order=['normalization', 'missing_value', 'model'] | vec=[1, 6, 1] | utility=0.094868
2025-10-02 20:04:07,280 - DEBUG - [GS2] A | iter=90 | order=['normalization', 'missing_value', 'model'] | vec=[2, 6, 1] | utility=0.096423
2025-10-02 20:04:07,338 - DEBUG - [GS2] A | iter=91 | order=['normalization', 'missing_value', 'model'] | vec=[2, 5, 1] | utility=0.096423
2025-10-02 20:04:07,393 - DEBUG - [GS2] A | iter=92 | order=['missing_value', 'normalization', 'model'] | vec=[2, 1, 1] | utility=0.094868
2025-10-02 20:04:07,450 - DEBUG - [GS2] A | iter=93 | order=['missing_value', 'normalization', 'model'] | vec=[5, 4, 1] | utility=0.094868
2025-10-02 20:04:07,507 - DEBUG - [GS2] A | iter=94 | order=['missing_value', 'normalization', 'model'] | vec=[1, 5, 1] | utility=0.098200
2025-10-02 20:04:07,562 - DEBUG - [GS2] A | iter=95 | order=['missing_value', 'normalization', 'model'] | vec=[3, 4, 1] | utility=0.094868
2025-10-02 20:04:07,617 - DEBUG - [GS2] A | iter=96 | order=['normalization', 'missing_value', 'model'] | vec=[2, 1, 1] | utility=0.099836
2025-10-02 20:04:07,672 - DEBUG - [GS2] A | iter=97 | order=['normalization', 'missing_value', 'model'] | vec=[3, 3, 1] | utility=0.094868
2025-10-02 20:04:07,728 - DEBUG - [GS2] A | iter=98 | order=['normalization', 'missing_value', 'model'] | vec=[3, 4, 1] | utility=0.094868
2025-10-02 20:04:07,783 - DEBUG - [GS2] A | iter=99 | order=['missing_value', 'normalization', 'model'] | vec=[9, 1, 1] | utility=0.094868
2025-10-02 20:04:07,840 - DEBUG - [GS2] A | iter=100 | order=['missing_value', 'normalization', 'model'] | vec=[6, 1, 1] | utility=0.094868
2025-10-02 20:04:07,896 - DEBUG - [GS2] A | iter=101 | order=['missing_value', 'normalization', 'model'] | vec=[6, 3, 1] | utility=0.094868
2025-10-02 20:04:07,950 - DEBUG - [GS2] A | iter=102 | order=['normalization', 'missing_value', 'model'] | vec=[5, 4, 1] | utility=0.094868
2025-10-02 20:04:07,958 - DEBUG - [GS2] A | iter=103 | order=['missing_value', 'model'] | vec=[9, 1] | utility=0.094868
2025-10-02 20:04:08,013 - DEBUG - [GS2] A | iter=104 | order=['normalization', 'missing_value', 'model'] | vec=[2, 3, 1] | utility=0.096423
2025-10-02 20:04:08,068 - DEBUG - [GS2] A | iter=105 | order=['missing_value', 'normalization', 'model'] | vec=[7, 5, 1] | utility=0.094868
2025-10-02 20:04:08,675 - DEBUG - [GS2] B | iter=106 | order=['normalization', 'punctuation', 'stopword', 'missing_value', 'whitespace', 'deduplication', 'outlier', 'model'] | vec=[4, 1, 1, 7, 1, 1, 5, 1] | utility=0.091696
2025-10-02 20:04:08,782 - DEBUG - [GS2] B | iter=107 | order=['normalization', 'deduplication', 'punctuation', 'whitespace', 'outlier', 'stopword', 'missing_value', 'model'] | vec=[5, 1, 2, 2, 1, 1, 7, 1] | utility=0.098200
2025-10-02 20:04:08,840 - DEBUG - [GS2] B | iter=108 | order=['punctuation', 'missing_value', 'normalization', 'stopword', 'deduplication', 'model'] | vec=[1, 9, 3, 1, 2, 1] | utility=0.094891
2025-10-02 20:04:08,947 - DEBUG - [GS2] B | iter=109 | order=['deduplication', 'whitespace', 'outlier', 'normalization', 'punctuation', 'missing_value', 'stopword', 'model'] | vec=[2, 2, 7, 3, 2, 4, 1, 1] | utility=0.101983
2025-10-02 20:04:09,055 - DEBUG - [GS2] B | iter=110 | order=['outlier', 'stopword', 'punctuation', 'whitespace', 'normalization', 'missing_value', 'model'] | vec=[1, 1, 1, 1, 1, 3, 1] | utility=0.098200
2025-10-02 20:04:09,165 - DEBUG - [GS2] B | iter=111 | order=['punctuation', 'missing_value', 'outlier', 'normalization', 'stopword', 'deduplication', 'whitespace', 'model'] | vec=[1, 6, 1, 4, 2, 2, 1, 1] | utility=0.096535
2025-10-02 20:04:09,272 - DEBUG - [GS2] B | iter=112 | order=['punctuation', 'deduplication', 'outlier', 'stopword', 'normalization', 'whitespace', 'missing_value', 'model'] | vec=[1, 2, 3, 2, 5, 1, 6, 1] | utility=0.098701
2025-10-02 20:04:09,378 - DEBUG - [GS2] B | iter=113 | order=['deduplication', 'missing_value', 'normalization', 'whitespace', 'outlier', 'punctuation', 'stopword', 'model'] | vec=[2, 4, 1, 1, 4, 2, 1, 1] | utility=0.099744
2025-10-02 20:04:09,482 - DEBUG - [GS2] B | iter=114 | order=['normalization', 'outlier', 'deduplication', 'stopword', 'punctuation', 'missing_value', 'whitespace', 'model'] | vec=[3, 1, 1, 1, 1, 4, 2, 1] | utility=0.098200
2025-10-02 20:04:09,587 - DEBUG - [GS2] B | iter=115 | order=['missing_value', 'outlier', 'normalization', 'whitespace', 'stopword', 'punctuation', 'deduplication', 'model'] | vec=[1, 1, 3, 2, 1, 2, 2, 1] | utility=0.099237
2025-10-02 20:04:09,703 - DEBUG - [GS2] B | iter=116 | order=['missing_value', 'whitespace', 'outlier', 'deduplication', 'normalization', 'punctuation', 'stopword', 'model'] | vec=[8, 1, 6, 2, 1, 1, 1, 1] | utility=0.088889
2025-10-02 20:04:09,810 - DEBUG - [GS2] B | iter=117 | order=['normalization', 'outlier', 'punctuation', 'missing_value', 'whitespace', 'deduplication', 'model'] | vec=[1, 5, 2, 8, 1, 2, 1] | utility=0.104816
2025-10-02 20:04:09,922 - DEBUG - [GS2] B | iter=118 | order=['normalization', 'stopword', 'whitespace', 'missing_value', 'outlier', 'punctuation', 'deduplication', 'model'] | vec=[3, 1, 2, 6, 6, 2, 1, 1] | utility=0.089965
2025-10-02 20:04:10,028 - DEBUG - [GS2] B | iter=119 | order=['punctuation', 'stopword', 'missing_value', 'deduplication', 'whitespace', 'outlier', 'normalization', 'model'] | vec=[1, 1, 6, 2, 2, 1, 1, 1] | utility=0.096535
2025-10-02 20:04:10,135 - DEBUG - [GS2] B | iter=120 | order=['whitespace', 'normalization', 'missing_value', 'outlier', 'punctuation', 'stopword', 'model'] | vec=[1, 1, 1, 4, 2, 2, 1] | utility=0.091525
2025-10-02 20:04:10,247 - DEBUG - [GS2] B | iter=121 | order=['normalization', 'deduplication', 'punctuation', 'missing_value', 'stopword', 'whitespace', 'outlier', 'model'] | vec=[2, 2, 1, 6, 2, 1, 7, 1] | utility=0.099150
2025-10-02 20:04:10,388 - DEBUG - [GS2] B | iter=122 | order=['outlier', 'missing_value', 'whitespace', 'punctuation', 'deduplication', 'normalization', 'model'] | vec=[2, 9, 1, 2, 1, 4, 1] | utility=0.085455
2025-10-02 20:04:10,522 - DEBUG - [GS2] B | iter=123 | order=['normalization', 'stopword', 'punctuation', 'outlier', 'missing_value', 'deduplication', 'model'] | vec=[4, 1, 1, 2, 4, 2, 1] | utility=0.083582
2025-10-02 20:04:10,631 - DEBUG - [GS2] B | iter=124 | order=['missing_value', 'whitespace', 'deduplication', 'outlier', 'punctuation', 'stopword', 'normalization', 'model'] | vec=[5, 1, 1, 8, 1, 2, 2, 1] | utility=0.081315
2025-10-02 20:04:10,738 - DEBUG - [GS2] B | iter=125 | order=['deduplication', 'whitespace', 'normalization', 'stopword', 'outlier', 'missing_value', 'model'] | vec=[2, 2, 3, 2, 3, 5, 1] | utility=0.098701
2025-10-02 20:04:10,849 - DEBUG - [GS2] B | iter=126 | order=['whitespace', 'missing_value', 'deduplication', 'outlier', 'punctuation', 'normalization', 'stopword', 'model'] | vec=[1, 9, 1, 3, 2, 3, 2, 1] | utility=0.079526
2025-10-02 20:04:10,849 - INFO - [GS2] 🎯 Achieved at iter=126, utility=0.079526
2025-10-02 20:04:10,850 - INFO - pipeline[1. 2. 1.]
2025-10-02 20:04:10,850 - INFO - [GS2] Start. Target utility = 0.080000
2025-10-02 20:04:10,850 - INFO - [GS2] Reusing cache: 105 candidates
2025-10-02 20:04:10,850 - INFO - [GS2] Reusing cache: 41005993 candidates
2025-10-02 20:12:49,313 - INFO - [GS2] Initial utility = 0.094868
2025-10-02 20:12:49,313 - DEBUG - [GS2] A | iter=1 | order=['normalization', 'missing_value', 'model'] | vec=[4, 5, 1] | utility=0.094868
2025-10-02 20:12:49,369 - DEBUG - [GS2] A | iter=2 | order=['normalization', 'missing_value', 'model'] | vec=[2, 9, 1] | utility=0.096423
2025-10-02 20:12:49,423 - DEBUG - [GS2] A | iter=3 | order=['normalization', 'missing_value', 'model'] | vec=[5, 6, 1] | utility=0.094868
2025-10-02 20:12:49,481 - DEBUG - [GS2] A | iter=4 | order=['missing_value', 'normalization', 'model'] | vec=[2, 3, 1] | utility=0.094868
2025-10-02 20:12:49,539 - DEBUG - [GS2] A | iter=5 | order=['missing_value', 'normalization', 'model'] | vec=[8, 3, 1] | utility=0.094868
2025-10-02 20:12:49,595 - DEBUG - [GS2] A | iter=6 | order=['missing_value', 'normalization', 'model'] | vec=[9, 3, 1] | utility=0.094868
2025-10-02 20:12:49,649 - DEBUG - [GS2] A | iter=7 | order=['normalization', 'missing_value', 'model'] | vec=[4, 2, 1] | utility=0.094868
2025-10-02 20:12:49,704 - DEBUG - [GS2] A | iter=8 | order=['missing_value', 'normalization', 'model'] | vec=[3, 4, 1] | utility=0.094868
2025-10-02 20:12:49,761 - DEBUG - [GS2] A | iter=9 | order=['normalization', 'missing_value', 'model'] | vec=[5, 8, 1] | utility=0.094868
2025-10-02 20:12:49,815 - DEBUG - [GS2] A | iter=10 | order=['normalization', 'missing_value', 'model'] | vec=[5, 4, 1] | utility=0.094868
2025-10-02 20:12:49,870 - DEBUG - [GS2] A | iter=11 | order=['normalization', 'missing_value', 'model'] | vec=[1, 8, 1] | utility=0.094868
2025-10-02 20:12:50,037 - DEBUG - [GS2] A | iter=12 | order=['normalization', 'missing_value', 'model'] | vec=[3, 2, 1] | utility=0.094868
2025-10-02 20:12:50,137 - DEBUG - [GS2] A | iter=13 | order=['missing_value', 'normalization', 'model'] | vec=[3, 5, 1] | utility=0.094868
2025-10-02 20:12:50,190 - DEBUG - [GS2] A | iter=14 | order=['normalization', 'missing_value', 'model'] | vec=[2, 1, 1] | utility=0.099836
2025-10-02 20:12:50,248 - DEBUG - [GS2] A | iter=15 | order=['normalization', 'missing_value', 'model'] | vec=[4, 8, 1] | utility=0.094868
2025-10-02 20:12:50,304 - DEBUG - [GS2] A | iter=16 | order=['normalization', 'missing_value', 'model'] | vec=[5, 3, 1] | utility=0.094868
2025-10-02 20:12:50,358 - DEBUG - [GS2] A | iter=17 | order=['normalization', 'missing_value', 'model'] | vec=[2, 7, 1] | utility=0.096423
2025-10-02 20:12:50,412 - DEBUG - [GS2] A | iter=18 | order=['normalization', 'missing_value', 'model'] | vec=[2, 5, 1] | utility=0.096423
2025-10-02 20:12:50,418 - DEBUG - [GS2] A | iter=19 | order=['missing_value', 'model'] | vec=[2, 1] | utility=0.094868
2025-10-02 20:12:50,473 - DEBUG - [GS2] A | iter=20 | order=['missing_value', 'normalization', 'model'] | vec=[7, 3, 1] | utility=0.094868
2025-10-02 20:12:50,527 - DEBUG - [GS2] A | iter=21 | order=['normalization', 'missing_value', 'model'] | vec=[2, 3, 1] | utility=0.096423
2025-10-02 20:12:50,583 - DEBUG - [GS2] A | iter=22 | order=['normalization', 'missing_value', 'model'] | vec=[5, 9, 1] | utility=0.094868
2025-10-02 20:12:50,641 - DEBUG - [GS2] A | iter=23 | order=['missing_value', 'normalization', 'model'] | vec=[6, 2, 1] | utility=0.096423
2025-10-02 20:12:50,696 - DEBUG - [GS2] A | iter=24 | order=['normalization', 'missing_value', 'model'] | vec=[1, 6, 1] | utility=0.094868
2025-10-02 20:12:50,752 - DEBUG - [GS2] A | iter=25 | order=['normalization', 'missing_value', 'model'] | vec=[3, 7, 1] | utility=0.094868
2025-10-02 20:12:50,809 - DEBUG - [GS2] A | iter=26 | order=['missing_value', 'normalization', 'model'] | vec=[7, 4, 1] | utility=0.094868
2025-10-02 20:12:50,864 - DEBUG - [GS2] A | iter=27 | order=['missing_value', 'normalization', 'model'] | vec=[7, 1, 1] | utility=0.094868
